W 15TH STS ASHLAND AV (1600 W)S PAULINA,ST (1700 W),0,10.00,"$3,000"
Program Total,,0,139.00,"$123,450"
2011 Ward: 2,,,,
Program: Street Lighting,Desc of Work,Block,s Unit Count,Est. Cost
S WABASH AVEE 25 ST (2505 S)E 28 ST (2812 S),SIGNED 8/25/11,0,6.00,"$2,100"
214S OAKLEY AVE,,0,1.00,$350
S UNION AVES DAN RYAN ENTR RP (1077 S)S D,AN RYAN ENTR RP,0,9.00,"$3,600"
"(1250 S)",,,,
W MONROE STE KENNEDY ENTR RP (713 W)S D,ESPLAINES ST (640 W),0,4.00,"$2,550"
E SOLIDARITY DRS LYNN WHITE DR (800 E)De,ad End (900 E)700 E. TO 800 E. ONLY,0,24.00,"$9,600"
2000S CALUMET AVE,,0,1.00,$350
W 13TH STS ASHLAND AV (1600 W)S PAULINA,ST (1700 W),0,7.00,"$2,800"
2832W WARNER AVE,,0,1.00,$350
2323W WARREN DR,,0,1.00,$350
3500S PRAIRIE AVE,,0,2.00,$700
1628W ADAMS BLVD,,0,1.00,$350
W 15TH STS ASHLAND AV (1600 W)S PAULINA,ST (1700 W),0,7.00,"$2,800"
2671W CATALPA AVE,,0,1.00,$350
W HASTINGS STS ASHLAND AV (1600 W)S PAU,LINA ST (1700 W),0,6.00,"$2,400"
W RANDOLPH STN DAMEN AV (2000 W)N LEAV,ITT AV (2000 S),0,18.00,"$6,300"
W MAYPOLE AVEN DAMEN AV (2000 W)N LEA,VITT AV (2000 S),0,18.00,"$6,300"
2351W ADAMS ST,,0,1.00,$350
1543W JACKSON BLVD,,0,1.00,$350
S CLINTON STW MONROE ST (100 S)W ADAMS,ST (200 S),0,3.00,"$2,150"
Program Total,,0,112.00,"$44,100"
"",,,BOE Total:,"$167,55"
CDOT,,,,
"",,,,
2011 Ward: 2,,,,
Program: Alley Apron Menu,Desc of Work,Block,s Unit Count,Est. Cost
W MONROE STS ASHLAND AV (1600 W),,0,2.00,"$21,547"
Program Total,,0,2.00,"$21,547"
"",,,,
2011 Ward: 2,,,,
Program: Alley Resurface Menu,Desc of Work,Block,s Unit Count,Est. Cost
W FILLMORE STW TAYLOR STS LOOMIS STS T,HROOP ST,0,0.00,"$8,930"
Program Total,,0,0.00,"$8,930"
"",,,,
2011 Ward: 2,,,,
Program: Alley Resurfacing Menu - Change Order,Desc of Work,Block,s Unit Count,Est. Cost
S LOOMIS STW TAYLOR ST (1000 S)W FILLMOR,"E ST (1050 S)PM: JC - 2010, 2011 & 2012 funds",0,0.00,"$7,090"
Program Total,,0,0.00,"$7,090"
"",,,,
2011 Ward: 2,,,,
Program: Concrete Alley Menu,Desc of Work,Block,s Unit Count,Est. Cost
W JACKSON BLVDW ADAMS STS LAFLIN STS A,SHLAND AVE,0,0.00,"$98,000"
Program Total,,0,0.00,"$98,000"
"",,,,
2011 Ward: 2,,,,
Program: Curb/Gutter Menu,Desc of Work,Block,s Unit Count,Est. Cost
W FLOURNOY STS WESTERN AV (2400 W)S OAKL,EY BV (2300 W),0,0.00,"$177,941"
Program Total,,0,0.00,"$177,941"
"",,,,
2011 Ward: 2,,,,
Program: Miscellaneous-CDOT,Desc of Work,Block,s Unit Count,Est. Cost
Decorative Waste Receptacles - various locations,PM: JA/JK - 2011 request 2010 & 2011 fund,ing 0,0.00,"$33,963"
S ASHLAND AVEW TAYLOR ST,PM: JC/MI,0,1.00,"$24,666"
Program Total,,0,1.00,"$58,629"
"",,,,
2011 Ward: 2,,,,
Program: Sidewalk Menu,Desc of Work,Block,s Unit Count,Est. Cost
W MONROE STS SANGAMON ST (932 W)S PEORIA,ST (900 W),0,0.00,"$67,782"
W WARREN BLVDN POLLOCK ST (2605 W)N POLL,OCK ST (2605 W),0,0.00,"$18,486"
S WABASH AVEE 23 ST (2300 S)E 24 ST (2400 S),,0,0.00,"$43,686"
S SANGAMON STW MADISON ST (0 N)W MONROE,ST (100 S),0,0.00,"$102,615"
E ROOSEVELT RDS WABASH AV (44 E)S MICHIGA,N AV (120 E),0,0.00,"$37,360"
W JACKSON BLVDS HOYNE AV (2100 W)S HAMILT,ON AV (2132 W),0,0.00,"$22,368"
Program Total,,0,0.00,"$292,297"
2011 Ward: 2,,,,
Program: Street Resurface Menu,Desc of Work,Block,s Unit Count,Est. Cost
W FLOURNOY STS WESTERN AV (2400 W)S OAKL,EY BV (2300 W),1,0.00,"$28,755"
W POLK STS LAFLIN ST (1500 W)S ASHLAND AV (,1600 W),1,0.00,"$45,659"
W CONGRESS PKWYS JEFFERSON ST (600 W)S CL,INTON ST (520 W),0,0.00,"$28,636"
S SANGAMON STW JACKSON BV (300 S)W ADAMS,ST (200 S),1,0.00,"$38,133"
W ARTHINGTON STS WESTERN AV (2400 W)S CAM,PBELL AV (2500 W),1,0.00,"$50,208"
E 37TH STS PRAIRIE AV (232 E)S CALUMET AV (33,4 E),1,0.00,"$80,727"
Program Total,,5,0.00,"$272,119"
"",,,,
2011 Ward: 2,,,,
Program: Street Resurface Menu(1-5),Desc of Work,Block,s Unit Count,Est. Cost
W GLADYS AVES HOYNE AV (2100 W)Dead End (21,41 W),1,0.00,"$30,941"
S CAMPBELL AVEW HARRISON ST (600 S)W HARR,ISON ST (600 S),1,0.00,"$23,161"
W ADAMS STS OAKLEY BV (2300 W)S WESTERN A,V (2400 W),1,0.00,"$44,693"
S LOOMIS STW TAYLOR ST (1000 S)W FILLMORE,ST (1050 S),0,0.00,"$19,395"
Program Total,,3,0.00,"$118,191"
"",,,,
2011 Ward: 2,,,,
Program: Street Speed Hump Menu,Desc of Work,Block,s Unit Count,Est. Cost
W LEXINGTON STS FRANCISCO AV (2900 W)S SAC,RAMENTO BV (3000 W),0,1.00,"$3,700"
Program Total,,0,1.00,"$3,700"
"",,,CDOT Total:,"$1,058,44"
Other,,,,
"",,,,
2011 Ward: 2,,,,
Program: Chicago Park District,Desc of Work,Block,s Unit Count,Est. Cost
Jane Addams Park - lighting,,0,0.00,"$11,860"
Program Total,,0,0.00,"$11,860"
"",,,,
2011 Ward: 2,,,,
Program: Miscellaneous-Other,Desc of Work,Block,s Unit Count,Est. Cost
Trees on the public way,,0,0.00,"$82,145"
Program Total,,0,0.00,"$82,145"
"",,,Other Total:,"$94,00"
2011 Menu Ward:  2,,,,
"","Menu Budget: $1,320,00",0,,
"",Ward Committed Total:,,,
"","$1,319,99",9,,
"",Ward Balance:,,,
"",$,1,,
"",,,,
BOE,,,,
"",,,,
2011 Ward: 3,,,,
Program: Street Lighting,Desc of Work,Block,s Unit Count,Est. Cost
S MICHIGAN AVEE CULLERTON ST (2000 S)E 21,ST (2100 S),0,2.00,$700
S WABASH AVEE 45 ST (4458 S)E 46 ST (4600 S),Alderman's E-mail Attachments,0,1.00,"$68,250"
S PRINCETON AVEW 48 PL (4842 S)W 51 ST (510,0 S)4900-5100 S. PRINCETON 20K FOR FIRE,ALARM 0,2.00,"$156,500"
Program Total,,0,5.00,"$225,450"
"",,,BOE Total:,"$225,45"
CDOT,,,,
"",,,,
2011 Ward: 3,,,,
Program: Alley Resurface Menu,Desc of Work,Block,s Unit Count,Est. Cost
S MICHIGAN AVES INDIANA AVEE 40TH STE 41,ST ST,0,0.00,"$2,981"
S STATE STS WABASH AVEW 15TH STW 16TH S,T,0,0.00,"$10,000"
S ASHLAND AVEW 46TH STS MCDOWELL AVE,W 46TH ST,1,0.00,"$39,982"
S MARSHFIELD AVES ASHLAND AVEW 45TH ST,W 46TH ST,1,0.00,"$34,472"
Program Total,,2,0.00,"$87,436"
2011 Ward: 3,,,,
Program: New Alley Construction,Desc of Work,Block,s Unit Count,Est. Cost
1503 S State,PM: IH,0,1.00,"$5,961"
Program Total,,0,1.00,"$5,961"
"",,,,
2011 Ward: 3,,,,
Program: Sidewalk Menu,Desc of Work,Block,s Unit Count,Est. Cost
W 42ND PLS SHIELDS AV (342 W)S SHIELDS AV (3,42 W),0,0.00,"$20,538"
E 37TH PLS STATE ST (0 E)S WABASH AV (44 E),,0,0.00,"$56,398"
E 38TH STS STATE ST (0 E)Dead End (48 E),,0,0.00,"$29,267"
S WABASH AVEE 18 ST (1820 S)E 18 ST (1820 S),,0,0.00,"$4,006"
S WABASH AVEE 41 ST (4100 S)E 42 ST (4200 S),,0,0.00,"$18,120"
E 53RD STS MICHIGAN AV (120 E)S INDIANA AV (,200 E),0,0.00,"$14,272"
S LOOMIS BLVDW 47 ST (4700 S)W 48 ST (4800 S),,0,0.00,"$38,840"
E 24TH STS STATE ST (0 E)S WABASH AV (44 E),,0,0.00,"$7,491"
S DEARBORN STW 54 ST (5400 S)W GARFIELD (N),BV(5450 S),0,0.00,"$21,021"
S WELLS STW 44 PL (4432 S)W 45 PL (4532 S),,0,0.00,"$21,336"
Program Total,,0,0.00,"$231,289"
"",,,,
2011 Ward: 3,,,,
Program: Sidewalk Menu - Change Order,Desc of Work,Block,s Unit Count,Est. Cost
"2728,2799,2801 & 2890 S State",PM: JC/OC- 2726(2009) & 2730 (2010),0,0.00,"$89,995"
2011 Ward: 3,,,,
Program: Sidewalk Menu - Change Order,Desc of Work,Block,s Unit Count,Est. Cost
Program Total,,0,0.00,"$89,995"
"",,,,
2011 Ward: 3,,,,
Program: Street Resurface Menu,Desc of Work,Block,s Unit Count,Est. Cost
E 48TH STS VINCENNES AV (500 E)S FORRESTVIL,LE AV (532 E),0,0.00,"$35,464"
S PRAIRIE AVEE PERSHING RD (3900 S)E 41 ST (41,00 S),2,0.00,"$102,243"
E 37TH STS INDIANA AV (200 E)S PRAIRIE AV (232,E),0,0.00,"$32,078"
S FORRESTVILLE AVEE 48 ST (4800 S)E 49 ST (4900,S),1,0.00,"$51,593"
E 42ND STDR. MARTIN LUTHER KING JR. DR  (400 E),S VINCENNES AV,1,0.00,"$62,079"
"(515 E)",,,,
W 15TH STS DEARBORN ST (36 W)S CLARK ST (10,0 W),0,0.00,"$29,574"
S PRAIRIE AVEE 44 ST (4400 S)E 47 ST (4700 S),,5,0.00,"$267,034"
W CULLERTON STS STATE ST (0 E)S CLARK ST (10,0 W),1,0.00,"$69,014"
Program Total,,11,0.00,"$649,080"
"",,,,
2011 Ward: 3,,,,
Program: Street Resurface Menu(1-5),Desc of Work,Block,s Unit Count,Est. Cost
S VERNON AVEE 43 ST (4300 S)Dead End (4319 S),,0,0.00,"$19,289"
Program Total,,0,0.00,"$19,289"
"",,,,
2011 Ward: 3,,,,
Program: Street Speed Hump Menu,Desc of Work,Block,s Unit Count,Est. Cost
2011 Ward: 3,,,,
Program: Street Speed Hump Menu,Desc of Work,Block,s Unit Count,Est. Cost
S PRINCETON AVEW 43 ST (4300 S)W 43 PL (4332 S,),0,1.00,"$1,850"
DR MARTIN LUTHER KING JR DRE PERSHING RD (39,00 S)E 40 ST (4000 S),0,1.00,"$1,850"
S CALUMET AVEE 38 ST (3800 S)E PERSHING RD (,3900 S),0,1.00,"$3,700"
Program Total,,0,3.00,"$7,400"
"",,,CDOT Total:,"$1,090,45"
Other,,,,
"",,,,
2011 Ward: 3,,,,
Program: Miscellaneous-Other,Desc of Work,Block,s Unit Count,Est. Cost
"Tree Planting - 4239,4241, 4243,4245 S. King Dr. &",,0,0.00,"$3,300"
Trash container at 35th & Michigan,,0,0.00,$800
Program Total,,0,0.00,"$4,100"
"",,,Other Total:,"$4,10"
2011 Menu Ward:  3,,,,
"","Menu Budget: $1,320,00",0,,
"",Ward Committed Total:,,,
"","$1,320,00",0,,
"",Ward Balance:,,,
"",$,0,,
"",,,,
BOE,,,,
"",,,,
2011 Ward: 4,,,,
Program: Street Lighting,Desc of Work,Block,s Unit Count,Est. Cost
S ST LAWRENCE AVEE 43 ST (4300 S)E 44 ST (44,00 S),0,5.00,"$1,750"
Program Total,,0,5.00,"$1,750"
"",,,BOE Total:,"$1,75"
CDOT,,,,
"",,,,
2011 Ward: 4,,,,
Program: Alley Resurface Menu,Desc of Work,Block,s Unit Count,Est. Cost
S CALUMET AVEE 35TH STS DR MARTIN LUTHER,KING JR DR WE,0,0.00,"$1,073"
37TH ST,,,,
Program Total,,0,0.00,"$1,073"
"",,,,
2011 Ward: 4,,,,
Program: Alley Speed Hump Menu,Desc of Work,Block,s Unit Count,Est. Cost
E 42ND STE BOWEN AVES ST LAWRENCE AVE,S LANGLEY AVE,0,0.00,"$1,100"
Program Total,,0,0.00,"$1,100"
2011 Ward: 4,,,,
Program: Curb/Gutter Menu,Desc of Work,Block,s Unit Count,Est. Cost
S RHODES AVEE 31 ST (3100 S)E 33 ST (3300 S),,0,0.00,"$246,556"
S DREXEL AVEE 47 ST (4700 S)E 48 ST (4800 S),,0,0.00,"$18,916"
Program Total,,0,0.00,"$265,472"
"",,,,
2011 Ward: 4,,,,
Program: Miscellaneous-CDOT,Desc of Work,Block,s Unit Count,Est. Cost
Harper Ave. Construction,,0,0.00,"$200,000"
Program Total,,0,0.00,"$200,000"
"",,,,
2011 Ward: 4,,,,
Program: Sidewalk Menu,Desc of Work,Block,s Unit Count,Est. Cost
E 40TH STS ELLIS AV (923 E)S LAKE PARK AV (994,E),0,0.00,"$10,196"
S OAKENWALD AVEE 42 PL (4228 S)E 43 ST (4300 S,),0,0.00,"$23,025"
S GREENWOOD AVEE 44 ST (4400 S)E 45 ST (4500 S,),0,0.00,"$32,369"
S PRAIRIE AVEE 26 ST (2600 S)E 29 ST (2900 S),,0,0.00,"$56,017"
S KENWOOD AVEE 48 ST (4800 S)E 49 ST (4900 S),,0,0.00,"$31,644"
E 54TH STS HARPER AV (1500 E)S HARPER AV (150,0 E),0,0.00,"$23,868"
S VINCENNES AVEE 42 ST (4200 S)E 42 PL (4232 S),,0,0.00,"$4,474"
E 43RD STS FORRESTVILLE AV (532 E)S ST LAWR,ENCE AV (600 E),0,0.00,"$16,940"
E 42ND STS ST LAWRENCE AV (600 E)S CHAMPLA,IN AV (634 E),0,0.00,"$10,283"
2011 Ward: 4,,,,
Program: Sidewalk Menu,Desc of Work,Block,s Unit Count,Est. Cost
E 36TH STS COTTAGE GROVE AV (715 E)S ELLIS A,V (741 E),0,0.00,"$20,424"
S CHAMPLAIN AVEE 47 ST (4700 S)E 48 ST (4800 S),,0,0.00,"$22,216"
E 48TH STS ELLIS AV (1000 E)S GREENWOOD AV (,1100 E),0,0.00,"$38,540"
Program Total,,0,0.00,"$289,993"
"",,,,
2011 Ward: 4,,,,
Program: Sidewalk Menu - Change Order,Desc of Work,Block,s Unit Count,Est. Cost
E 47TH STS COTTAGE GROVE AV (800 E)S DREX,EL AV (900 E)PM: JC - 2013 request - 2011 funds,0,0.00,"$1,650"
Program Total,,0,0.00,"$1,650"
"",,,,
2011 Ward: 4,,,,
Program: Street Resurface Menu,Desc of Work,Block,s Unit Count,Est. Cost
S KIMBARK AVEE 49 ST (4900 S)E 50 ST (5000 S),,1,0.00,"$64,934"
S GREENWOOD AVEE 48 ST (4800 S)E 49 ST (4900 S,),1,0.00,"$79,062"
E 37TH STS RHODES AV (500 E)S VINCENNES AV (,614 E),1,0.00,"$48,086"
S LANGLEY AVEE 47 ST (4700 S)E 48 ST (4800 S),,1,0.00,"$40,726"
S RHODES AVEE 33 PL (3332 S)E 35 ST (3500 S),,2,0.00,"$69,123"
S GREENWOOD AVEE 49 ST (4900 S)E 50 ST (5000 S,),1,0.00,"$49,946"
Program Total,,7,0.00,"$351,878"
"",,,,
2011 Ward: 4,,,,
Program: Street Resurface Menu(1-5),Desc of Work,Block,s Unit Count,Est. Cost
2011 Ward: 4,,,,
Program: Street Resurface Menu(1-5),Desc of Work,Block,s Unit Count,Est. Cost
