ward,type,location,year,est_cost,id,start_location,end_location,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
2,Street Lighting,S UNION AVE & S DAN RYAN ENTR RP (1077 S) & S DAN RYAN ENTR RP (1250 S),2011,3600,1801,1077 S UNION AVE,1250 S UNION AVE,NA,NA,census,41.8656744,-87.6452224,google,"c(-87.6452224, 41.8656744)",11007,7,7992689.64333,14820.057152,11
1,Sidewalk Menu,N PAULINA ST & N MOORMAN ST (1272 N) & N MOORMAN ST (1272 N),2011,10639,405,1272 N PAULINA ST,1272 N PAULINA ST,41.90480976300006,-87.66997413899998,census,41.90480976300006,-87.66997413899998,census,"c(-87.669974139, 41.9048097630001)",01021,21,2410403.60641,6626.31339185,1
3,Sidewalk Menu,1240-1330 S STATE ST,2019,33179.48,2868,1240 S STATE ST,1330 S STATE ST,41.86625487600003,-87.62748378299995,census,NA,NA,census,"c(-87.6274837829999, 41.866254876)",03026,26,1592598.77248,5628.36342017,3
3,Sidewalk Menu,1240-1330 S STATE ST,2019,6300,2873,1240 S STATE ST,1330 S STATE ST,41.86625487600003,-87.62748378299995,census,NA,NA,census,"c(-87.6274837829999, 41.866254876)",03026,26,1592598.77248,5628.36342017,3
4,Sidewalk Menu,E 54TH ST & S HARPER AV (1500 E) & S HARPER AV (1500 E),2011,23868,3202,1500 E 54TH ST,1500 E 54TH ST,41.79808748500005,-87.58900722099997,census,41.79808748500005,-87.58900722099997,census,"c(-87.589007221, 41.7980874850001)",05024,24,1693862.9612,6084.29029191,5
26,Diagonal Parking Menu,N HAMLIN AVE & W NORTH AV (1600 N) & W NORTH AV (1600 N),2011,30379,21186,1600 N HAMLIN AVE,1600 N HAMLIN AVE,41.909977783000045,-87.72145029899997,census,41.909977783000045,-87.72145029899997,census,"c(-87.721450299, 41.909977783)",26047,47,1546021.64279,5937.48888192,26
40,Curb/Gutter Menu,W EDGEWATER AVE & N ASHLAND AV (1600 W) & N ASHLAND AV (1600 W),2011,1722,32306,1600 W EDGEWATER AVE,1600 W EDGEWATER AVE,41.98594368800008,-87.66992242499998,census,41.98594368800008,-87.66992242499998,census,"c(-87.669922425, 41.9859436880001)",40022,22,2223436.77003,9295.23238847,40
3,Sidewalk Menu,S WABASH AVE & E 18 ST (1820 S) & E 18 ST (1820 S),2011,4006,2596,1820 S WABASH AVE,1820 S WABASH AVE,41.857463480000035,-87.62560828999995,census,41.857463480000035,-87.62560828999995,census,"c(-87.6256082899999, 41.85746348)",03014,14,1441656.27474,6866.36643937,3
25,Street Resurface Menu,S JEFFERSON ST & S CANALPORT AV (1853 S) & S CANALPORT AV (1853 S),2011,93960,20479,1853 S JEFFERSON ST,1853 S JEFFERSON ST,41.85714552900003,-87.64183870099998,census,41.85714552900003,-87.64183870099998,census,"c(-87.641838701, 41.857145529)",11038,38,1486058.89946,7710.87732434,11
32,Street Resurface Menu,N WILMOT AVE & N OAKLEY AV (1922 N) & N OAKLEY AV (1922 N),2011,39406,26061,1922 N WILMOT AVE,1922 N WILMOT AVE,41.916501777000065,-87.68536064799997,census,41.916501777000065,-87.68536064799997,census,"c(-87.685360648, 41.9165017770001)",32032,32,1695173.04822,6983.01491577,32
32,Street Resurface Menu,N OAKLEY AVE & W ARMITAGE AV (2000 N) & W ARMITAGE AV (2000 N),2011,61335,26062,2000 N OAKLEY AVE,2000 N OAKLEY AVE,41.85479609300006,-87.68327057099998,census,41.85479609300006,-87.68327057099998,census,"c(-87.683270571, 41.8547960930001)",25008,8,1786328.36055,5369.86775017,25
2,Street Lighting,W MAYPOLE AVE & N DAMEN AV (2000 W) & N LEAVITT AV (2000 S),2011,6300,1814,2000 W MAYPOLE AVE,2000 W MAYPOLE AVE,41.88398268900005,-87.67791470699996,census,41.88398268900005,-87.67791470699996,census,"c(-87.677914707, 41.883982689)",27043,43,6842223.48705,11450.6499082,27
40,Curb/Gutter Menu,W PETERSON AVE & N DAMEN AV (2000 W) & N DAMEN AV (2000 W),2011,20886,32307,2000 W PETERSON AVE,2000 W PETERSON AVE,41.990682813000035,-87.67988231099997,census,41.990682813000035,-87.67988231099997,census,"c(-87.679882311, 41.990682813)",40018,18,2626016.95913,6632.19779703,40
2,Street Lighting,W RANDOLPH ST & N DAMEN AV (2000 W) & N LEAVITT AV (2000 S),2011,6300,1813,2000 W RANDOLPH ST,2000 W RANDOLPH ST,41.884632905000046,-87.67742403799997,census,41.884632905000046,-87.67742403799997,census,"c(-87.677424038, 41.884632905)",27043,43,6842223.48705,11450.6499082,27
1,Street Resurface Menu(1-5),N POINT ST & W CHANAY ST (2078 N) & W CHANAY ST (2078 N),2011,21539,430,2078 N POINT ST,2078 N POINT ST,41.91850688900007,-87.69559186699996,census,41.91850688900007,-87.69559186699996,census,"c(-87.695591867, 41.9185068890001)",01034,34,1134721.41495,5720.94319263,1
25,Street Resurface Menu(1-5),W 23RD ST & S DAMEN AV (2000 W) & S LEAVITT ST (2200 W),2011,106112,20482,2000 W 23RD ST,2200 W 23RD ST,41.850368967000065,-87.67583168099998,census,NA,NA,census,"c(-87.675831681, 41.8503689670001)",25001,1,1323053.68063,5326.47708594,25
50,Street Resurface Menu,W ROSEMONT AVE & N LEAVITT ST (2200 W) & N LEAVITT ST (2200 W),2011,38915,39888,2200 W ROSEMONT AVE,2200 W ROSEMONT AVE,41.99600048600007,-87.68502694999995,census,41.99600048600007,-87.68502694999995,census,"c(-87.68502695, 41.9960004860001)",50032,32,1874148.44149,6631.36371517,50
28,Sidewalk Menu,W 23RD ST & S WESTERN AV (2400 W) & S ROCKWELL ST (2600 W),2011,32323,22635,2400 W 23RD ST,2600 W 23RD ST,41.85021767500007,-87.68576998599997,census,NA,NA,census,"c(-87.685769986, 41.8502176750001)",28019,19,12735644.8933,25530.9087733,28
2,Sidewalk Menu,W WARREN BLVD & N POLLOCK ST (2605 W) & N POLLOCK ST (2605 W),2011,18486,1826,2605 W WARREN BLVD,2605 W WARREN BLVD,41.882026033000045,-87.69231555599998,census,41.882026033000045,-87.69231555599998,census,"c(-87.692315556, 41.882026033)",27050,50,2402321.5161,7589.29345566,27
35,Street Resurface Menu(1-5),N AVONDALE AVE & W LOGAN(2557 N) & N TALMAN AV (2627 N),2011,56470,28472,2557 N AVONDALE AVE,2627 N AVONDALE AVE,41.9264221,-87.6876231,google,41.9264221,-87.6876231,google,"c(-87.6876231, 41.9264221)",01042,42,1691166.38837,8527.66083464,1
11,Curb/Gutter Menu,S HILLOCK AVE & S BONFIELD ST (2750 S) & S BONFIELD ST (2750 S),2011,25596,8299,2750 S HILLOCK AVE,2750 S HILLOCK AVE,41.84411976200005,-87.65882798899997,census,41.84411976200005,-87.65882798899997,census,"c(-87.658827989, 41.844119762)",11001,1,6010344.86622,11579.7307851,11
43,Sidewalk Menu,W SCHILLER ST & N NORTH PARK AV (310 W) & N NORTH PARK AV (310 W),2011,8663,34687,310 W SCHILLER ST,310 W SCHILLER ST,41.90762153400004,-87.63767853399997,census,41.90762153400004,-87.63767853399997,census,"c(-87.637678534, 41.907621534)",27042,42,439435.714043,5109.51459573,27
33,Curb/Gutter Menu,W WAVELAND AVE & N TROY ST (3132 W) & N TROY ST (3132 W),2011,8558,26759,3132 W WAVELAND AVE,3132 W WAVELAND AVE,41.94847094200003,-87.70619497999996,census,41.94847094200003,-87.70619497999996,census,"c(-87.70619498, 41.948470942)",33012,12,1958775.1062,6729.77863114,33
32,Curb/Gutter Menu,N LEAVITT ST & W BELMONT AV (3200 N) & W BELMONT AV (3200 N),2011,2206,26044,3200 N LEAVITT ST,3200 N LEAVITT ST,41.939533,-87.6832068,google,41.939533,-87.6832068,google,"c(-87.6832068, 41.939533)",32019,19,1809825.58058,6967.50413107,32
44,Curb/Gutter Menu,N SHEFFIELD AVE & W BELMONT AV (3200 N) & W BELMONT AV (3200 N),2011,4497,35449,3200 N SHEFFIELD AVE,3200 N SHEFFIELD AVE,41.940061343000025,-87.65411671899994,census,41.940061343000025,-87.65411671899994,census,"c(-87.6541167189999, 41.940061343)",44039,39,1211434.6644600001,5315.48962214,44
11,Sidewalk Menu,S MAY ST & W 32 ST (3200 S) & W 32 ST (3200 S),2011,31181,8311,3200 S MAY ST,3200 S MAY ST,41.836048256000026,-87.65475347199998,census,41.836048256000026,-87.65475347199998,census,"c(-87.654753472, 41.836048256)",11017,17,1948515.96249,6952.81568711,11
14,Sidewalk Menu,W 43RD ST & W POPE JOHN PAUL II DR (3150 W) & S SAWYER AV (3230 W),2011,9299,11573,3230 W 43RD ST,3230 W 43RD ST,41.81543874100004,-87.70515286999995,census,41.81543874100004,-87.70515286999995,census,"c(-87.7051528699999, 41.815438741)",14016,16,9217284.90959,13235.8080992,14
27,Street Speed Hump Menu,W OHIO ST & N ST LOUIS AV (3500 W) & N HOMAN AV (3400 W),2011,3700,21949,3500 W OHIO ST,3400 W OHIO ST,41.8919528,-87.7139665,google,NA,NA,census,"c(-87.7139665, 41.8919528)",27034,34,1445054.36364,5332.21010285,27
30,Sidewalk Menu,N LOWELL AVE & W CORNELIA AV (3500 N) & W CORNELIA AV (3500 N),2011,80932,24214,3500 N LOWELL AVE,3500 N LOWELL AVE,41.94455450800007,-87.73597128599994,census,41.94455450800007,-87.73597128599994,census,"c(-87.7359712859999, 41.9445545080001)",30007,7,2773150.68748,7709.68934024,30
44,Curb/Gutter Menu,N SHEFFIELD AVE & W CORNELIA AV (3500 N) & W CORNELIA AV (3500 N),2011,2510,35455,3500 N SHEFFIELD AVE,3500 N SHEFFIELD AVE,41.94567181000008,-87.65428556599994,census,41.94567181000008,-87.65428556599994,census,"c(-87.6542855659999, 41.9456718100001)",44038,38,1741165.82739,5567.10042446,44
11,Street Resurface Menu(1-5),S HERMITAGE AVE & W 35 ST (3500 S) & W 35 ST (3500 S),2011,50190,8320,3500 S HERMITAGE AVE,3500 S HERMITAGE AVE,41.8304547,-87.6691689,google,41.8304547,-87.6691689,google,"c(-87.6691689, 41.8304547)",12023,23,2328345.08382,7289.11798139,12
27,Street Resurface Menu,W OHIO ST & N TRUMBULL AV (3432 W) & N ST LOUIS AV (3500 W),2011,39700,21946,3432 W OHIO ST,3500 W OHIO ST,NA,NA,census,41.8919528,-87.7139665,google,"c(-87.7139665, 41.8919528)",27034,34,1445054.36364,5332.21010285,27
38,Curb/Gutter Menu,N MAJOR AVE & W ADDISON ST (3600 N) & W ADDISON ST (3600 N),2011,11367,30861,3600 N MAJOR AVE,3600 N MAJOR AVE,41.94588900700006,-87.76919887799994,census,41.94588900700006,-87.76919887799994,census,"c(-87.7691988779999, 41.9458890070001)",36014,14,2286872.56348,7300.65129493,36
24,Sidewalk Menu,W 19TH ST & S LAWNDALE AV (3700 W) & S LAWNDALE AV (3700 W),2011,6045,19572,3700 W 19TH ST,3700 W 19TH ST,41.8550688,-87.7175487,google,41.8550688,-87.7175487,google,"c(-87.7175487, 41.8550688)",24006,6,1525434.85587,6026.06056576,24
35,Street Resurface Menu,N BERNARD ST & W BYRON ST (3900 N) & W BYRON ST (3900 N),2011,57315,28458,3900 N BERNARD ST,3900 N BERNARD ST,41.952128781000056,-87.71407086899995,census,41.952128781000056,-87.71407086899995,census,"c(-87.714070869, 41.9521287810001)",35026,26,2218119.82234,7990.53939454,35
44,Curb/Gutter Menu,N JANSSEN AVE & W BYRON ST (3900 N) & W BYRON ST (3900 N),2011,2348,35458,3900 N JANSSEN AVE,3900 N JANSSEN AVE,41.95255520300003,-87.66580667899996,census,41.95255520300003,-87.66580667899996,census,"c(-87.665806679, 41.952555203)",47044,44,1071824.89401,4661.2388382,47
33,Sidewalk Menu,N FRANCISCO AVE & W BELLE PLAINE AV (4100 N) & W BELLE PLAINE AV (4100 N),2011,34055,26767,4100 N FRANCISCO AVE,4100 N FRANCISCO AVE,41.955923,-87.7010381,google,41.955923,-87.7010381,google,"c(-87.7010381, 41.955923)",33025,25,3180666.42123,7418.78899568,33
30,Sidewalk Menu,W ROSCOE ST & N KEELER AV (4200 W) & N KEELER AV (4200 W),2011,15869,24225,4200 W ROSCOE ST,4200 W ROSCOE ST,41.94267742100004,-87.73218359799995,census,41.94267742100004,-87.73218359799995,census,"c(-87.7321835979999, 41.942677421)",30007,7,2773150.68748,7709.68934024,30
31,Sidewalk Menu,W DIVERSEY AVE & N KENNETH AV (4432 W) & N KENNETH AV (4432 W),2011,13366,25254,4432 W DIVERSEY AVE,4432 W DIVERSEY AVE,41.93164958400007,-87.73815271899997,census,41.93164958400007,-87.73815271899997,census,"c(-87.738152719, 41.9316495840001)",31024,24,1827187.57582,8761.6199852,31
45,Street Resurface Menu,N MOODY AVE & W ARGYLE ST (5000 N) & W ARGYLE ST (5000 N),2011,147159,36290,5000 N MOODY AVE,5000 N MOODY AVE,41.97220588700003,-87.78188853599994,census,41.97220588700003,-87.78188853599994,census,"c(-87.7818885359999, 41.972205887)",45023,23,2630858.3588,7955.4959024,45
41,Curb/Gutter Menu,N NEWLAND AVE & W ARGYLE ST (5000 N) & W ARGYLE ST (5000 N),2011,20436,33061,5000 N NEWLAND AVE,5000 N NEWLAND AVE,41.97196965400008,-87.80005728699996,census,41.97196965400008,-87.80005728699996,census,"c(-87.800057287, 41.9719696540001)",41024,24,2808329.55011,6901.24958274,41
13,Street Bump Outs Menu,W 63RD PL & S LATROBE AV (5232 W) & S LATROBE AV (5232 W),2011,12761,10119,5232 W 63RD PL,5232 W 63RD PL,41.7773805,-87.753191,google,41.7773805,-87.753191,google,"c(-87.753191, 41.7773805)",13027,27,2356162.6348,6670.71428409,13
45,Street Resurface Menu,N LAPORTE AVE & W BERWYN AV (5320 N) & W BERWYN AV (5320 N),2011,55100,36291,5320 N LAPORTE AVE,5320 N LAPORTE AVE,41.97854590500003,-87.75198006999995,census,41.97854590500003,-87.75198006999995,census,"c(-87.7519800699999, 41.978545905)",39041,41,4655506.24713,12716.123578,39
40,Sidewalk Menu,N CALIFORNIA AVE & W BRYN MAWR AV (5600 N) & W BRYN MAWR AV (5600 N),2011,4514,32312,5600 N CALIFORNIA AVE,5600 N CALIFORNIA AVE,41.79172866700003,-87.693748778999975,census,41.79172866700003,-87.693748778999975,census,"c(-87.693748779, 41.791728667)",16001,1,2649387.63505,6642.73386023,16
39,Street Resurface Menu,N KIRBY AVE & N KERCHEVAL AV (5723 N) & N CALDWELL AV (5775 N),2011,28769,31598,5723 N KIRBY AVE,5775 N KIRBY AVE,41.9850946,-87.7446269,google,41.9850946,-87.7446269,google,"c(-87.7446269, 41.9850946)",39001,1,2861091.28631,6888.119912,39
2,Street Resurface Menu(1-5),S CAMPBELL AVE & W HARRISON ST (600 S) & W HARRISON ST (600 S),2011,23161,1838,600 S CAMPBELL AVE,600 S CAMPBELL AVE,41.87369480500007,-87.68866216799995,census,41.87369480500007,-87.68866216799995,census,"c(-87.688662168, 41.8736948050001)",28011,11,5596357.98831,10883.2439211,28
20,Sidewalk Menu,S PRAIRIE AVE & E 61 ST (6100 S) & E 61 ST (6100 S),2011,14986,16151,6100 S PRAIRIE AVE,6100 S PRAIRIE AVE,41.78359579200003,-87.61894475699995,census,41.78359579200003,-87.61894475699995,census,"c(-87.618944757, 41.783595792)",20007,7,3367757.26989,7960.5645209,20
20,Street Speed Hump Menu,S VERNON AVE & E 61 ST (6100 S) & E 61 ST (6100 S),2011,3700,16179,6100 S VERNON AVE,6100 S VERNON AVE,41.78376733300007,-87.61450191199998,census,41.78376733300007,-87.61450191199998,census,"c(-87.614501912, 41.7837673330001)",20019,19,1541976.81239,5966.22810154,20
45,Street Resurface Menu(1-5),W MATSON AVE & N MEADE AV (6100 W) & N ELSTON AV (6130 W),2011,24164,36295,6100 W MATSON AVE,6130 W MATSON AVE,41.9916351,-87.7811236,google,41.9916351,-87.7811236,google,"c(-87.7811236, 41.9916351)",39020,20,3130216.68903,8330.44863724,39
39,Street Resurface Menu,N KEATING AVE & N HIAWATHA AV (6136 N) & N HIAWATHA AV (6136 N),2011,7245,31603,6136 N KEATING AVE,6136 N KEATING AVE,41.99271228400005,-87.74712405699995,census,41.99271228400005,-87.74712405699995,census,"c(-87.747124057, 41.992712284)",39015,15,6086098.87201,9823.81603406,39
20,Street Speed Hump Menu,S CALUMET AVE & E 63 ST (6300 S) & E 63 ST (6300 S),2011,1850,16190,6300 S CALUMET AVE,6300 S CALUMET AVE,41.779027075000045,-87.61726011499997,census,41.779027075000045,-87.61726011499997,census,"c(-87.617260115, 41.779027075)",20035,35,8714197.24605,15167.6119889,20
41,Street Resurface Menu,N NAVAJO AVE & N LEOTI AV (6322 N) & N LEOTI AV (6322 N),2011,971,33082,6322 N NAVAJO AVE,6322 N NAVAJO AVE,41.996292528000026,-87.75876232999997,census,41.996292528000026,-87.75876232999997,census,"c(-87.75876233, 41.996292528)",39044,44,2689170.14436,8184.8486191,39
2,Pole Painting,W MONROE ST & E KENNEDY ENTR RP (713 W) & S DESPLAINES ST (640 W),2011,3800,1788,640 W MONROE ST,640 W MONROE ST,41.880544040000075,-87.64354978399996,census,41.880544040000075,-87.64354978399996,census,"c(-87.643549784, 41.8805440400001)",42003,3,1235551.64737,5422.94974175,42
2,Street Lighting,W MONROE ST & E KENNEDY ENTR RP (713 W) & S DESPLAINES ST (640 W),2011,2550,1802,640 W MONROE ST,640 W MONROE ST,41.880544040000075,-87.64354978399996,census,41.880544040000075,-87.64354978399996,census,"c(-87.643549784, 41.8805440400001)",42003,3,1235551.64737,5422.94974175,42
20,Sidewalk Menu,S STEWART AVE & W 64 ST (6400 S) & W 64 ST (6400 S),2011,8987,16156,6400 S STEWART AVE,6400 S STEWART AVE,41.77795764700005,-87.63500215299996,census,41.77795764700005,-87.63500215299996,census,"c(-87.635002153, 41.7779576470001)",20029,29,4269570.51213,10168.3082792,20
41,Curb/Gutter Menu,N AVONDALE AVE & N OGALLAH AV (6524 N) & N OGALLAH AV (6524 N),2011,10923,33057,6524 N AVONDALE AVE,6524 N AVONDALE AVE,41.999473214000034,-87.81455849899999,census,41.999473214000034,-87.81455849899999,census,"c(-87.814558499, 41.999473214)",41007,7,3901972.41682,9156.1564981,41
41,Curb/Gutter Menu,N NORTHWEST HWY & N OVERHILL AV (6832 N) & N OVERHILL AV (6832 N),2011,42166,33058,6832 N NORTHWEST HWY,6832 N NORTHWEST HWY,42.00504987200003,-87.81974891999994,census,42.00504987200003,-87.81974891999994,census,"c(-87.8197489199999, 42.005049872)",41005,5,3122740.45291,9769.86969674,41
6,Street Resurface Menu,S LAFAYETTE AVE & W 73 ST (7300 S) & W 73 ST (7300 S),2011,37040,4529,7300 S LAFAYETTE AVE,7300 S LAFAYETTE AVE,41.76170472200005,-87.62648823099994,census,41.76170472200005,-87.62648823099994,census,"c(-87.6264882309999, 41.761704722)",06047,47,2955380.51024,7687.79033419,6
44,Sidewalk Menu,W ALDINE AVE & N HALSTED ST (800 W) & W SCHOOL ST (921 W),2011,3238,35474,800 W ALDINE AVE,800 W ALDINE AVE,41.94179696700007,-87.65011690299997,census,41.94179696700007,-87.65011690299997,census,"c(-87.650116903, 41.9417969670001)",44034,34,1017184.84478,5404.90745616,44
44,Curb/Gutter Menu,W BUCKINGHAM PL & N HALSTED ST (800 W) & N HALSTED ST (800 W),2011,9604,35442,800 W BUCKINGHAM PL,800 W BUCKINGHAM PL,41.94271783900007,-87.64940541099998,census,41.94271783900007,-87.64940541099998,census,"c(-87.649405411, 41.9427178390001)",44034,34,1017184.84478,5404.90745616,44
8,Sidewalk Menu,S DREXEL AVE & E 98 ST (9800 S) & E 98 ST (9800 S),2011,27848,5810,9800 S DREXEL AVE,9800 S DREXEL AVE,41.71648132300004,-87.60186859799995,census,41.71648132300004,-87.60186859799995,census,"c(-87.601868598, 41.716481323)",08047,47,2342994.39174,6211.71793843,8
27,POD Camera,"Albany & Walnut - TPC = $20 ,000 (2009 , 2008 menu)",2010,19455,21905,Albany & Walnut,"Albany & TPC = $20 ,000 (2009 , 2008 menu)",41.8854175,-87.7037832,google,NA,NA,google,"c(-87.7037832, 41.8854175)",27004,4,2189307.04473,6568.50186371,27
27,POD Camera,"Albany & Walnut - TPC = $20 ,000 (2010 , 2009 , 2008 menu)",2009,413,21857,Albany & Walnut,"Albany & TPC = $20 ,000 (2010 , 2009 , 2008 menu)",41.8854175,-87.7037832,google,NA,NA,google,"c(-87.7037832, 41.8854175)",27004,4,2189307.04473,6568.50186371,27
27,POD Camera,"Albany & Walnut - TPC = $20 ,000 (2010 ,2009 ,2008 )",2008,132,21810,Albany & Walnut,"Albany & TPC = $20 ,000 (2010 ,2009 ,2008 )",41.8854175,-87.7037832,google,NA,NA,google,"c(-87.7037832, 41.8854175)",27004,4,2189307.04473,6568.50186371,27
35,Street Light Residential,ON ALBANY FROM W ARMITAGE AV (2000 N) TO W PALMER BV (2150 N),2012,96000,28508,ALBANY and W ARMITAGE AV,ALBANY and W PALMER BV,NA,NA,google,41.9206742,-87.7053041,google,"c(-87.7053041, 41.9206742)",32022,22,2208712.24994,6266.61595812,32
2,Street Light Pole Painting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),2012,5700,1894,CONGRESS and S MORGAN ST,CONGRESS and E EISENHOWER EXIT RP,41.87511055500005,-87.65183329099995,census,NA,NA,google,"c(-87.6518332909999, 41.875110555)",25003,3,3909890.27327,10135.1881446,25
2,Street Light Upgrade,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),2012,7600,1917,CONGRESS and S MORGAN ST,CONGRESS and E EISENHOWER EXIT RP,41.87511055500005,-87.65183329099995,census,NA,NA,google,"c(-87.6518332909999, 41.875110555)",25003,3,3909890.27327,10135.1881446,25
8,Street Light Upgrade,ON CREGIER FROM E 89 ST (8900 S) TO E 89 ST (8900 S),2013,1400,5904,CREGIER and E 89th ST,CREGIER and E 89th ST,41.7334131,-87.58047,google,41.7334131,-87.58047,google,"c(-87.58047, 41.7334131)",08019,19,2202521.9514,6640.8245922,8
9,Sidewalk Menu,E 101 PL-- S PRINCETON AV (300 W) -to- Dead End (350 W),2008,64538,6453,E 101st PL AND S PRINCETON AV,E 101st PL AND Dead End,41.7098123,-87.6307827,google,NA,NA,google,"c(-87.6307827, 41.7098123)",09010,10,2211236.08585,6879.96881586,9
10,Diagonal Parking Menu,E 105 ST-- S EWING AV (3632 E) -to- S EWING AV (3632 E),2008,24035,7384,E 105th ST AND S EWING AV,E 105th ST AND S EWING AV,41.7045573,-87.5353018,google,41.7045573,-87.5353018,google,"c(-87.5353018, 41.7045573)",10011,11,3480455.70375,7924.90663484,10
10,Diagonal Parking Menu,E 105 ST-- S EWING AV (3632 E) -to- S EWING AV (3632 E),2008,50664,7385,E 105th ST AND S EWING AV,E 105th ST AND S EWING AV,41.7045573,-87.5353018,google,41.7045573,-87.5353018,google,"c(-87.5353018, 41.7045573)",10011,11,3480455.70375,7924.90663484,10
10,Sidewalk Menu,E 105 ST-- S TORRENCE AV (2633 E) -to- S TORRENCE AV (2633 E),2010,17149,7483,E 105th ST AND S TORRENCE AV,E 105th ST AND S TORRENCE AV,41.7045749,-87.5596213,google,41.7045749,-87.5596213,google,"c(-87.5596213, 41.7045749)",10021,21,10704487.6094,15363.5761769,10
9,Street Resurface Menu - Change Orde,E 107 PL-- S LANGLEY AV (700 E) -to- Dead End (850 E),2007,12607,6436,E 107th PL AND S LANGLEY AV,E 107th PL AND Dead End,41.7001154,-87.6062434,google,NA,NA,google,"c(-87.6062434, 41.7001154)",09008,8,19522874.075,19154.3792838,9
9,Street Resurface Menu,E 107 PL-- S LANGLEY AV (700 E) -to- Dead End (850 E),2008,44051,6459,E 107th PL AND S LANGLEY AV,E 107th PL AND Dead End,41.7001154,-87.6062434,google,NA,NA,google,"c(-87.6062434, 41.7001154)",09008,8,19522874.075,19154.3792838,9
9,Curb/Gutter Menu,E 112 ST-- S LANGLEY AV (700 E) -to- Dead End (704 E),2005,23402,6339,E 112th ST AND S LANGLEY AV,E 112th ST AND Dead End,41.6910075,-87.6059654,google,NA,NA,google,"c(-87.6059654, 41.6910075)",09037,37,7884256.71162,11972.0612075,9
10,Sidewalk Menu,E 112 ST-- S AVENUE B (4032 E) -to- S AVENUE B (4032 E),2008,25895,7390,E 112th ST AND S AVENUE B,E 112th ST AND S AVENUE B,41.6917986,-87.5258298,google,41.6917986,-87.5258298,google,"c(-87.5258298, 41.6917986)",10035,35,18697560.1144,21325.4880112,10
