ward,type,location,year,est_cost,id,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
31,Street Light Upgrade Menu,3058 N CENTRAL AVE,2021,750,27729,census,"c(-87.7664133709999, 41.936002574)",31015,15,1985425.29739,5983.12248337,31
31,Street Resurfacing Menu,3108 N LOCKWOOD AVE,2021,7252.48375,27730,census,"c(-87.759074912, 41.937022868)",30009,9,2221786.03469,9994.7621581,30
29,Street Light Upgrade Menu,3108 N SAYRE AVE,2021,250,25506,census,"c(-87.801178675, 41.936704863)",29031,31,3485366.08203,9277.6808527,29
12,2 LPR on Existing Cameras: 1586 W 33rd St; 3109 S Archer Ave,3109 S ARCHER AVE,2021,10971,10256,census,"c(-87.666019929, 41.8375086460001)",12009,9,5566992.86798,11205.4038526,12
44,Alley Apron Menu,3114 N CLIFTON AVE,2021,8447.15,38840,census,"c(-87.657702818, 41.938316908)",44010,10,1125355.52954,4646.30573957,44
31,Street Light Upgrade Menu,3116 N LOTUS AVE,2021,750,27729,census,"c(-87.76277449, 41.937097185)",31031,31,1330709.36029,4659.61142893,31
31,Street Light Upgrade Menu,3122 N CENTRAL AVE,2021,500,27728,census,"c(-87.7664586289999, 41.9372920380001)",31015,15,1985425.29739,5983.12248337,31
44,Alley Apron Menu,3147 N CAMBRIDGE AVE,2021,5994.52,38841,census,"c(-87.643148137, 41.9391001870001)",44017,17,652816.864266,3717.34183766,44
22,Sidewalk Menu,3201 SKEDVALE AVE,2022,5683.31,19222,google,"c(-87.7276701, 41.8349028)",22016,16,20211090.0728,18469.6225235,22
31,Street Light Upgrade Menu,3237 N LAVERGNE AVE,2021,750,27729,census,"c(-87.751816336, 41.939857083)",31008,8,1779171.55994,6010.30561963,31
28,Sidewalk Menu,324 S LEAMINGTON AVE,2021,7993.305,24767,census,"c(-87.753395032, 41.8759531310001)",28031,31,1795143.54451,6377.17646007,28
11,Alley Resurfacing Menu,3242 S CANAL ST,2021,19374.915,9259,census,"c(-87.637695472, 41.8355356220001)",11020,20,1567614.52802,5611.11836073,11
36,Alley Resurfacing Menu,3258 N NORMANDY AVE,2021,9387.26666666667,32132,census,"c(-87.793308528, 41.9394445290001)",36007,7,2915183.54484,7981.68165814,36
22,Street Bump Outs Menu,3259 S PULASKI RD,2022,8962.43,19223,census,"c(-87.724279227, 41.8340206570001)",22010,10,9027011.4691,12704.9299023,22
11,Alley Resurfacing Menu,329 W 24TH PL,2021,8599.44,9258,census,"c(-87.635751726, 41.8481937450001)",11030,30,5122856.73673,13416.0916311,11
31,Street Light Upgrade Menu,3303 N LAMON AVE,2021,750,27729,census,"c(-87.749386789, 41.940722701)",31034,34,1339929.75779,6016.09730004,31
31,Street Light Upgrade Menu,3305 N LAVERGNE AVE,2021,750,27729,census,"c(-87.751840366, 41.9407555940001)",31008,8,1779171.55994,6010.30561963,31
36,Curb & Gutter Menu,3307 N NEWLAND AVE,2021,3924.855,32162,census,"c(-87.7994642739999, 41.9401683520001)",36007,7,2915183.54484,7981.68165814,36
39,Eugene Fields and Hollywood Parks Tennis Courts Rehabilitation,3312 W THORNDALE AVE,2022,32500,34659,census,"c(-87.712203247, 41.988487692)",39013,13,3652449.6575,10398.7543622,39
26,Alley Resurfacing Menu,3400 W EVERGREEN AVE,2021,19547.65,23084,census,"c(-87.711810653, 41.905522466)",26009,9,2051059.83182,7950.64547705,26
12,Street Light Upgrade Menu,3401 W 38TH ST,2021,500,10316,census,"c(-87.70944937, 41.8243242230001)",12011,11,3322539.34217,7892.23305529,12
26,Alley Resurfacing Menu,3410 W PIERCE AVE,2021,18468.11,23089,census,"c(-87.712286853, 41.90913368)",26006,6,1129705.52169,4989.13990762,26
36,Miscellaneous CDOT,3425 N MAJOR AVE,2015,16666.6666666667,31857,census,"c(-87.769074551, 41.9427837850001)",36020,20,2434126.91385,8648.54735767,36
11,Concrete Alley Menu,3439 S LOWE AVE,2021,47483.35,9266,census,"c(-87.642477992, 41.8323281940001)",11026,26,1766092.8993,5314.84084652,11
11,Concrete Alley Menu,3439 S LOWE AVE,2022,143017,9331,census,"c(-87.642477992, 41.8323281940001)",11026,26,1766092.8993,5314.84084652,11
31,Speed Indicator Signs,3451 N LARAMIE AVE,2022,6192.80333333333,27776,census,"c(-87.756843325, 41.94377437)",31011,11,1333102.73246,4665.50977852,31
44,Sidewalk Menu,3478 N CLARK ST,2021,24712.62,38875,census,"c(-87.6549519499999, 41.9452538520001)",44038,38,1741165.82739,5567.10042446,44
25,POD Camera,348 W 24 thPl,2007,24000,21513,google,"c(-87.6365591, 41.8481874)",11030,30,5122856.73673,13416.0916311,11
26,Alley Resurfacing Menu,3500 W ARMITAGEAVE,2022,16728.465,23152,google,"c(-87.7137128, 41.9175273)",26037,37,1437418.54371,5704.85962864,26
26,Alley Resurfacing Menu,3501 W LEMOYNE ST,2022,39467.915,23156,census,"c(-87.7144936939999, 41.908193555)",26006,6,1129705.52169,4989.13990762,26
30,Sidewalk Menu,3504 N KILPATRICK AVE,2022,4204.4575,26769,census,"c(-87.743947503, 41.94482298)",30027,27,2191641.81535,7003.31239153,30
30,Sidewalk Menu,3505 N KILPATRICK AVE,2022,4204.4575,26769,census,"c(-87.743932765, 41.9448232030001)",30031,31,2773228.34408,7703.36180598,30
44,Alley Apron Menu,3515 N LAKEWOOD AVE,2021,6039.24,38842,census,"c(-87.661550569, 41.9457757420001)",44011,11,1289342.64638,5300.65599063,44
12,Street Light Upgrade Menu,3517 S MARSHFIELD AVE,2021,500,10316,census,"c(-87.6667059499999, 41.8296666460001)",12023,23,2328345.08382,7289.11798139,12
30,Sidewalk Menu,3525 NKILPATRICK AVE,2022,4204.4575,26769,google,"c(-87.7436634, 41.9454703)",30031,31,2773228.34408,7703.36180598,30
12,Sidewalk Menu,3532 S WOOD ST,2021,1834.11333333333,10303,census,"c(-87.670380708, 41.829492617)",12001,1,1771014.11961,5991.45396848,12
39,POD Camera,3532 W Lawrence,2007,12000,34082,census,"c(-87.7172648279999, 41.968369523)",33007,7,2156917.45334,6656.01464688,33
12,Sidewalk Menu,3533 S WOOD ST,2021,1834.11333333333,10303,census,"c(-87.670369647, 41.829641909)",12023,23,2328345.08382,7289.11798139,12
31,Street Light Upgrade Menu,3535 N LAVERGNE AVE,2021,750,27729,census,"c(-87.751949872, 41.944600538)",31012,12,1339133.97534,4683.33295848,31
33,Miscellaneous CDOT Projects,3537 W LAWRENCE AVE,2022,2600,29426,census,"c(-87.717246747, 41.9683588570001)",33001,1,2285365.88668,6635.70053866,33
12,POD Camera,3558 S California,2007,18000,9588,census,"c(-87.694793155, 41.8289261840001)",12002,2,14889558.1918,22742.6503747,12
30,Alley Resurfacing Menu,3570 N MILWAUKEEAVE,2021,36430.66,26670,google,"c(-87.7345854, 41.945506)",30007,7,2773150.68748,7709.68934024,30
36,Miscellaneous-Other,36 th ward library,2007,500000,31585,google,"c(-87.7899672, 41.9257801)",36004,4,4669009.58104,11990.6782886,36
23,Alley Speed Hump Menu,3607 W 61ST ST,2022,1050,20564,census,"c(-87.71344368, 41.7824418430001)",23007,7,2451703.36215,8643.49165458,23
44,Alley Apron Menu,3614 N WILTON AVE,2021,10950.52,38843,census,"c(-87.653146788, 41.9479901980001)",44031,31,3245906.75837,9136.56507993,44
26,Alley Resurfacing Menu,3615 WDICKENS AVE,2022,23288.325,23153,google,"c(-87.7174288, 41.9191056)",26024,24,1278845.75683,5332.05412031,26
47,Street Light Upgrade Menu,3634 N WESTERN AVE,2021,500,41323,census,"c(-87.6882812599999, 41.9474187050001)",47046,46,6258625.78136,11540.9920859,47
23,Alley Apron Menu,3655 W 60TH PL,2022,9899.33333333333,20552,census,"c(-87.714502416, 41.7833333780001)",23007,7,2451703.36215,8643.49165458,23
23,Alley Apron Menu,3700 W 58TH ST,2022,7864.03,20555,census,"c(-87.715853044, 41.787873231)",23033,33,2661709.99735,7653.61435792,23
23,Alley Apron Menu,3701 W 60TH PL,2021,8208.67,20478,census,"c(-87.715720719, 41.7833157650001)",23032,32,3019201.44554,8023.23279971,23
12,Sidewalk Menu,3712 S HONORE ST,2021,3269.635,10307,census,"c(-87.67151468, 41.8264496130001)",12001,1,1771014.11961,5991.45396848,12
44,Alley Resurfacing Menu,3717 N RACINE AVE,2021,9723.235,38852,census,"c(-87.659217165, 41.9495486860001)",44032,32,1778772.81106,6306.15707243,44
44,Curb & Gutter Menu,3719 NLAKEWOOD AVE,2021,11836.46,38868,google,"c(-87.6613624, 41.9495796)",44032,32,1778772.81106,6306.15707243,44
31,Alley Apron Menu,3725 WWRIGHTWOOD AVE,2021,5888.08,27694,google,"c(-87.7205836, 41.9279952)",31004,4,1106153.0328,4661.17177476,31
33,Street Light Upgrade Menu,3738 N SACRAMENTO AVE,2021,500,29374,census,"c(-87.703003687, 41.9492342510001)",33022,22,1966955.04449,5653.42908893,33
24,Alley Resurfacing Menu,3752 W 16TH ST,2022,15895.61,21277,census,"c(-87.719519194, 41.8589319710001)",24034,34,1738772.05057,7244.51234881,24
23,Alley Apron Menu,3759 W 57TH PL,2022,9174.38333333333,20557,census,"c(-87.7170956099999, 41.7887548030001)",23033,33,2661709.99735,7653.61435792,23
35,Floodlight Menu,3812 W WILSON AVE,2021,950,31259,census,"c(-87.7231439509999, 41.96465722)",35030,30,2289074.3407,6978.18288547,35
12,POD Camera,3825 California,2008,15000,9631,google,"c(-87.6963543, 41.8842052)",27039,39,1383694.86624,5599.04682202,27
12,Alley Resurfacing Menu,3844 S HONORE ST,2022,3474.725,10348,census,"c(-87.671450103, 41.824320679)",12019,19,11619912.7174,17662.0470322,12
26,Sidewalk Menu,3901 W LE MOYNE ST,2022,3742.22666666667,23180,census,"c(-87.724083051, 41.9080922690001)",26044,44,842841.737545,3882.48454096,26
35,Street Light Upgrade Menu,3933 N BERNARD ST,2021,500,31299,census,"c(-87.714064703, 41.952491756)",35026,26,2218119.82234,7990.53939454,35
43,Curb & Gutter Menu,400 W DEMING PL,2021,13727.88,38041,census,"c(-87.639375764, 41.9296652740001)",43025,25,168434.589528,1829.97069539,43
47,Street Bump Outs Menu,4015 N ROCKWELL ST,2021,6654.7275,41312,census,"c(-87.693224076, 41.954286831)",47016,16,2321478.97545,8605.52639623,47
26,Alley Resurfacing Menu,4016 W KAMERLINGAVE,2021,22575.86,23087,google,"c(-87.7268195, 41.9053734)",26019,19,1694045.30835,5990.74161384,26
47,Street Bump Outs Menu,4045 N ROCKWELL ST,2021,6654.7275,41312,census,"c(-87.693241316, 41.954861355)",47016,16,2321478.97545,8605.52639623,47
4,Chicago Park District,41 st St. Beach House,2009,290000,3348,google,"c(-87.6841534, 41.8193398)",12021,21,14184319.9888,17983.6691852,12
4,Chicago Park District,41 st Street Beach House,2010,250000,3375,google,"c(-87.6841534, 41.8193398)",12021,21,14184319.9888,17983.6691852,12
24,5 POD Camera + 5 LPR Existing Cameras: Various Locations,4100 W ARTHINGTON ST,2021,33552.8,21217,census,"c(-87.728416827, 41.8699947010001)",24032,32,2663726.9002,8475.14551605,24
26,Alley Resurfacing Menu,4101 W NORTH AVE,2022,18309.04,23157,census,"c(-87.729118878, 41.9098295140001)",26015,15,1721112.64949,6781.97018656,26
47,Street Bump Outs Menu,4121 N ROCKWELL ST,2021,6654.7275,41312,census,"c(-87.693281978, 41.9562923550001)",47016,16,2321478.97545,8605.52639623,47
18,Speed Indicator Signs,4139 W 79TH ST,2021,14000,16166,census,"c(-87.725279429, 41.749438157)",18040,40,2666193.09912,6966.39934384,18
46,Speed Indicator Signs,4140 N MARINE DR,2022,7000,40288,census,"c(-87.646255104, 41.9575688680001)",46015,15,765536.987454,3688.50889579,46
12,POD Camera,4200 California,2008,15000,9631,google,"c(-87.7280098, 41.7913459)",13015,15,3094503.10408,7634.73398921,13
35,Miscellaneous CDOT Projects,4201 N ST LOUIS AVE,2021,660,31283,census,"c(-87.71546956, 41.9576077780001)",35027,27,1602546.04038,6311.81481364,35
22,Street Speed Hump Menu,4210 W 25TH ST,2021,1175,19162,census,"c(-87.7297352859999, 41.8460167610001)",22006,6,4355602.51381,9179.66097863,22
18,Speed Indicator Signs,4260 W 79TH PL,2021,14000,16166,census,"c(-87.728926945, 41.7488751550001)",18046,46,3981846.73269,9571.62778395,18
46,Concrete Alley Menu,4300 N MARINEDR,2021,1686.78,40230,google,"c(-87.6471009, 41.9613116)",46029,29,14906959.8752,31465.4812298,46
46,Concrete Alley Menu,4300 N MARINEDR,2022,29028.735,40271,google,"c(-87.6471009, 41.9613116)",46029,29,14906959.8752,31465.4812298,46
37,Alley Resurfacing Menu,4300 W AUGUSTABLVD,2021,18809.065,33008,google,"c(-87.733763, 41.8991142)",37028,28,1820571.73199,8026.70115612,37
24,Alley Speed Hump Menu,4300 W CULLERTON ST,2021,700,21234,census,"c(-87.732297116, 41.854314888)",24001,1,4750992.09006,9902.75215633,24
26,Sidewalk Menu,4305 W LE MOYNE ST,2021,51631.255,23116,census,"c(-87.733993707, 41.9076591900001)",26004,4,1049067.3117,4467.66129995,26
13,Bollard Menu,4308 W MARQUETTE RD,2021,2495.11,11394,census,"c(-87.730324584, 41.7712882230001)",13005,5,4371267.73715,9929.64616551,13
15,Alley Apron Menu,4312 S ARTESIAN AVE,2022,11398.045,13811,census,"c(-87.685890183, 41.8150072980001)",15009,9,3080359.06292,8273.2745433,15
33,Alley Resurfacing Menu,4313 N MOZARTST,2021,15885.36,29330,google,"c(-87.6993812, 41.9598825)",33023,23,3153091.71162,7424.84247016,33
39,Miscellaneous Other,4321 W Peterson Ave,2012,264865,34287,census,"c(-87.737205753, 41.99002454)",39037,37,3747046.11383,10782.7202823,39
22,Arterial Street Bump Outs Menu,4332 W 26TH ST,2021,31861.26,19139,census,"c(-87.731784492, 41.8441588850001)",22006,6,4355602.51381,9179.66097863,22
22,Arterial Street Bump Outs Menu,4332 W 26TH ST,2022,15779.715,19195,census,"c(-87.731784492, 41.8441588850001)",22006,6,4355602.51381,9179.66097863,22
33,Street Light Upgrade Menu,4338 N FRANCISCO AVE,2021,500,29374,census,"c(-87.700878774, 41.959966482)",33023,23,3153091.71162,7424.84247016,33
3,Miscellaneous CDOT Projects,435 E 43RD ST,2021,75,3110,census,"c(-87.6162623499999, 41.816636009)",03012,12,1534114.86296,6117.4453498,3
22,Street Resurfacing Menu,4400 S LAWLER AVE,2022,26653.55,19230,census,"c(-87.74941219, 41.8125148460001)",22023,23,4419986.91437,10942.9285796,22
46,Alley Speed Hump Menu,4417 N BEACONST,2021,350,40225,google,"c(-87.6633982, 41.9622677)",46012,12,1068501.67589,4791.68151689,46
39,Speed Indicator Signs,4418 W FOSTER AVE,2021,5500,34632,google,"c(-87.7384218, 41.9756551)",39011,11,9967005.50286,18468.8626306,39
46,Speed Indicator Signs,4420 N BEACON ST,2022,5500,40289,census,"c(-87.6637446089999, 41.9621245780001)",46012,12,1068501.67589,4791.68151689,46
46,Miscellaneous CDOT Projects,4438 N RACINE AVE,2021,16398.165,40234,census,"c(-87.65961385, 41.96339662)",46020,20,2082126.26728,7003.04160619,46
15,Alley Apron Menu,4444 S ARTESIAN AVE,2021,11107.7,13739,census,"c(-87.6858411379999, 41.813216981)",15009,9,3080359.06292,8273.2745433,15
33,Street Speed Hump Menu,4500 NRICHMOND ST,2022,2350,29448,google,"c(-87.7021793, 41.9630544)",33008,8,2151778.57894,6482.77676807,33
12,POD Camera,4500 Talman,2008,15000,9631,google,"c(-87.6909848, 41.8118458)",15004,4,2323195.48375,7980.98056664,15
46,Sidewalk Menu,4545 N BROADWAY,2021,6885.77,40241,census,"c(-87.657020345, 41.964707391)",46020,20,2082126.26728,7003.04160619,46
46,Sidewalk Menu,4545 N BROADWAY,2022,15207.37,40279,census,"c(-87.657020345, 41.964707391)",46020,20,2082126.26728,7003.04160619,46
2,Alley Resurfacing Menu,455 W NORTHAVE,2022,16638.72,2464,google,"c(-87.6408101, 41.9108133)",02009,9,1288639.11857,7473.31997642,2
31,Sidewalk Menu,4558 W SCHUBERT AVE,2022,7363.13,27765,census,"c(-87.7412468639999, 41.9295877610001)",31013,13,2498204.2786,8008.65242242,31
33,Miscellaneous CDOT Projects,4600 N KIMBALL AVE,2022,2600,29426,census,"c(-87.71325727, 41.9647412400001)",33001,1,2285365.88668,6635.70053866,33
14,Alley Resurfacing Menu (1-1),4600 S CHRISTIANA AVE,2021,18579.545,12900,census,"c(-87.707623833, 41.8097904420001)",14020,20,2170023.37211,8005.94815729,14
15,Alley Resurfacing Menu,4600 SHONORE ST,2022,17912.5466666667,13817,google,"c(-87.6714177, 41.8102161)",15013,13,2842532.57918,7962.86940602,15
15,Alley Resurfacing Menu,4601 SWINCHESTER AVE,2022,18914.01,13818,google,"c(-87.6731569, 41.8102371)",15013,13,2842532.57918,7962.86940602,15
4,POD Camera,4659 S Cottage Grove,2007,24000,3295,census,"c(-87.606577901, 41.8106128160001)",04012,12,2822516.0013,7840.40926318,4
37,Alley Resurfacing Menu,4719 WGRAND AVE,2021,41000,33007,google,"c(-87.7443187, 41.9130435)",37022,22,6162252.40393,13557.4778373,37
14,Sidewalk Menu,4743 S KOLIN AVE,2022,4616.86666666667,12974,census,"c(-87.7321122549999, 41.806742382)",14007,7,2780378.11231,7340.38541029,14
14,Sidewalk Menu,4747 S KOLIN AVE,2022,4616.86666666667,12974,census,"c(-87.7321107769999, 41.8066930420001)",14007,7,2780378.11231,7340.38541029,14
20,Alley Speed Hump Menu,4758 S RACINE AVE,2021,1050,17490,census,"c(-87.655213942, 41.807251465)",20015,15,5533841.87508,10781.9669182,20
31,Street Resurfacing Menu,4800- 4832 W NEWPORT AVE,2020,8977.735,27680,census,"c(-87.748439705, 41.9433758420001)",31012,12,1339133.97534,4683.33295848,31
33,Miscellaneous CDOT Projects,4801 N CENTRAL PARK AVE,2022,2600,29426,census,"c(-87.718247166, 41.96838826)",33007,7,2156917.45334,6656.01464688,33
33,Miscellaneous CDOT Projects,4801 N STLOUIS AVE,2022,2600,29426,census,"c(-87.7157997049999, 41.9684164670001)",33007,7,2156917.45334,6656.01464688,33
3,Alley Speed Hump Menu,4810 S INDIANA AVE,2022,350,3176,census,"c(-87.621162198, 41.8071901640001)",03001,1,10473237.0263,15826.7191762,3
31,Street Light Upgrade Menu,4812 W NEWPORT AVE,2021,750,27729,census,"c(-87.74811385, 41.9433799770001)",31012,12,1339133.97534,4683.33295848,31
40,Sidewalk Menu,4820 N WASHTENAW AVE,2022,1217.80666666667,35458,census,"c(-87.696294692, 41.9699250300001)",40006,6,1238133.9082,5314.83264694,40
14,Alley Resurfacing Menu,4822 S RIDGEWAY AVE,2021,14756.98,12903,census,"c(-87.7173795699999, 41.805107992)",14013,13,5930541.86445,10620.882275,14
4,Speed Indicator Signs,4825 S DREXEL BLVD,2022,8333.33333333333,3827,census,"c(-87.603837109, 41.8072279670001)",04026,26,1457444.90551,6607.21597205,4
30,Sidewalk Menu,4834 W WAVELAND AVE,2022,3989.935,26772,census,"c(-87.748296082, 41.9479496280001)",30001,1,2230506.67663,7353.17115198,30
31,Street Light Upgrade Menu,4858 W MELROSE ST,2021,750,27729,census,"c(-87.7485877679999, 41.9397249620001)",31008,8,1779171.55994,6010.30561963,31
6,Sidewalk Menu,49 W 77TH PL,2022,5052.88,5041,census,"c(-87.626557073, 41.7536463610001)",06008,8,3371429.99064,8981.8203094,6
48,Alley Resurfacing Menu,4900 N SHERIDAN RD,2022,7888.115,42214,census,"c(-87.654890962, 41.971722347)",48035,35,837913.547712,3924.47694315,48
37,Sidewalk Menu,4900 W POTOMAC AVE,2021,4936.765,33017,census,"c(-87.7486556329999, 41.904148467)",37014,14,1770361.38699,5321.09626472,37
37,Alley Resurfacing Menu,4900 W WALTON ST,2022,2056.635,33070,census,"c(-87.748514557, 41.897730305)",37020,20,1501178.61983,6326.80582463,37
3,Alley Resurfacing Menu,4906 S INDIANA AVE,2022,23593.905,3167,census,"c(-87.621116795, 41.805431578)",03037,37,2820537.68839,8098.00669201,3
33,Street Speed Hump Menu,4917 N DRAKEAVE,2021,2350,29392,google,"c(-87.7167801, 41.9707806)",33007,7,2156917.45334,6656.01464688,33
48,Miscellaneous Other,4919 N Winthrop Ave,2013,10325,41716,census,"c(-87.657688567, 41.9719465910001)",48035,35,837913.547712,3924.47694315,48
31,Street Light Upgrade Menu,4923 W BARRY AVE,2022,500,27782,census,"c(-87.749922789, 41.9369572320001)",31009,9,2026825.53926,8665.6895177,31
33,Sidewalk Menu,4925 N MONTICELLO AVE,2022,11360.8233333333,29438,census,"c(-87.719529385, 41.970677197)",33007,7,2156917.45334,6656.01464688,33
5,Street Bump Outs Menu,4930 S CORNELL AVE,2021,5878.425,4461,census,"c(-87.586499654, 41.8049567680001)",05022,22,1737074.80052,7535.77056634,5
45,POD Camera,4956 Bell Plaine Ave,2007,24000,39084,census,"c(-87.7508659549999, 41.9552038)",45013,13,1931522.69713,6261.31467696,45
33,Sidewalk Menu,4957 N MONTICELLO AVE,2022,11360.8233333333,29438,census,"c(-87.719544075, 41.971176653)",33007,7,2156917.45334,6656.01464688,33
31,Street Light Upgrade Menu,5000 W FLETCHER ST,2021,750,27729,census,"c(-87.751951902, 41.9378568180001)",31009,9,2026825.53926,8665.6895177,31
39,Miscellaneous CDOT Projects,5001 N PULASKI RD,2021,2537.5,34625,census,"c(-87.728167597, 41.973567765)",39029,29,1314009.37489,4634.78979135,39
29,Alley Speed Hump Menu,5045 WGLADYS AVE,2022,1400,25552,google,"c(-87.7510929, 41.8755636)",29002,2,2228949.5083,7702.92014249,29
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,5100 N FRANCISCO AVE,2022,40000,35451,census,"c(-87.701305379, 41.974040163)",40017,17,4025786.31742,9195.70725195,40
23,Speed Indicator Signs,5185 S ARCHER AVE,2021,11000,20518,census,"c(-87.7338305649999, 41.800088299)",23025,25,5069746.6145,12162.7219205,23
37,Street Resurfacing Menu,5200 N LARAMIE AVE,2022,53917.925,33097,census,"c(-87.7577960409999, 41.9757896410001)",45035,35,2762373.60183,7677.53732673,45
16,POD Camera,5200 S Ada,2006,24000,13947,google,"c(-87.6586501, 41.7995761)",20021,21,6338317.12246,11106.4269529,20
31,Alley Speed Hump Menu,5218 WDIVERSEY AVE,2022,700,27752,google,"c(-87.7572473, 41.931589)",31019,19,1334537.48541,4672.4567505000005,31
31,Street Resurfacing Menu,5219 W WRIGHTWOOD AVE,2021,7252.48375,27730,census,"c(-87.757325207, 41.9277599600001)",31032,32,1227702.80965,5680.82709575,31
14,Sidewalk Menu,5220 S NATOMA AVE,2022,9960.42,12987,census,"c(-87.788063638, 41.7973065470001)",14001,1,2649829.14561,6632.78358272,14
3,Miscellaneous CDOT Projects,5221 S WABASH AVE,2021,133.065,3114,census,"c(-87.6242000089999, 41.7993976880001)",03016,16,9227435.24087,13702.1820775,3
31,Street Light Upgrade Menu,5236 W SCHOOL ST,2021,750,27729,census,"c(-87.757701341, 41.9405213260001)",31014,14,1440617.68393,5323.19173989,31
29,Alley Resurfacing Menu,5255 WJACKSON BLVD,2022,20831.59,25549,google,"c(-87.757055, 41.8764)",29014,14,1847898.92801,7708.68504894,29
14,Sidewalk Menu,5258 S MULLIGAN AVE,2022,13315.12,12991,census,"c(-87.780729697, 41.796817596)",14004,4,2194423.21629,5966.47572957,14
23,Alley Apron Menu,5258 S SAYRE AVE,2021,14086.015,20479,census,"c(-87.7965831829999, 41.796603164)",23027,27,2507499.30235,6620.9458349,23
31,Sidewalk Menu,5259 WOAKDALE AVE,2022,3721.4,27773,google,"c(-87.7587723, 41.9339244)",31019,19,1334537.48541,4672.4567505000005,31
4,POD Camera,5299 S Drexel,2006,36000,3264,census,"c(-87.60391047, 41.7994674450001)",05004,4,1407884.6002,5398.00812225,5
16,Bollard Menu,5300 S DAMEN AVE,2022,1668.935,14658,census,"c(-87.6744080349999, 41.7975133900001)",16007,7,5077493.63614,10315.2077517,16
23,Street Resurfacing Menu,5300 S NAGLE AVE,2022,23240.61,20606,census,"c(-87.7831414189999, 41.795882465)",23003,3,2385988.20358,7842.19174445,23
29,Miscellaneous CDOT Projects,5300 W VAN BUREN ST,2022,125,25563,census,"c(-87.757814981, 41.874821088)",29003,3,2128803.40319,6118.388182,29
23,Alley Speed Hump Menu,5301 S HARDING AVE,2021,466.666666666667,20486,census,"c(-87.722024246, 41.796728989)",23039,39,2443525.10784,7316.25084235,23
3,Miscellaneous CDOT Projects,5314 S INDIANA AVE,2021,150,3116,census,"c(-87.6209317289999, 41.797872312)",03016,16,9227435.24087,13702.1820775,3
30,Curb & Gutter Menu,5318 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.7597469849999, 41.939581821)",30009,9,2221786.03469,9994.7621581,30
30,Curb & Gutter Menu,5319 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.7597467149999, 41.9395708590001)",30009,9,2221786.03469,9994.7621581,30
30,Curb & Gutter Menu,5323 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.759830784, 41.9395697100001)",30009,9,2221786.03469,9994.7621581,30
30,Curb & Gutter Menu,5328 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.759957159, 41.9395789500001)",30009,9,2221786.03469,9994.7621581,30
40,Street Light Upgrade Menu,5334 N CALIFORNIA AVE,2021,331.12,35417,census,"c(-87.699020705, 41.9786812030001)",40034,34,4717196.14585,11184.0374981,40
29,Miscellaneous CDOT Projects,5339 W MONROE ST,2022,125,25563,census,"c(-87.758649447, 41.879327673)",29028,28,1672003.34382,5221.68640483,29
30,Curb & Gutter Menu,5340 W,2022,2293.26444444444,26748,google,"c(-87.7597293, 41.8951563)",37009,9,1824810.28508,9079.28795937,37
23,Alley Speed Hump Menu,5344 S MILLARD AVE,2021,350,20487,census,"c(-87.714672175, 41.79637775)",23024,24,2586121.14456,6994.82913556,23
23,Viaduct Improvement Menu,5346 S CICERO AVE,2021,21183.24,20545,census,"c(-87.742897386, 41.794972214)",23008,8,37466929.6598,24643.3812586,23
30,Curb & Gutter Menu,5347 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.760335201, 41.9395628190001)",30009,9,2221786.03469,9994.7621581,30
30,Curb & Gutter Menu,5353 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.760461305, 41.939561096)",30009,9,2221786.03469,9994.7621581,30
30,Curb & Gutter Menu,5355 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.76050334, 41.9395605220001)",30009,9,2221786.03469,9994.7621581,30
23,Alley Apron Menu,5358 S HAMLIN AVE,2021,7512,20480,census,"c(-87.718324373, 41.795452536)",23039,39,2443525.10784,7316.25084235,23
39,Miscellaneous CDOT Projects,5363 W DEVON AVE,2021,8333.33333333333,34622,census,"c(-87.7628742699999, 41.9973217080001)",39044,44,2689170.14436,8184.8486191,39
39,Street Resurfacing Menu,5400 N LAPORTE AVE,2021,11898.905,34641,census,"c(-87.752043536, 41.9806057830001)",39043,43,13935294.6923,20049.9078232,39
29,Alley Resurfacing Menu,5400 W QUINCY ST,2021,35012.575,25454,census,"c(-87.759674467, 41.8775153390001)",29028,28,1672003.34382,5221.68640483,29
39,Miscellaneous CDOT Projects,5405 W DEVON AVE,2021,8333.33333333333,34622,census,"c(-87.7639498089999, 41.9973257280001)",39044,44,2689170.14436,8184.8486191,39
31,Street Light Upgrade Menu,5418 W SCHUBERT AVE,2022,500,27784,census,"c(-87.76184208, 41.9295160130001)",30014,14,1779039.0183,5331.46474326,30
45,Chicago Park District,5421 N. Menard,2006,100000,39035,census,"c(-87.773231939, 41.9798793790001)",45038,38,3156004.62769,8044.89082567,45
