ward,type,location,year,est_cost,id,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
7,Miscellaneous-CDOT,93 rd & Oglesby(crosswalk) or along 93 rd (median),2010,4300,5330,google,"c(-87.56691, 41.726265)",07037,37,4124738.89728,8628.76159863,7
36,Miscellaneous-CDOT,Addison at Olcott & Osceola,2007,1600,31545,google,"c(-87.8132427, 41.9831456)",41043,43,3831410.67381,9005.72841669,41
33,POD Camera,Albany & Byron,2011,20000,28965,google,"c(-87.7055106, 41.9521225)",33006,6,1986155.2929,5983.50690088,33
31,POD Camera,Altgeld & Lavergne,2011,22500,27260,google,"c(-87.7512731, 41.9260267)",31021,21,2206841.19669,9363.42166771,31
26,POD Camera,Armitage & Monticello,2009,20000,22523,google,"c(-87.7179673, 41.917263)",26024,24,1278845.75683,5332.05412031,26
25,Miscellaneous-CDOT,Ashland & 17 th,2010,29484,21695,google,"c(-87.6661645, 41.8586898)",25024,24,1653547.28032,6329.2063845,25
25,Miscellaneous-CDOT,Ashland & 18 th,2010,28933,21694,google,"c(-87.6661364, 41.8578077)",25024,24,1653547.28032,6329.2063845,25
2,POD Camera,Ashland & Washburne,2009,13000,1733,google,"c(-87.6662804, 41.8659846)",28005,5,10576598.9118,13254.8160792,28
31,POD Camera,Belden & Lawler,2011,20000,27256,google,"c(-87.75239, 41.9223267)",36009,9,2386185.23201,7649.61029164,36
44,Miscellaneous-CDOT,Belmont & Lake Shore,2009,33000,38212,google,"c(-87.6395418, 41.9401237)",44003,3,3759957.31002,20326.8068128,44
44,Miscellaneous-CDOT,Belmont & Orchard,2009,1000,38211,google,"c(-87.6468192, 41.9400098)",44021,21,1031165.17475,4165.79685237,44
44,POD Camera,Belmont & Sheffield,2006,24000,38154,google,"c(-87.6541109, 41.9399129)",44039,39,1211434.6644600001,5315.48962214,44
2,Miscellaneous-CDOT,black bench w & arms,2010,41400,1750,google,"c(-87.6839869, 41.8901452)",27043,43,6842223.48705,11450.6499082,27
2,Miscellaneous-CDOT,Black Benches w & arms,2010,77400,1746,google,"c(-87.6839869, 41.8901452)",27043,43,6842223.48705,11450.6499082,27
24,4 POD Cameras + LPR Existing Cameras: 1200 S Pulaski 1359 S Central Park; 1159 S Independence; 1559 S Homan,BLVD & W ROOSEVELT RD,2021,142988,21216,google,"c(-87.7172457, 41.8662648)",24005,5,1480276.57672,5219.41137801,24
46,POD Camera,Broadway & Sheridan,2011,20000,39936,google,"c(-87.6604636, 41.9982024)",49017,17,950737.600848,4950.91838371,49
39,Miscellaneous-CDOT,Byron Ave & 3900 N. Hamlin,2008,38700,34113,google,"c(-87.722921, 41.9521235)",45003,3,2861968.34098,8265.94047093,45
2,POD Camera,California & Madison,2007,12000,1311,google,"c(-87.696312, 41.8810767)",27049,49,2004800.3352,6678.72885723,27
26,POD Camera,Campbell & Hirsch,2009,20000,22525,google,"c(-87.6895671, 41.9066348)",26048,48,890217.569798,4008.35777804,26
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2008,875,256,google,"c(-87.6794905, 41.8958689)",02021,21,1337008.96705,6280.90237694,2
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,331,google,"c(-87.6794905, 41.8958689)",02021,21,1337008.96705,6280.90237694,2
32,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,28066,google,"c(-87.6794905, 41.8958689)",02021,21,1337008.96705,6280.90237694,2
25,POD Camera,Claremont & Taylor,2007,28000,21512,google,"c(-87.6848678, 41.8689858)",28019,19,12735644.8933,25530.9087733,28
49,Miscellaneous-CDOT,Clark & Farwell,2008,2600,42378,google,"c(-87.6733974, 42.0065532)",49028,28,1703404.42527,5411.90313474,49
49,LED Traffic Signal Upgrades & Pedestrian Countdown Signal  N,CLARK ST & W JARVIS AVE,2019,5121.52,42904,google,"c(-87.6751679, 42.0159056)",49005,5,1734221.49423,6494.8187344,49
42,Miscellaneous-CDOT,Clinton St. & Randolph St,2008,1000,36460,census,"c(-87.641269027, 41.884440714)",42041,41,2501691.32255,7114.82974872,42
1,Miscellaneous-CDOT,Clybourn at Barry & Oakley,2011,800,399,google,"c(-87.6855935, 41.9376834)",32019,19,1809825.58058,6967.50413107,32
26,POD Camera,Cortland & Drake,2009,20000,22527,google,"c(-87.7150882, 41.9154826)",01002,2,1484363.50051,4889.3188391,1
26,POD Camera,Cortland & Lawndale,2009,20000,22526,google,"c(-87.7191519, 41.915425)",01026,26,1414851.74158,5153.62952518,1
24,Miscellaneous-CDOT,"Cullerton, 21 st, Kildare & Kostner",2009,57450,20817,google,"c(-87.7311988, 41.8114214)",14002,2,21676579.7997,19383.4254643,14
15,Miscellaneous-CDOT,Damen & Wood (both 58 th to 59 th),2010,14875,13310,google,"c(-87.6834119, 41.7865137)",16011,11,5157475.55988,12069.9273376,16
42,Miscellaneous-CDOT,Dearborn & Walton,2007,50900,36427,google,"c(-87.6298667, 41.8998118)",02043,43,922812.704791,4984.95498302,2
33,Miscellaneous-CDOT,Diagonal Pkg & 3200 Francisco,2006,21339,28750,google,"c(-87.7002628, 41.9393968)",33009,9,3966688.47215,10864.1857749,33
31,Miscellaneous-CDOT,Diversey-Long-Linder-Luna & Central Ave,2005,21600,26803,google,"c(-87.761429, 41.931282)",30014,14,1779039.0183,5331.46474326,30
4,Chicago Park District,Donoghue Park & Lake Park,2005,69439,3248,google,"c(-87.5990723, 41.8171683)",04007,7,4339309.28207,11518.8620073,4
10,Sidewalk Menu,E 102ND ST & S ACCESS RD,2021,105488.58,8447,google,"c(-87.5286874, 41.7106144)",10022,22,12921524.256,24718.004685,10
10,In-Road State Law Stop,E 105TH ST & S EWING AVE,2014,600,8093,google,"c(-87.5353018, 41.7045573)",10011,11,3480455.70375,7924.90663484,10
9,Curb & Gutter Menu,E 105TH ST & S FOREST AVE,2020,13725.07,7251,google,"c(-87.6160826, 41.7036365)",09040,40,1992321.84976,5989.76130138,9
10,In-Road State Law Stop,E 106TH ST & S AVENUE E,2014,350,8094,google,"c(-87.5292292, 41.7027128)",10032,32,2466700.33008,8505.32977742,10
10,POD Camera,E 107 & S Hoxie,2006,36000,7677,census,"c(-87.560782842, 41.7009650160001)",10013,13,202740181.099,70199.4802524,10
10,Sidewalk Menu,E 108TH ST & S AVENUE O,2021,4941.84,8448,google,"c(-87.5400742, 41.6991465)",10011,11,3480455.70375,7924.90663484,10
10,Concrete Alley Menu,E 111TH ST & S AVENUE G,2020,6333.33333333333,8365,google,"c(-87.5316555, 41.6936578)",10010,10,3304524.80853,7982.86679517,10
10,Concrete Alley Menu,E 112TH ST & S,2020,6333.33333333333,8365,google,"c(-87.6121083, 41.6909269)",09043,43,5101617.85591,10894.7372234,9
9,Traffic Signal LED Upgrade Menu,E 115TH ST & S COTTAGE GROVE AVE,2017,28000,7173,google,"c(-87.6110742, 41.6854391)",09046,46,3467020.87555,9172.77965586,9
9,Bollard Menu,E 115TH ST & S DR MARTIN LUTHER KING JR DR,2020,10671.16,7250,google,"c(-87.6131731, 41.6854158)",09028,28,4202750.26605,11639.8981676,9
9,Traffic Signals,E 115th ST & S STATE ST,2009,6500,6919,google,"c(-87.6228752, 41.685332)",09031,31,3892088.30719,8008.14846504,9
10,Street Light Upgrade Menu,E 116TH ST & S AVENUE G,2021,1000,8450,google,"c(-87.5316364, 41.6845734)",10035,35,18697560.1144,21325.4880112,10
10,Miscellaneous-CDOT,E 117th ST & S AVENUE O,2006,100000,7639,google,"c(-87.5400498, 41.6827742)",10014,14,12853731.0962,18803.6101555,10
34,Traffic Signal,E 122ND ST & S ASHLAND AVE,2012,11400,29969,google,"c(-87.6611999, 41.6720642)",34051,51,5339517.12951,10527.5346379,34
10,Street Resurfacing Menu,E 130TH ST & S BURLEY AVE,2021,24961.56,8453,google,"c(-87.5447772, 41.6589692)",10005,5,3160311.65464,8313.78571587,10
10,POD Camera,E 134 & S Brandon,2006,36000,7677,census,"c(-87.5459213189999, 41.651854052)",10016,16,49839781.0747,36645.8770312,10
2,Traffic Signals,E 13th ST & S MICHIGAN AV,2007,165000,1306,google,"c(-87.6241641, 41.8657797)",03039,39,702215.496386,4239.46959871,3
4,Miscellaneous CDOT Projects,E 25TH ST & S DR MARTIN LUTHER KING JR DR,2017,2100,3657,google,"c(-87.6173563, 41.8478295)",04006,6,10619801.1404,15487.6149298,4
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 31ST DR & S LSD 31ST ST ER,2021,26356.4,3762,google,"c(-87.5905131, 41.8127955)",04010,10,4239657.32534,10116.1825923,4
2,Pole Painting,E 31st ST & S INDIANA AV,2007,3800,1170,google,"c(-87.6219, 41.8383557)",03041,41,5920928.29193,10299.8331427,3
2,Street Lighting,E 31st ST & S INDIANA AV,2007,2800,1248,google,"c(-87.6219, 41.8383557)",03041,41,5920928.29193,10299.8331427,3
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 31ST ST & S RHODES AVE,2021,26356.4,3762,google,"c(-87.6134772, 41.8384743)",04028,28,6408123.58348,15093.8054734,4
3,Left-Turn Arrow Menu,E 31ST ST & S STATE ST,2018,35000,2975,census,"c(-87.6267692929999, 41.8383044670001)",03018,18,6325469.34238,11538.3338422,3
4,Street Resurface Menu(1-5),E 33RD PL DR. MARTIN LUTHER KING JR. DR (403 E) & S RHODES AV (500 E),2011,56649,3408,google,"c(-87.6113998, 41.7401979)",06031,31,2902981.65285,7521.90078417,6
4,Bus Pad,E 37TH ST & S COTTAGE GROVE AVE,2014,614,3509,census,"c(-87.608824516, 41.8277241230001)",04030,30,4713432.62599,9606.8519388,4
4,Street Resurfacing Menu,E 37TH ST & S LAKE PARK AVE,2021,15975.57,3795,census,"c(-87.6063080659999, 41.828636638)",04035,35,6724743.17114,12238.7861182,4
4,Arterial Street Bump Outs Menu,E 38TH ST & S COTTAGE GROVE AVE,2019,80635.44,3726,census,"c(-87.6079481799999, 41.8260196910001)",04030,30,4713432.62599,9606.8519388,4
3,Sidewalk Menu,E 38TH ST & S STATE ST (0 E)Dead End (48 E),2011,29267,2729,google,"c(-87.6280033, 41.881903)",42033,33,12153930.2712,18581.2750371,42
3,Traffic Signal LED,E 41ST ST & S WABASH AVE,2013,15921,2825,google,"c(-87.6247426, 41.8201164)",03024,24,5716768.43038,12629.2401761,3
3,Street Resurface Menu,E 42ND ST DR. MARTIN LUTHER KING JR. DR (400 E) & S VINCENNES AV (515 E),2011,62079,2742,google,"c(-87.6499699, 41.7231948)",21046,46,6313920.6654,13379.2106519,21
3,Miscellaneous Other,E 43RD ST & S DR MARTIN LUTHER KING JR DR E,2012,680,2760,google,"c(-87.6170508, 41.8166289)",03009,9,2799058.74496,7926.41283268,3
3,Miscellaneous CDOT Projects,E 43RD ST & S DR MARTIN LUTHER KING JR DR E,2019,1700,3014,google,"c(-87.6170508, 41.8166289)",03009,9,2799058.74496,7926.41283268,3
4,Sidewalk Menu,E 43RD ST & S GREENWOOD AVE,2022,8343.62666666667,3825,google,"c(-87.5994172, 41.8168942)",04005,5,2715644.88582,9171.31495571,4
3,Street Lighting,E 43rd ST & S MICHIGAN AV,2009,2000,2686,google,"c(-87.6230125, 41.8165393)",03015,15,2013644.24495,7051.25507666,3
4,Miscellaneous CDOT Projects,E 43RD ST & S OAKENWALD AVE,2021,660,3781,census,"c(-87.5975085329999, 41.8169226860001)",04007,7,4339309.28207,11518.8620073,4
4,Sidewalk Menu,E 43RD ST & SLAKE PARK AVE,2022,8343.62666666667,3825,google,"c(-87.5988797, 41.8168878)",04005,5,2715644.88582,9171.31495571,4
3,Street Bump Outs Menu,E 44TH ST & S PRAIRIE AVE,2022,35920.07,3197,google,"c(-87.6197459, 41.8147551)",03009,9,2799058.74496,7926.41283268,3
3,Traffic Signal LED,E 45TH ST & S WABASH AVE,2013,15085,2823,google,"c(-87.6245657, 41.8130735)",03001,1,10473237.0263,15826.7191762,3
4,Sidewalk Menu,E 47TH DR & S LAKE PARK AVE,2019,30736.07,3728,census,"c(-87.592431415, 41.809686889)",04010,10,4239657.32534,10116.1825923,4
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 47TH DR & S LSD 47TH ST ER,2021,26356.4,3762,google,"c(-87.631046, 41.810323)",03005,5,10194217.1038,17865.3282639,3
4,Left-Turn Arrow Menu,E 47TH ST & S LAKE PARK AVE,2016,167055,3609,census,"c(-87.592431415, 41.809686889)",04010,10,4239657.32534,10116.1825923,4
4,Street Light Pole Painting Menu,E 47TH ST & S LAKE PARK AVE,2019,3600,3732,census,"c(-87.592431415, 41.809686889)",04010,10,4239657.32534,10116.1825923,4
4,Miscellaneous CDOT Projects,E 48TH ST & S GREENWOOD AVE,2021,70103.26,3782,census,"c(-87.599229045, 41.8078015620001)",04024,24,2289762.88693,6964.10137429,4
4,Miscellaneous CDOT Projects,E 48TH ST & S GREENWOOD AVE,2022,19896.74,3821,census,"c(-87.599229045, 41.8078015620001)",04024,24,2289762.88693,6964.10137429,4
4,Pedestrian Refuge Island,E 48TH ST & S LAKE PARK AVE,2014,29170,3514,census,"c(-87.590650605, 41.8080909940001)",04009,9,665519.298416,3884.11687273,4
4,Miscellaneous CDOT Projects,E 49TH ST & S KENWOOD AVE,2021,101658.78,3783,census,"c(-87.5935328639999, 41.806040851)",04022,22,2987457.5868700002,7143.34240025,4
4,Arterial Street Bump Outs Menu,E 50TH ST & S COTTAGE GROVE AVE,2019,61700,3725,google,"c(-87.6064268, 41.8031613)",04033,33,2450282.33043,6606.26615608,4
3,Sidewalk Menu,E 50TH ST & S PRAIRIE AVE,2021,15284.77,3127,google,"c(-87.6194515, 41.8038706)",03031,31,2990058.18751,8687.27056725,3
4,In-Road State Law Stop,E 53RD ST & S KENWOOD AVE,2013,550,3462,census,"c(-87.592568091, 41.799504514)",04001,1,2224762.92928,8396.1944549,4
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 53RD ST & S LAKE PARK AVE,2021,26356.4,3762,census,"c(-87.587306059, 41.799564812)",04027,27,2669670.38843,7041.2270372,4
3,Traffic Signal LED,E 53RD ST & S STATE ST,2013,19967,2824,google,"c(-87.6258481, 41.7981116)",03016,16,9227435.24087,13702.1820775,3
3,Traffic Signal LED,E 53RD ST & S WABASH AVE,2013,15085,2822,google,"c(-87.62418, 41.7981509)",03016,16,9227435.24087,13702.1820775,3
5,In-Road State Law Stop,E 55TH ST & S HARPER AVE,2013,550,4210,google,"c(-87.5884314, 41.7951353)",05008,8,1457617.54214,5278.22600425,5
5,In-Road State Law Stop,E 55TH ST & S HARPER AVE,2014,550,4243,google,"c(-87.5884314, 41.7951353)",05008,8,1457617.54214,5278.22600425,5
5,In-Road State Law Stop,E 55TH ST & S HARPER AVE,2015,350,4281,google,"c(-87.5884314, 41.7951353)",05008,8,1457617.54214,5278.22600425,5
5,In-Road State Law Stop,E 55TH ST & S KENWOOD AVE,2014,950,4239,census,"c(-87.59334795, 41.7951147970001)",05019,19,914730.18856,4476.60640187,5
5,In-Road State Law Stop,E 55TH ST & S KENWOOD AVE,2015,350,4284,census,"c(-87.59334795, 41.7951147970001)",05019,19,914730.18856,4476.60640187,5
5,In-Road State Law Stop,E 55TH ST & S KIMBARK AVE,2013,950,4212,census,"c(-87.594923745, 41.7950987180001)",04001,1,2224762.92928,8396.1944549,4
5,In-Road State Law Stop,E 55TH ST & S KIMBARK AVE,2014,950,4242,census,"c(-87.594923745, 41.7950987180001)",04001,1,2224762.92928,8396.1944549,4
5,In-Road State Law Stop,E 55TH ST & S KIMBARK AVE,2015,950,4280,census,"c(-87.594923745, 41.7950987180001)",04001,1,2224762.92928,8396.1944549,4
5,In-Road State Law Stop,E 55TH ST & S UNIVERSITY AVE,2013,1100,4211,google,"c(-87.5980971, 41.7950436)",05027,27,7427976.28201,12315.4928572,5
5,In-Road State Law Stop,E 55TH ST & S UNIVERSITY AVE,2014,550,4244,google,"c(-87.5980971, 41.7950436)",05027,27,7427976.28201,12315.4928572,5
5,In-Road State Law Stop,E 55TH ST & S UNIVERSITY AVE,2015,350,4282,google,"c(-87.5980971, 41.7950436)",05027,27,7427976.28201,12315.4928572,5
5,In-Road State Law Stop For Pedestrians Signs Menu,E 55TH ST & S UNIVERSITY AVE,2016,350,4318,google,"c(-87.5980971, 41.7950436)",05027,27,7427976.28201,12315.4928572,5
5,Street Lighting,E 56TH ST & S LAKE PARK AVE,2011,1000,4149,census,"c(-87.587941201, 41.793358106)",05035,35,1983325.64094,10916.5685044,5
5,Viaduct Improvement Menu,E 56TH ST & S STONY ISLAND AVE,2016,51000,4345,google,"c(-87.5866278, 41.7933865)",05035,35,1983325.64094,10916.5685044,5
20,Street Bump Outs Menu,E 56TH ST & S WABASH AVE,2022,15000,17532,google,"c(-87.6240426, 41.7928606)",20031,31,2767516.40145,7266.47288997,20
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 57TH DR & S LAKE SHORE DR,2021,35747,4449,google,"c(-87.5801558, 41.792432)",05025,25,25695249.8072,35894.5221761,5
20,Street Bump Outs Menu,E 58TH ST & S DR MARTIN LUTHER KING JR DR,2021,8171.42,17497,google,"c(-87.6158365, 41.7893431)",20014,14,12384067.9466,15601.5211904,20
20,Traffic Signals,E 59TH ST & S WABASH AVE,2011,15000,17133,google,"c(-87.623895, 41.7873864)",20012,12,2059170.82506,5749.57183046,20
5,Sidewalk Menu,E 61ST ST & S HARPER AVE,2017,15050.76,4353,census,"c(-87.5881220959999, 41.7838269530001)",05033,33,1635619.09843,5821.00311686,5
20,In-Road State Law Stop For Pedestrians Signs Menu,E 61ST ST & S LANGLEY AVE,2018,600,17417,google,"c(-87.6084864, 41.7839977)",20001,1,1322851.71263,4652.88971504,20
5,Street Speed Hump Menu,E 61ST STDead End (1490 E) & S STONY ISLAND AV (1600 E),2011,3700,4193,google,"c(-87.5856714, 41.7509737)",08011,11,3798485.6108,10147.2732496,8
5,Street Speed Hump Menu,E 62nd ST (6148 S) & S HARPER AV (6350 S),2011,3700,4192,google,"c(-87.6011125, 41.7822834)",20024,24,1797942.35192,6190.16510618,20
5,Street Speed Hump Menu,E 62ND STDead End (1497 E) & S STONY ISLAND AV (1600 E),2011,3700,4191,google,"c(-87.5856714, 41.7509737)",08011,11,3798485.6108,10147.2732496,8
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 63RD ST & E HAYES DR,2021,35747,4449,google,"c(-87.5864506, 41.7806111)",05025,25,25695249.8072,35894.5221761,5
20,Street Traffic Circles Menu,E 64th ST & S RHODES AV,2005,15000,16899,census,"c(-87.611976108, 41.778492563)",20033,33,2193824.09008,6617.63792485,20
5,Miscellaneous Other,E 67TH ST & S DORCHESTER AVE,2014,200000,4267,census,"c(-87.591145051, 41.772378314)",05013,13,2549446.0288,8771.61736618,5
5,In-Road State Law Stop,E 67TH ST & S ELLIS AVE,2015,600,4283,census,"c(-87.600901318, 41.7731903320001)",05016,16,1872584.50588,6967.50304167,5
5,Sidewalk Menu,E 67TH ST & S JEFFERY DR,2016,42396.95,4322,census,"c(-87.576484522, 41.773459664)",05025,25,25695249.8072,35894.5221761,5
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 67TH ST & S JEFFERY DR,2021,35747,4449,census,"c(-87.576484522, 41.773459664)",05025,25,25695249.8072,35894.5221761,5
5,Traffic Signals,E 67th ST & S MARQUETTE RD,2009,17000,4116,census,"c(-87.6130413779999, 41.773013457)",20010,10,3139419.16627,8478.9299279,20
5,Traffic Signals,E 67th ST & S SOUTH SHORE DR,2009,17000,4115,census,"c(-87.566808653, 41.773560161)",05025,25,25695249.8072,35894.5221761,5
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 67TH ST & S SOUTH SHORE DR,2021,35747,4449,census,"c(-87.566808653, 41.773560161)",05025,25,25695249.8072,35894.5221761,5
5,Traffic Signals,E 67th ST & S STONY ISLAND AV,2009,17000,4114,google,"c(-87.5862761, 41.7733326)",05005,5,2255163.4557,8209.72272929,5
