ward,type,location,year,est_cost,id,point_location,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
43,Curb & Gutter Menu,1009 W ARMITAGE AVE,2017,1500.87,35069,1009 W ARMITAGE AVE,census,"c(-87.653713033, 41.9180958960001)",32,51,32051
21,Bollard Menu,101 W 83RD ST,2022,4491.67,17373,101 W 83RD ST,google,"c(-87.6270285, 41.7434084)",21,65,21065
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,101 W IDA B WELLS DR,2021,27410,40404,101 W IDA B WELLS DR,google,"c(-87.6310683, 41.8753788)",2,49,02049
10,Sidewalk Menu,10108 S AVENUE M,2016,4661.01,7770,10108 S AVENUE M,census,"c(-87.537699953, 41.7116711)",10,26,10026
7,Sidewalk Menu,10111 S CRANDON AVE,2019,4083.65,5346,10111 S CRANDON AVE,census,"c(-87.5669668209999, 41.7113836460001)",10,6,10006
10,Sidewalk Menu,10116 S EWING AVE,2019,12951,7877,10116 S EWING AVE,census,"c(-87.535284113, 41.711557386)",10,26,10026
4,Curb & Gutter Menu,1012 E 47TH ST,2015,5748,3376,1012 E 47TH ST,census,"c(-87.601246655, 41.809599618)",4,15,04015
7,Sidewalk Menu,10120 S CALHOUN AVE,2022,5489.71,5437,10120 S CALHOUN AVE,census,"c(-87.5621438539999, 41.7112914860001)",10,29,10029
10,Sidewalk Menu,10125 S EWING AVE,2017,10410.75,7797,10125 S EWING AVE,census,"c(-87.535269883, 41.711425322)",10,26,10026
7,Sidewalk Menu,10127 S CRANDON AVE,2020,6955.66,5372,10127 S CRANDON AVE,census,"c(-87.566962772, 41.711133379)",10,6,10006
25,Street Light Upgrade Menu,1013 W 19TH ST,2016,450,20660,1013 W 19TH ST,census,"c(-87.652154917, 41.8566537900001)",25,23,25023
25,Alley Resurfacing Menu,1014 S MAY ST,2018,22179.44,41673,1014 S MAY ST,census,"c(-87.655243836, 41.868939115)",25,27,25027
44,Alley Apron Menu,1014 W OAKDALE AVE,2017,10095.68,35827,1014 W OAKDALE AVE,census,"c(-87.654926346, 41.935344539)",44,27,44027
44,Alley Apron Menu,1014 W WOLFRAM ST,2017,7722.33,35824,1014 W WOLFRAM ST,census,"c(-87.65455215, 41.9335404360001)",44,40,44040
7,Sidewalk Menu,10141 S CRANDON AVE,2020,6255.14,5374,10141 S CRANDON AVE,census,"c(-87.5669588439999, 41.710914373)",10,6,10006
43,Alley Apron Menu,1015 W ALTGELD ST,2018,8027.19,35095,1015 W ALTGELD ST,google,"c(-87.6543134, 41.9269428)",43,2,43002
44,Alley Apron Menu,1015 W OAKDALE AVE,2017,8696.35,35826,1015 W OAKDALE AVE,google,"c(-87.6546216, 41.9351211)",44,40,44040
34,Alley Apron Menu,10153 S WINSTON AVE,2018,27957.01,27936,10153 S WINSTON AVE,census,"c(-87.6556975409999, 41.7098398000001)",21,33,21033
9,Bollard Menu,10155 S STATE ST,2005,395,6337,10155 S STATE ST,google,"c(-87.6232882, 41.7091117)",9,2,09002
10,Guardrail Menu,10156 S INDIANAPOLIS AV,2009,7500,7432,10156 S INDIANAPOLIS AV,census,"c(-87.5334053, 41.7109764630001)",10,26,10026
43,Miscellaneous CDOT Projects,1016 W ALTGELD ST,2018,616.190476190476,43025,1016 W ALTGELD ST,census,"c(-87.654441096, 41.92718675)",43,2,43002
48,Sidewalk Menu,1017 W ARDMORE AVE,2020,4409.79,38967,1017 W ARDMORE AVE,census,"c(-87.657577512, 41.987313301)",48,47,48047
46,Alley Apron Menu,1017 W IRVING PARK RD,2017,9226.72,37112,1017 W IRVING PARK RD,census,"c(-87.655747565, 41.9544630990001)",44,18,44018
26,Street Speed Hump Menu,1019 N SACRAMENTO AVE,2019,2350,21511,1019 N SACRAMENTO AVE,census,"c(-87.701725397, 41.899798064)",26,21,26021
6,Sidewalk Menu,102 W 77TH ST,2022,5440.63,4753,102 W 77TH ST,census,"c(-87.627434815, 41.7545515570001)",6,19,06019
2,Sidewalk Menu,102 W GERMANIA PL,2017,38823.28,2190,102 W GERMANIA PL,census,"c(-87.6317169599999, 41.9104347680001)",42,33,42033
2,Sidewalk Menu,102 W GERMANIA PL,2018,63565.31,2229,102 W GERMANIA PL,census,"c(-87.6317169599999, 41.9104347680001)",42,33,42033
1,Alley Resurfacing Menu,1020 N MARSHFIELD AVE,2022,19151.03,40273,1020 N MARSHFIELD AVE,census,"c(-87.668639038, 41.9005271240001)",1,2,01002
25,Sidewalk Menu,1020 W MONROE ST,2019,14903.4,20741,1020 W MONROE ST,census,"c(-87.652666887, 41.8804076660001)",2,16,02016
9,POD Camera,10200 S. LaSalle,2009,24000,6522,10200 S. LaSalle,google,"c(-87.6274502, 41.7088129)",9,17,09017
9,POD Camera,10200 S. State,2009,24000,6520,10200 S. State,google,"c(-87.6238644, 41.7088494)",9,17,09017
8,Pedestrian Refuge Island Menu,10201 S COTTAGE GROVE AVE,2021,40741.11,6150,10201 S COTTAGE GROVE AVE,google,"c(-87.6054399, 41.7086719)",8,32,08032
10,Miscellaneous-CDOT,10212 S. Ewing Av.,2007,2259,7297,10212 S. Ewing Av.,census,"c(-87.535291656, 41.709715557)",10,34,10034
27,Alley Speed Hump Menu,1022 N ST LOUIS AVE,2018,1400,22196,1022 N ST LOUIS AVE,google,"c(-87.7142968, 41.8998441)",27,29,27029
9,Sidewalk Menu,10222 S ST LAWRENCE AVE,2018,496.66,6775,10222 S ST LAWRENCE AVE,google,"c(-87.6092136, 41.7084811)",9,13,09013
10,Bollard Menu,10224 S VAN VLISSINGEN RD,2008,630,7381,10224 S VAN VLISSINGEN RD,census,"c(-87.568926389, 41.7094556480001)",10,6,10006
34,Sidewalk Menu,10228 S BEVERLY AVE,2022,13202.29,28075,10228 S BEVERLY AVE,census,"c(-87.656663413, 41.7081408290001)",21,20,21020
48,Alley Apron Menu,1023 W THORNDALE AVE,2017,10060.74,38759,1023 W THORNDALE AVE,census,"c(-87.656599914, 41.9900808430001)",48,18,48018
32,Chicago Park District,1023 W Wrightwood,2006,10000,25822,1023 W Wrightwood,google,"c(-87.654708, 41.928599)",32,32,32032
10,Sidewalk Menu,10231 S AVENUE M,2019,6900,7887,10231 S AVENUE M,census,"c(-87.5376892849999, 41.709426609)",10,34,10034
10,Sidewalk Menu,10232 S AVENUE N,2021,16621.72,7948,10232 S AVENUE N,google,"c(-87.5392854, 41.7090274)",10,34,10034
7,Miscellaneous CDOT Projects,10245 S OGLESBY AVE,2020,13758.19,5366,10245 S OGLESBY AVE,census,"c(-87.565724818, 41.7092582270001)",10,6,10006
10,Sidewalk Menu,10251 S EWING AVE,2015,7260,7721,10251 S EWING AVE,census,"c(-87.535277353, 41.709119759)",10,26,10026
10,Sidewalk Menu,10253 S COMMERCIAL AVE,2020,8416.75,7906,10253 S COMMERCIAL AVE,census,"c(-87.55256445, 41.709211005)",10,13,10013
10,Sidewalk Menu,10254 S AVENUE G,2021,7252.28,40694,10254 S AVENUE G,census,"c(-87.531666102, 41.7087464840001)",10,26,10026
10,Sidewalk Menu,10256 S AVENUE M,2022,18477.15,8010,10256 S AVENUE M,census,"c(-87.537703973, 41.7090198770001)",10,34,10034
10,Sidewalk Menu,10258 S AVENUE G,2021,7252.28,40693,10258 S AVENUE G,census,"c(-87.531666102, 41.708707066)",10,26,10026
10,Sidewalk Menu,10258 S AVENUE L,2022,3275.21,8011,10258 S AVENUE L,census,"c(-87.536497303, 41.708990333)",10,34,10034
48,Curb & Gutter Menu,1026 W AINSLIE ST,2020,9121.14,38962,1026 W AINSLIE ST,census,"c(-87.655710904, 41.9715748130001)",46,40,46040
1,Sidewalk Menu,1027 N HERMITAGE AVE,2019,2702.48,824,1027 N HERMITAGE AVE,census,"c(-87.671079032, 41.900609595)",1,47,01047
44,Street Light Upgrade Menu,1028 W NEWPORT AVE,2017,500,43127,1028 W NEWPORT AVE,census,"c(-87.655691571, 41.944464882)",44,38,44038
44,Alley Apron Menu,1028 W WOLFRAM ST,2017,10119.55,35810,1028 W WOLFRAM ST,census,"c(-87.654638818, 41.9335393110001)",44,40,44040
43,Miscellaneous CDOT Projects,1029 W ALTGELD ST,2018,616.190476190476,43026,1029 W ALTGELD ST,census,"c(-87.654513207, 41.9271746160001)",43,2,43002
19,Miscellaneous-CDOT,103 rd St. & Claremont SEX,2005,3013,15273,103 rd St. & Claremont SEX,google,"c(-87.6804073, 41.7063415)",19,35,19035
10,Sidewalk Menu,10300 S EWING AVE,2019,2725.5,40685,10300 S EWING AVE,census,"c(-87.53529466, 41.7081571520001)",10,33,10033
10,Bollard Menu,10300 S TORRENCE AV,2009,2520,7427,10300 S TORRENCE AV,census,"c(-87.55966542, 41.708027073)",10,36,10036
10,Sidewalk Menu,10301 S AVENUE G,2017,8567.24,7787,10301 S AVENUE G,census,"c(-87.5316514149999, 41.708074266)",10,32,10032
43,Miscellaneous CDOT Projects,1031 W ALTGELD ST,2018,616.190476190476,43034,1031 W ALTGELD ST,census,"c(-87.654543109, 41.9271741330001)",43,2,43002
34,Bollard Menu,10314 S EMERALD AV,2008,1428,27388,10314 S EMERALD AV,census,"c(-87.641601114, 41.7061873810001)",34,20,34020
19,Alley Speed Hump Menu,10315 S CAMPBELL AVE,2022,350,41322,10315 S CAMPBELL AVE,google,"c(-87.6838231, 41.7058797)",19,61,19061
34,Alley Apron Menu,10317 S UNION AVE,2019,35326.55,27969,10317 S UNION AVE,google,"c(-87.6401135, 41.7063922)",34,20,34020
10,Sidewalk Menu,10319 S AVENUE H,2017,6046.4,7796,10319 S AVENUE H,census,"c(-87.532861401, 41.7077923920001)",10,32,10032
9,Sidewalk Menu,10319 S FOREST AVE,2018,2717.36,6774,10319 S FOREST AVE,census,"c(-87.6161766709999, 41.7065049780001)",9,1,09001
44,Street Light Upgrade Menu,1032 W NEWPORT AVE,2017,500,43130,1032 W NEWPORT AVE,census,"c(-87.655774863, 41.944463596)",44,38,44038
10,Sidewalk Menu,10326 S AVENUE J,2020,8700.41,7914,10326 S AVENUE J,census,"c(-87.534086074, 41.707666972)",10,33,10033
10,Sidewalk Menu,10331 S AVENUE H,2021,6127.74,7949,10331 S AVENUE H,census,"c(-87.532861401, 41.707604261)",10,32,10032
9,Sidewalk Menu,10337 S FOREST AVE,2019,4406,6807,10337 S FOREST AVE,census,"c(-87.616170773, 41.7062934900001)",9,1,09001
46,Curb & Gutter Menu,1034 W MONTROSE AVE,2018,1888.14,37150,1034 W MONTROSE AVE,census,"c(-87.655877429, 41.961768492)",46,32,46032
34,Curb & Gutter Menu,10344 S SANGAMON ST,2016,18508.7,27863,10344 S SANGAMON ST,census,"c(-87.6464522479999, 41.7057942370001)",34,12,34012
10,Sidewalk Menu,10348 S AVENUE J,2022,1220.83,8012,10348 S AVENUE J,census,"c(-87.534086074, 41.707322065)",10,33,10033
37,Curb & Gutter Menu,1035 N LATROBE AVE,2016,8282.78,30275,1035 N LATROBE AVE,census,"c(-87.75692588, 41.8992580890001)",37,25,37025
21,Sidewalk Menu,1035 W 92ND PL,2019,3882.93,17247,1035 W 92ND PL,google,"c(-87.6495795, 41.7257021)",21,19,21019
19,Street Light Upgrade,10352 S FAIRFIELD AVE,2013,400,15610,10352 S FAIRFIELD AVE,census,"c(-87.68981409, 41.705361198)",19,1,19001
19,POD Camera,10354 S Charles,2006,24000,41317,10354 S Charles,census,"c(-87.658116088, 41.705491054)",19,60,19060
34,Guardrail Menu,10358 S LOWE AV,2006,2080,27247,10358 S LOWE AV,census,"c(-87.6391668209999, 41.7058209250001)",34,20,34020
44,Sidewalk Menu,1036 W WAVELAND AVE,2019,40783.53,35904,1036 W WAVELAND AVE,census,"c(-87.655892031, 41.9490245270001)",44,31,44031
43,Miscellaneous CDOT Projects,1039 W ALTGELD ST,2018,616.190476190476,43035,1039 W ALTGELD ST,census,"c(-87.654640451, 41.9271725570001)",43,2,43002
46,Sidewalk Menu,1039 W LAWRENCE AVE,2017,3164.77,37133,1039 W LAWRENCE AVE,census,"c(-87.6563735989999, 41.9690636780001)",46,6,46006
10,POD Camera,104 th Ave 'M',2007,36000,40648,104 th Ave 'M',google,"c(-87.5377021, 41.7063854)",10,33,10033
9,POD Camera,104 th Place & Corliss,2009,24000,6523,104 th Place & Corliss,google,"c(-87.6039277, 41.7047084)",9,42,09042
42,Sidewalk Menu,1040 N LAKE SHORE DR,2017,1599.17,34131,1040 N LAKE SHORE DR,census,"c(-87.624293189, 41.9016894490001)",42,1,42001
29,Curb & Gutter Menu,1040 S MONITOR AVE,2021,5349.11,23666,1040 S MONITOR AVE,census,"c(-87.770552615, 41.868382567)",29,22,29022
48,Alley Apron Menu,1040 W AINSLIE ST,2017,5834.9,38751,1040 W AINSLIE ST,census,"c(-87.655814909, 41.9715728130001)",46,40,46040
44,Street Light Upgrade Menu,1040 W NEWPORT AVE,2017,500,43128,1040 W NEWPORT AVE,census,"c(-87.655941447, 41.944461023)",44,38,44038
44,Miscellaneous CDOT Projects,1040 W NEWPORT AVE,2019,582.5,43173,1040 W NEWPORT AVE,census,"c(-87.655941447, 41.944461023)",44,38,44038
11,Sidewalk Menu,1041 W 31ST PL,2022,5710.91,8774,1041 W 31ST PL,census,"c(-87.6524715629999, 41.8370492220001)",11,19,11019
10,Sidewalk Menu,10414 S EWING AVE,2019,22300,7870,10414 S EWING AVE,census,"c(-87.5352920399999, 41.7060300740001)",10,33,10033
48,Alley Apron Menu,1042 W GLENLAKE AVE,2017,8771.51,38763,1042 W GLENLAKE AVE,census,"c(-87.657889664, 41.9923300890001)",48,32,48032
43,Alley Apron Menu,1042 W MONTANA ST,2019,10338.69,35145,1042 W MONTANA ST,census,"c(-87.6548096929999, 41.926332345)",43,2,43002
44,Street Light Upgrade Menu,1042 W NEWPORT AVE,2017,500,43129,1042 W NEWPORT AVE,census,"c(-87.655983093, 41.9444603800001)",44,38,44038
19,Street Light Upgrade,10420 S LEAVITT ST,2012,350,15578,10420 S LEAVITT ST,census,"c(-87.676720097, 41.704158598)",19,35,19035
9,Sidewalk Menu,10425 S FOREST AVE,2021,5846.26,6871,10425 S FOREST AVE,census,"c(-87.616132813, 41.704933941)",9,40,09040
7,Alley Resurfacing Menu,10426 S OGLESBY AVE,2019,9170.1,5325,10426 S OGLESBY AVE,census,"c(-87.5656947049999, 41.706060662)",10,28,10028
19,POD Camera,10431 W Longwood,2007,12000,41318,10431 W Longwood,google,"c(-87.6702879, 41.7033598)",19,36,19036
10,Sidewalk Menu,10436 S AVENUE J,2021,4821.48,7950,10436 S AVENUE J,census,"c(-87.534086074, 41.7056811470001)",10,33,10033
10,Sidewalk Menu,10446 S AVENUE M,2022,1875.02,8014,10446 S AVENUE M,census,"c(-87.537710175, 41.70553219)",10,35,10035
10,Sidewalk Menu,10449 S AVENUE F,2016,10610.91,7753,10449 S AVENUE F,census,"c(-87.5304414289999, 41.705485046)",10,32,10032
26,Street Speed Hump Menu,1045 NSACRAMENTO AVE,2021,1175,41837,1045 NSACRAMENTO AVE,google,"c(-87.7015545, 41.9007907)",26,27,26027
44,Alley Apron Menu,1045 W BARRY AVE,2022,11002.56,35966,1045 W BARRY AVE,census,"c(-87.655812866, 41.938061066)",44,27,44027
46,Alley Apron Menu,1045 W IRVING PARK RD,2017,10532.9,37113,1045 W IRVING PARK RD,census,"c(-87.656225935, 41.9544547890001)",44,18,44018
34,Sidewalk Menu,10457 S EMERALD AVE,2022,7896.13,28076,10457 S EMERALD AVE,census,"c(-87.641517377, 41.7039495380001)",34,20,34020
10,Sidewalk Menu,10458 S AVENUE H,2019,15405,7875,10458 S AVENUE H,census,"c(-87.532873567, 41.7053339060001)",10,33,10033
9,Sidewalk Menu,10458 S CALUMET AVE,2020,8545.405,40633,10458 S CALUMET AVE,census,"c(-87.614915831, 41.704398993)",9,40,09040
43,Miscellaneous CDOT Projects,1046 W MONTANA ST,2018,616.190476190476,43027,1046 W MONTANA ST,census,"c(-87.6548514259999, 41.9263316520001)",43,2,43002
48,Sidewalk Menu,1049 W BRYN MAWR AVE,2022,4316.01,39036,1049 W BRYN MAWR AVE,census,"c(-87.65678325, 41.9836756830001)",48,3,48003
4,Sidewalk Menu,1050 E 49TH ST,2016,5525.57,3424,1050 E 49TH ST,google,"c(-87.5996746, 41.806192)",4,24,04024
27,Street Resurfacing Menu,1050 N CENTRAL PARK AVE,2016,6213.85,22144,1050 N CENTRAL PARK AVE,census,"c(-87.715487923, 41.8684120390001)",24,49,24049
27,Street Speed Hump Menu,1050 N CENTRAL PARK AVE,2017,3700,22189,1050 N CENTRAL PARK AVE,census,"c(-87.715487923, 41.8684120390001)",24,49,24049
49,Chicago Park District,1050 W ALBION AVE,2014,75000,39428,1050 W ALBION AVE,census,"c(-87.658360681, 42.002594597)",49,7,49007
49,Sidewalk Menu,1050 W COLUMBIA AVE,2018,7981.58,39610,1050 W COLUMBIA AVE,census,"c(-87.658098404, 42.004662522)",49,7,49007
9,POD Camera,10500 S. State,2009,24000,6519,10500 S. State,google,"c(-87.623673, 41.7033704)",34,18,34018
10,Concrete Alley Menu,10501 S AVENUE E,2019,188000,7862,10501 S AVENUE E,census,"c(-87.529231443, 41.7043991240001)",10,32,10032
10,Sidewalk Menu,10501 S AVENUE L,2022,7942.58,8015,10501 S AVENUE L,census,"c(-87.5364833199999, 41.704424531)",10,33,10033
10,Sidewalk Menu,10505 S EWING AVE,2016,21886.33,7767,10505 S EWING AVE,census,"c(-87.535275057, 41.7043578510001)",10,33,10033
10,Sidewalk Menu,10507 S AVENUE L,2016,10964.81,7757,10507 S AVENUE L,census,"c(-87.5364833199999, 41.7043304650001)",10,33,10033
37,Sidewalk Menu,1051 N CENTRAL AVE,2016,1117,30278,1051 N CENTRAL AVE,google,"c(-87.7652538, 41.8999768)",37,29,37029
43,Miscellaneous CDOT Projects,1051 W MONTANA ST,2018,616.190476190476,43017,1051 W MONTANA ST,census,"c(-87.6555379769999, 41.926307826)",43,2,43002
10,Sidewalk Menu,10511 S AVENUE F,2016,3017.89,7754,10511 S AVENUE F,census,"c(-87.5304414289999, 41.7042456570001)",10,32,10032
34,Sidewalk Menu,10519 S PARNELL AVE,2021,10224.12,28033,10519 S PARNELL AVE,census,"c(-87.636649569, 41.702924485)",34,24,34024
48,Alley Apron Menu,1052 W THORNDALE AVE,2017,10624.98,38760,1052 W THORNDALE AVE,google,"c(-87.6576077, 41.9901966)",48,31,48031
27,Alley Resurfacing Menu,1053 N ORLEANS ST,2017,13862.175,41893,1053 N ORLEANS ST,census,"c(-87.637356456, 41.9015847150001)",27,28,27028
48,Alley Apron Menu,1053 W THORNDALE AVE,2017,8130.21,38761,1053 W THORNDALE AVE,census,"c(-87.657744515, 41.990061331)",48,16,48016
11,Sidewalk Menu,1054 W 34TH PL,2022,2173.56,8775,1054 W 34TH PL,census,"c(-87.652589727, 41.8315909630001)",11,19,11019
48,Curb & Gutter Menu,1054 W BERWYN AVE,2020,11256.855,43475,1054 W BERWYN AVE,google,"c(-87.6571569, 41.9781847)",48,45,48045
10,Sidewalk Menu,10546 S AVENUE G,2022,4359.86,8016,10546 S AVENUE G,census,"c(-87.531662081, 41.7036834700001)",10,32,10032
48,Street Lighting,1055 W BRYN MAWR AVE,2011,500,38539,1055 W BRYN MAWR AVE,census,"c(-87.656842347, 41.983674826)",48,3,48003
48,Sidewalk Menu,1055 W BRYN MAWR AVE,2019,3342.29,38924,1055 W BRYN MAWR AVE,census,"c(-87.656842347, 41.983674826)",48,3,48003
10,Sidewalk Menu,10554 S AVENUE F,2020,4739.12,7907,10554 S AVENUE F,census,"c(-87.526494672, 41.704327332)",10,32,10032
10,Bollard Menu,10556 S AVENUE B,2008,1428,7380,10556 S AVENUE B,census,"c(-87.526494799, 41.704320346)",10,32,10032
9,Bollard Menu,10557 DR. MARTIN LUTHER KING JR. DR,2008,714,6444,10557 DR. MARTIN LUTHER KING JR. DR,google,"c(-87.613296, 41.701995)",9,22,09022
34,Alley Apron Menu,10558 S PEORIA ST,2022,36512.5,28066,10558 S PEORIA ST,census,"c(-87.645122723, 41.702184023)",34,12,34012
29,Curb & Gutter Menu,1056 N MAYFIELD AVE,2019,6244.77,42045,1056 N MAYFIELD AVE,google,"c(-87.773187, 41.9000835)",29,13,29013
43,Sidewalk Menu,1056 W ARMITAGE AVE,2021,3430.79,43078,1056 W ARMITAGE AVE,google,"c(-87.6555965, 41.9182198)",43,10,43010
27,Alley Resurfacing Menu,1057 N RIDGEWAY AVE,2015,44161,22078,1057 N RIDGEWAY AVE,census,"c(-87.720118043, 41.9001175720001)",27,24,27024
17,Miscellaneous CDOT Projects,1057 W 79TH ST,2022,150,14423,1057 W 79TH ST,google,"c(-87.6510087, 41.7502913)",17,55,17055
37,Sidewalk Menu,1058 N KEYSTONE AVE,2017,3941.2,30319,1058 N KEYSTONE AVE,census,"c(-87.72745887, 41.9000562520001)",37,13,37013
37,Sidewalk Menu,1058 N KEYSTONE AVE,2018,804.8,30347,1058 N KEYSTONE AVE,census,"c(-87.72745887, 41.9000562520001)",37,13,37013
21,Sidewalk Menu,1058 W 92ND PL,2021,6120.3,17323,1058 W 92ND PL,google,"c(-87.6504533, 41.7262004)",21,19,21019
