year,ward,dept,program,category,location,desc,blocks,unit_count,est_cost
2021,1,,Sidewalk Menu (2021),Streets/CDOT,1947 N ROCKWELL ST,,,,"$97,271.71"
2021,1,,Sidewalk Menu (2021),Streets/CDOT,2656 W CORTLAND ST,,,,"$10,544.01"
2021,1,,Sidewalk Menu (2021),Streets/CDOT,529 N HARTLAND CT,,,,"$4,622.65"
2021,1,,Sidewalk Menu (2021),Streets/CDOT,N CALIFORNIA AVE & W MEDILL AVE,,,,"$78,540.60"
2021,1,,Sidewalk Menu (2021),Streets/CDOT,W MCLEAN AVE & N CAMPBELL AVE,,,,"$5,425.27"
2021,1,,Street Resurfacing Menu (2021),Streets/CDOT,1500 W WALTON ST,,,,"$53,111.55"
2021,1,,Street Resurfacing Menu (2021),Streets/CDOT,1750 W DIVISION ST,,,,"$20,349.41"
2021,1,,Street Resurfacing Menu (2021),Streets/CDOT,ON N OAKLEY AVE FROM W THOMAS ST (1100 N) TO W HADDON AVE (11,,,,"30 N) $36,741.96"
2021,1,,Street Resurfacing Menu (2021),Streets/CDOT,ON N WOOD ST FROM 1320 N TO N MILWAUKEE AVE (1400 N),,,,"$12,382.97"
2021,1,,Street Resurfacing Menu (2021),Streets/CDOT,ON N WOOD ST FROM N ELK GROVE AVE (1500 N) TO W JULIAN ST (1440,,,,"N) $7,669.70"
2021,1,,Street Resurfacing Menu (2021),Streets/CDOT,ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST,,,,"(2600 W) $124,604.42"
2021,1,,Street Speed Hump Menu (2021),Streets/CDOT,ON W BELDEN AVE FROM N TALMAN AVE (2630 W) TO N WASHTENAW AV,,,,"E  (2700 W) $2,350.00"
2021,1,,Street Speed Hump Replacement (2021),Streets/CDOT,1500 W WALTON ST,,,,$0.00
2021,1,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,1,,Street Speed Hump Replacement (2021),Streets/CDOT,ON N OAKLEY AVE FROM W THOMAS ST (1100 N) TO W HADDON AVE (11,,,,30 N) $0.00
2021,2,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,2,,1 360 POD Camera: N Ashland & W Blackhawk,Cameras,N ASHLAND AVE & W BLACKHAWK ST,,,,"$24,335.00"
2021,2,,1 LPR W/ Existing Camera: SW Corner 1555 W Division,Cameras,1555 W DIVISION ST,,,,"$10,971.00"
2021,2,,1 POD Camera: 310 E Chicago Ave,Cameras,310 E CHICAGO AVE,,,,"$24,776.00"
2021,2,,1 POD Camera 360 CAMERA ON CORNER OF LASALLE AND CLARK TO VIEW BP STATION,Cameras,N LA SALLE DR & N CLARK ST,,,,"$24,776.00"
2021,2,,1 POD Camera: E PEARSON AND MIES VAN DER ROHE,Cameras,E PEARSON ST & N MIES VAN DER ROHE WAY,,,,"$24,776.00"
2021,2,,"2 POD Cameras: 2000 W Chicago Ave, 1300 N Cleveland",Cameras,2000 W CHICAGO AVE; 1300 N CLEVELAND AVE,,,,"$49,552.00"
2021,2,,Alley Apron Menu (2021),Streets/CDOT,1401 N DEARBORN ST,,,,"$10,059.91"
2021,2,,Alley Apron Menu (2021),Streets/CDOT,50 W SCHILLER ST,,,,"$18,136.54"
2021,2,,Floodlight Menu (2021),Lighting,W EVERGREEN AVE & N NOBLE ST,,,,"$1,900.00"
2021,2,,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2021)",Streets/CDOT,W AUGUSTA BLVD & N HOYNE AVE,,,,$600.00
2021,2,,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2021)",Streets/CDOT,W FULLERTON AVE & N LAKEWOOD AVE,,,,$350.00
2021,2,,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2021)",Streets/CDOT,W FULLERTON AVE & N SURREY CT,,,,$350.00
2021,2,,Miscellaneous CDOT Projects (2021),Streets/CDOT,N CLYBOURN AVE & N LAKEWOOD AVE,,,,"$69,368.96"
2021,2,,Seneca Park Playlot Improvement,Parks,220 E CHICAGO AVE,,,,"$197,305.52"
2021,2,,Sidewalk Menu (2021),Streets/CDOT,ON E LAKE SHORE DR FROM N LAKE SHORE DR RAMP (330 N) TO E OAK LAKE SHORE DR,,,,"ST  (150 E); 230 E$21,246.31"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,227 E CHESTNUT ST; 850 N DEWITT PL,,,,"$104,715.96"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON E PEARSON ST FROM N MICHIGAN AVE W (128 E) TO N MIES VAN DERE),,,,"ROHE WAY  (200$20,969.27"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N ADA ST FROM 1299 N TO W CRYSTAL ST (1240 N),,,,"$31,059.55"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N DAYTON ST FROM W BLACKHAWK ST (1500 N) TO W NORTH AVE (1,,,,"600 N) $73,020.92"
2021,2,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N DEARBORN ST FROM W DIVISION ST (1200 N) TO W NORTH BLVD (,,,,"1600 N) $235,976.32"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N JANSSEN AVE FROM W WEBSTER AVE (2200 N) TO W ALTGELD ST,,,,"(2500 N) $2,733.15"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N NOBLE ST FROM 1416 N TO W BLACKHAWK ST (1400 N),,,,"$22,981.89"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N NOBLE ST FROM W AUGUSTA BLVD (1000 N) TO N MILWAUKEE AVE,,,,"(1060 N) $34,574.99"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N PAULINA ST FROM W PIERCE AVE (1530 N) TO W NORTH AVE (1600,,,,"N) $24,812.93"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N SCHICK PL FROM N CLYBOURN AVE (1280 N) TO N CLEVELAND AVE,,,,"(1300 N) $12,330.14"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON N WOOD ST FROM N ELK GROVE AVE (1500 N) TO W JULIAN ST (1440,,,,"N) $7,669.70"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON W BLACKHAWK ST FROM N BOSWORTH AVE (1530 W) TO N CLEAVER,,,,"ST  (1430 W) $39,599.56"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON W CRYSTAL ST FROM N NOBLE ST (1400 W) TO N ADA ST (1360 W),,,,"$20,561.31"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON W IOWA ST FROM N DAMEN AVE (2000 W) TO N LEAVITT ST (2200 W),,,,"$132,093.09"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON W LE MOYNE DR FROM N ASHLAND AVE (1600 W) TO N WOOD ST (18,,,,"00 W) $113,737.24"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON W MAPLE ST FROM N STATE ST (1 W) TO N DEARBORN ST (50 W),,,,"$32,830.45"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON W OAK ST FROM N STATE ST (0 E) TO N DEARBORN ST (50 W),,,,"$34,519.29"
2021,2,,Street Resurfacing Menu (2021),Streets/CDOT,ON W SCHILLER ST FROM N LA SALLE DR (140 W) TO N DEARBORN ST (3,,,,"0 W) $74,178.60"
2021,2,,Street Speed Hump Menu (2021),Streets/CDOT,ON N MAGNOLIA AVE FROM N CLYBOURN AVE (2000 N) TO W DICKENS A,,,,"VE  (2100 N) $3,132.39"
2021,2,,Street Speed Hump Replacement (2021),Streets/CDOT,ON N PAULINA ST FROM W PIERCE AVE (1530 N) TO W NORTH AVE (1600,,,,N) $0.00
2021,2,,Street Speed Hump Replacement (2021),Streets/CDOT,ON W IOWA ST FROM N DAMEN AVE (2000 W) TO N LEAVITT ST (2200 W),,,,$0.00
2021,2,,Street Speed Hump Replacement (2021),Streets/CDOT,ON W SCHILLER ST FROM N LA SALLE DR (140 W) TO N DEARBORN ST (3,,,,0 W) $0.00
2021,3,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,3,,1 POD Camera NE Corner of Cermack and Wabash,Cameras,S WABASH AVE & E CERMAK RD,,,,"$24,776.00"
2021,3,,,Other,200 W PERSHING RD; S STATE ST & E 31ST ST; S LA SALLE ST & W 47TH,,,,ST; S MICHIGAN
2021,3,,4 POD Cameras & 7 LPR on Existing Cameras: Various,Cameras,AVE & E CERMAK RD; S PRINCETON AVE & W 53RD ST; S PRINCETON AV,,,,E &  W 51ST ST; S
2021,3,,Locations,Other,STATE ST & W ROOSEVELT RD; S WENTWORTH AVE & W GARFIELD BLV,,,,"D; S WELLS ST &  W $175,901.00"
2021,3,,Alley Resurfacing Menu (1-1) (2021),Streets/CDOT,47TH ST S DR MARTIN LUTHER KING JR DR & E 43RD ST & E 44TH ST & S VINCENN,,,,"ES AVE $38,436.09"
2021,3,,Alley Resurfacing Menu (2021),Streets/CDOT,S CALUMET AVE & E 45TH ST & E 46TH ST & S DR MARTIN LUTHER KING J,,,,"R DR $37,349.83"
2021,3,,Alley Resurfacing Menu (2021),Streets/CDOT,S GILES AVE & E 35TH ST & W 37TH ST & S PRINCETON AVE,,,,"$69,522.70"
2021,3,,Alley Resurfacing Menu (2021),Streets/CDOT,S INDIANA AVE & E 31ST ST & E 32ND ST & S PRAIRIE AVE,,,,"$28,686.74"
2021,3,,Alley Resurfacing Menu (2021),Streets/CDOT,S WABASH AVE & E 42ND ST & E 43RD ST & S MICHIGAN AVE,,,,"$25,775.49"
2021,3,,Alley Resurfacing Menu (2021),Streets/CDOT,S WABASH AVE & E 47TH ST & E 48TH ST & S STATE ST,,,,"$42,697.20"
2021,3,,Alley Resurfacing Menu (2021),Streets/CDOT,W 47TH ST & S PRINCETON AVE & S SHIELDS AVE & W 48TH PL,,,,"$16,562.66"
2021,3,,Alley Resurfacing Menu (2021),Streets/CDOT,W 51ST PL & S PRINCETON AVE & S PRINCETON AVE & W 51ST ST,,,,"$27,954.99"
2021,3,,Alley Speed Hump Menu (2021),Streets/CDOT,W 51ST PL & S PRINCETON AVE & S PRINCETON AVE & W 51ST ST,,,,$700.00
2021,3,,Alley Speed Hump Replacement (2021),Streets/CDOT,W 47TH ST & S PRINCETON AVE & S SHIELDS AVE & W 48TH PL,,,,$0.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,3300 S STATE ST,,,,$660.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,447 E 43RD ST; 435 E 43RD ST,,,,$150.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,4711-4755 S CALUMET AVE,,,,$300.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,4712 S PRINCETON AVE,,,,$150.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,4747-4759 S CALUMET AVE,,,,$300.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,5213 S WABASH AVE; 5221 S WABASH AVE,,,,$266.13
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,5301 S WENTWORTH AVE,,,,$660.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,5308 S INDIANA AVE; 5314 S INDIANA AVE,,,,$300.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,5334 S INDIANA AVE,,,,$150.00
2021,3,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,5420 S INDIANA AVE,,,,$450.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,542 E 47TH ST,,,,$150.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,600-608 E 47TH ST,,,,$300.00
2021,3,,Miscellaneous CDOT Projects (2021),Streets/CDOT,S STATE ST & E 43RD ST,,,,"$2,500.00"
2021,3,,Sidewalk Menu (2021),Streets/CDOT,319-321 E 18TH ST,,,,"$3,948.07"
2021,3,,Sidewalk Menu (2021),Streets/CDOT,3658 S WENTWORTH AVE,,,,"$20,357.00"
2021,3,,Sidewalk Menu (2021),Streets/CDOT,4458 S DR MARTIN LUTHER KING JR DR W; S DR MARTIN LUTHER KING JR,,,,"DR &  E 45TH ST $22,448.46"
2021,3,,Sidewalk Menu (2021),Streets/CDOT,4807 S PRAIRIE AVE,,,,"$12,249.37"
2021,3,,Sidewalk Menu (2021),Streets/CDOT,5640 S PRINCETON AVE,,,,"$3,812.48"
2021,3,,Sidewalk Menu (2021),Streets/CDOT,E 50TH ST & S PRAIRIE AVE,,,,"$15,284.77"
2021,3,,Street Bump Outs Menu (2021),Streets/CDOT,S MICHIGAN AVE & E 46TH ST,,,,"$16,727.48"
2021,3,,Street Light Pole for High Definition Camera Menu (2021),Lighting,W 53RD ST & S PRINCETON AVE,,,,"$3,000.00"
2021,3,,Street Light Pole Painting Menu (2021),Lighting,ON E 18TH ST FROM S PRAIRIE AVE (300 E) TO S CALUMET AVE (334 E),,,,"$2,600.00"
2021,3,,Street Light Pole Painting Menu (2021),Lighting,ON S CALUMET AVE FROM 1834 S TO E 18TH ST (1800 S),,,,"$3,000.00"
2021,3,,Street Light Pole Painting Menu (2021),Lighting,ON S PRAIRIE AVE FROM E 17TH ST (1700 S) TO E 18TH ST (1799 S),,,,"$2,100.00"
2021,3,,Street Light Residential Staggered Piggy Back Menu (2021,Lighting,) ON S FEDERAL ST FROM 1208 S TO W 14TH ST (1400 S); ON S PLYMOUTHTO W 14TH ST (1400 S),,,,"CT FROM 1211 S$123,330.76"
2021,3,,Street Light Upgrade Menu (2021),Lighting,3423 S MICHIGAN AVE,,,,$500.00
2021,3,,Street Light Upgrade Menu (2021),Lighting,3664 S INDIANA AVE,,,,$500.00
2021,3,,Street Light Upgrade Menu (2021),Lighting,3804 S INDIANA AVE,,,,$500.00
2021,3,,Street Light Upgrade Menu (2021),Lighting,421 E 41ST ST,,,,$259.76
2021,3,,Street Light Upgrade Menu (2021),Lighting,4319 S STATE ST,,,,$500.00
2021,3,,Street Light Upgrade Menu (2021),Lighting,517 E 46TH PL,,,,$500.00
2021,3,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,3,,Street Light Upgrade Menu (2021),Lighting,5439 S INDIANA AVE,,,,$500.00
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON E 37TH PL FROM S WABASH AVE (50 E) TO S INDIANA AVE (200 E),,,,"$67,395.75"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON E 45TH PL FROM S DR MARTIN LUTHER KING JR DR E (400 E) TO S VINE),,,,"CENNES AVE  (499$63,244.31"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON E 46TH ST FROM S DR MARTIN LUTHER KING JR DR (380 E) TO S VINCE),,,,"ENNES AVE  (500$68,391.54"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON S DEARBORN ST FROM W 40TH ST (4000 S) TO W ROOT ST (4134 S),,,,"$96,298.53"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON S FEDERAL ST FROM W 26TH ST (2600 S) TO W 27TH ST (2700 S),,,,"$40,469.88"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON S PRAIRIE AVE FROM 1472 S TO E 15TH PL (1531 S),,,,"$49,220.32"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON S PRAIRIE AVE FROM E 32ND ST (3200 S) TO E 33RD BLVD (3300 S),,,,"$63,755.71"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON S PRINCETON AVE FROM W 37TH ST (3700 S) TO W 38TH ST (3760 S),,,,"$72,816.17"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON S PRINCETON AVE FROM W 43RD ST (4300 S) TO W 45TH ST (4500 S),,,,"$171,764.11"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON W SWANN ST FROM S WENTWORTH AVE (232 W) TO S PRINCETON AV,,,,"E  (300 W) $20,122.59"
2021,3,,Street Resurfacing Menu (2021),Streets/CDOT,ON W SWANN ST FROM S WENTWORTH AVE (232 W) TO S PRINCETON AVSWANN ST FROM S PRINCETON AVE (300 W) TO S SHIELDS AVE (340 W),,,,"E  (300 W); ON W$24,454.10"
2021,3,,Street Speed Hump Menu (2021),Streets/CDOT,ON E 15TH PL FROM S INDIANA AVE (200 E) TO S PRAIRIE AVE (300 E),,,,"$2,350.00"
2021,3,,Street Speed Hump Menu (2021),Streets/CDOT,ON E 46TH ST FROM S INDIANA AVE (200 E) TO S DR MARTIN LUTHER KIN,,,,"G JR DR  (380 E) $7,050.00"
2021,3,,Street Speed Hump Menu (2021),Streets/CDOT,ON E 46TH ST FROM S VINCENNES AVE (500 E) TO S CHAMPLAIN AVE (64,,,,"0 E) $7,050.00"
2021,3,,Street Speed Hump Menu (2021),Streets/CDOT,ON S LA SALLE ST FROM W GARFIELD BLVD (5500 S) TO W 57TH ST (570,,,,"0 S) $9,400.00"
2021,3,,Street Speed Hump Menu (2021),Streets/CDOT,ON S PRINCETON AVE FROM W 37TH ST (3700 S) TO W 38TH ST (3760 S),,,,"$4,700.00"
2021,3,,Street Speed Hump Menu (2021),Streets/CDOT,ON S PRINCETON AVE FROM W 38TH ST (3760 S) TO W PERSHING RD (39,,,,"00 S) $4,700.00"
2021,3,,Street Speed Hump Replacement (2021),Streets/CDOT,ON E 46TH ST FROM S DR MARTIN LUTHER KING JR DR (380 E) TO S VINCE),,,,ENNES AVE  (500$0.00
2021,3,,Street Speed Hump Replacement (2021),Streets/CDOT,ON S PRAIRIE AVE FROM 1472 S TO E 15TH PL (1531 S),,,,$0.00
2021,3,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,3,,Street Speed Hump Replacement (2021),Streets/CDOT,ON S PRINCETON AVE FROM W 37TH ST (3700 S) TO W 38TH ST (3760 S),,,,$0.00
2021,3,,Street Speed Hump Replacement (2021),Streets/CDOT,ON S PRINCETON AVE FROM W 43RD ST (4300 S) TO W 45TH ST (4500 S),,,,$0.00
2021,4,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,4,,"2 POD Camera, 3 LPRs w/o Existing Camera - Various",Cameras,E 31ST DR & S LSD 31ST ST ER; E 47TH DR & S LSD 47TH ST ER; E 31ST S,,,,T &  S RHODES
2021,4,,Locations,Other,AVE; E OAKWOOD BLVD & S LSD OAKWOOD BL ER; E 53RD ST & S LAKE,,,,"PARK AVE $131,782.00"
2021,4,,"3 LPR No POD Cameras: 101 W Ida B Wells, 110 E Roosevelt Rd, 600 S State St",Cameras,101 W IDA B WELLS DR; 110 E ROOSEVELT RD; 600 S STATE ST,,,,"$82,230.00"
2021,4,,Alley Apron Menu (2021),Streets/CDOT,600 E 42ND ST,,,,"$66,743.26"
2021,4,,Alley Resurfacing Menu (2021),Streets/CDOT,E 43RD ST & S BERKELEY AVE & S GREENWOOD AVE & E 44TH ST,,,,"$38,230.78"
2021,4,,Alley Resurfacing Menu (2021),Streets/CDOT,E 46TH ST & S DREXEL BLVD & S ELLIS AVE & E 47TH ST; 936 E 47TH ST,,,,"$22,754.44"
2021,4,,Alley Speed Hump Menu (2021),Streets/CDOT,E OAKWOOD BLVD & S ELLIS AVE & S LAKE PARK AVE & E 40TH ST,,,,"$2,100.00"
2021,4,,Concrete Alley Menu (2021),Streets/CDOT,801-833 E OAKWOOD BLVD; S ELLIS AVE & E OAKWOOD BLVD & E 40TH ST,,,,"&  S DREXEL BLVD $126,503.40"
2021,4,,Concrete Alley Menu (2021),Streets/CDOT,E 46TH ST & S CHAMPLAIN AVE & S EVANS AVE & E 45TH ST,,,,"$128,612.09"
2021,4,,Concrete Alley Menu (2021),Streets/CDOT,S VINCENNES AVE & E OAKWOOD BLVD & E PERSHING RD & S LANGLEY,,,,"AVE $25,000.00"
2021,4,,Curb & Gutter Menu (2021),Streets/CDOT,4952-4956 S CHAMPLAIN AVE; ON S CHAMPLAIN AVE FROM E 49TH ST (49(5000 S),,,,"00 S) TO E 50TH ST$7,832.39"
2021,4,,Kenwood Park Benches,Parks,1330 E 50TH ST,,,,"$54,000.00"
2021,4,,Kenwood Park - Infield Resizing,Parks,1330 E 50TH ST,,,,"$27,140.00"
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,401 E 35TH ST,,,,$660.00
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,4125 S DREXEL BLVD,,,,$150.00
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,4337 S LAKE PARK AVE,,,,$150.00
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,4734 S INGLESIDE AVE,,,,"$17,686.35"
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,4736-4738 S INGLESIDE AVE,,,,$150.00
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,622 E 41ST ST,,,,"$4,296.33"
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,863 E OAKWOOD BLVD,,,,$150.00
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,E 43RD ST & S OAKENWALD AVE,,,,$660.00
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,E 48TH ST & S GREENWOOD AVE,,,,"$70,103.26"
2021,4,,Menu Package,Other,Locations,,,,Estimated 2021 Cost
2021,4,,Miscellaneous CDOT Projects (2021),Streets/CDOT,E 49TH ST & S KENWOOD AVE,,,,"$101,658.78"
2021,4,,Pedestrian Refuge Island Menu (2021),Streets/CDOT,1306 E 47TH ST,,,,"$46,650.21"
2021,4,,Printers Row Fountian Restoration,Other,632 S DEARBORN ST,,,,"$35,000.00"
2021,4,,Sidewalk Menu (2021),Streets/CDOT,403 E 37TH ST,,,,"$24,766.24"
2021,4,,Sidewalk Menu (2021),Streets/CDOT,662-700 E 46TH ST,,,,"$4,986.80"
2021,4,,Street Bump Outs Menu (2021),Streets/CDOT,1111 S WABASH AVE,,,,"$6,190.70"
2021,4,,Street Bump Outs Menu (2021),Streets/CDOT,4046 S ELLIS AVE; S ELLIS AVE & E 41ST ST,,,,"$43,940.07"
2021,4,,Street Bump Outs Menu (2021),Streets/CDOT,S PLYMOUTH CT & W JACKSON BLVD,,,,"$9,772.56"
2021,4,,Street Bump Outs Menu (2021),Streets/CDOT,S PLYMOUTH CT & W VAN BUREN ST,,,,"$16,035.36"
2021,4,,Street Cul-de-Sac Menu (2021),Streets/CDOT,4950 S GREENWOOD AVE,,,,"$30,513.92"
2021,4,,Street Light Upgrade Menu (2021),Lighting,829 E 47TH PL; 813 E 47TH PL,,,,"$1,000.00"
2021,4,,Street Resurfacing Menu (2021),Streets/CDOT,2900 S CALUMET AVE; ON S CALUMET AVE FROM 2932 S TO E 29TH ST (2,,,,"900 S) $54,132.57"
2021,4,,Street Resurfacing Menu (2021),Streets/CDOT,E 37TH ST & S LAKE PARK AVE,,,,"$15,975.57"
2021,4,,Street Resurfacing Menu (2021),Streets/CDOT,ON E 49TH ST FROM S EVANS AVE (730 E) TO S COTTAGE GROVE AVE (8,,,,"00 E) $56,934.95"
2021,4,,Street Resurfacing Menu (2021),Streets/CDOT,ON E 49TH ST FROM S FORRESTVILLE AVE (540 E) TO S CHAMPLAIN AVE,,,,"(640 E) $59,943.18"
