ward,type,location,year,est_cost,lat,long,query
18,Miscellaneous-CDOT,87 th St. & Washtenaw,2008,7288,41.7354663,-87.6896303,google
7,Miscellaneous-CDOT,93 rd & Oglesby(crosswalk) or along 93 rd (median),2010,4300,41.726265,-87.56691,google
36,Miscellaneous-CDOT,Addison at Olcott & Osceola,2007,1600,41.9831456,-87.8132427,google
33,POD Camera,Albany & Byron,2011,20000,41.9521225,-87.7055106,google
27,POD Camera,"Albany & Walnut - TPC = $20,000 (2009, 2008 menu)",2010,19455,NA,NA,google
27,POD Camera,"Albany & Walnut - TPC = $20,000 (2010, 2009, 2008 menu)",2009,413,NA,NA,google
27,POD Camera,"Albany & Walnut - TPC = $20,000 (2010,2009,2008)",2008,132,NA,NA,google
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,41.7198897,-87.6114894,google
31,POD Camera,Altgeld & Lavergne,2011,22500,41.9260267,-87.7512731,google
26,POD Camera,Armitage & Monticello,2009,20000,41.917263,-87.7179673,google
25,Miscellaneous Other,Arts & Culture,2013,140000,NA,NA,google
25,Miscellaneous-CDOT,Ashland & 17 th,2010,29484,41.8586898,-87.6661645,google
25,Miscellaneous-CDOT,Ashland & 18 th,2010,28933,41.8578077,-87.6661364,google
2,POD Camera,Ashland & Washburne,2009,13000,41.8659846,-87.6662804,google
32,Miscellaneous-CDOT,Augusta & Hoyne - Markings,2008,2000,41.8994957,-87.6795799,google
31,POD Camera,Belden & Lawler,2011,20000,41.9223267,-87.75239,google
44,Miscellaneous-CDOT,Belmont & Lake Shore,2009,33000,41.9401237,-87.6395418,google
44,Miscellaneous-CDOT,Belmont & Orchard,2009,1000,41.9400098,-87.6468192,google
44,POD Camera,Belmont & Sheffield,2006,24000,41.9399129,-87.6541109,google
47,Miscellaneous Other,Berteau & Clark to Lincoln,2012,210000,NA,NA,google
2,Miscellaneous-CDOT,black bench w & arms,2010,41400,NA,NA,google
2,Miscellaneous-CDOT,Black Benches w & arms,2010,77400,NA,NA,google
24,4 POD Cameras + LPR Existing Cameras: 1200 S Pulaski 1359 S Central Park; 1159 S Independence; 1559 S Homan,BLVD & W ROOSEVELT RD,2021,142988,41.8662648,-87.7172457,google
46,POD Camera,Broadway & Sheridan,2011,20000,41.9527392,-87.6496461,google
48,Miscellaneous-CDOT,Bryn Mawr Ave & @ Lake Shore Dr.,2008,11900,41.8127955,-87.5905131,google
39,Miscellaneous-CDOT,Byron Ave & 3900 N. Hamlin,2008,38700,41.9521235,-87.722921,google
2,POD Camera,California & Madison,2007,12000,41.8810767,-87.696312,google
26,POD Camera,Campbell & Hirsch,2009,20000,41.9066348,-87.6895671,google
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2008,875,41.8958689,-87.6794905,google
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,41.8958689,-87.6794905,google
32,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,41.8958689,-87.6794905,google
25,POD Camera,Claremont & Taylor,2007,28000,41.8689858,-87.6848678,google
49,Miscellaneous-CDOT,Clark & Farwell,2008,2600,42.0065532,-87.6733974,google
49,LED Traffic Signal Upgrades & Pedestrian Countdown Signal  N,CLARK ST & W JARVIS AVE,2019,5121.52,42.01590309000005,-87.67518481599996,census
42,Miscellaneous-CDOT,Clinton St. & Randolph St,2008,1000,41.88444071400005,-87.64126902699996,census
1,Miscellaneous-CDOT,Clybourn & Leavitt to Hoyne-alley apron change orde,2011,1488,41.9802412,-87.9089846,google
1,Miscellaneous-CDOT,Clybourn at Barry & Oakley,2011,800,41.9376834,-87.6855935,google
2,Miscellaneous Other,Congress Pkwy - Michigan & Wells,2012,117050,41.8989026,-87.6342911,google
26,POD Camera,Cortland & Drake,2009,20000,41.9154826,-87.7150882,google
26,POD Camera,Cortland & Lawndale,2009,20000,41.915425,-87.7191519,google
24,Miscellaneous-CDOT,"Cullerton, 21 st, Kildare & Kostner",2009,57450,41.8114214,-87.7311988,google
15,Miscellaneous-CDOT,Damen & Wood (both 58 th to 59 th),2010,14875,41.7865137,-87.6834119,google
42,Miscellaneous-CDOT,Dearborn & Walton,2007,50900,41.8998118,-87.6298667,google
23,Miscellaneous-CDOT,Diagonal Parking-Archer & Kolin,2006,25000,41.800396,-87.7319311,google
33,Miscellaneous-CDOT,Diagonal Pkg & 3200 Francisco,2006,21339,41.9393968,-87.7002628,google
31,Miscellaneous-CDOT,Diversey-Long-Linder-Luna & Central Ave,2005,21600,41.931282,-87.761429,google
4,Chicago Park District,Donoghue Park & Lake Park,2005,69439,41.8171683,-87.5990723,google
26,POD Camera,Drake & Wabansia - SW corner,2009,37000,41.9114794,-87.744098,google
10,Sidewalk Menu,E 102 ND ST & S ACCESS RD,2021,105488.58,41.7106144,-87.5286874,google
10,In-Road State Law Stop,E 105 TH ST & S EWING AVE,2014,600,41.70456683500004,-87.53528469699995,census
9,Curb & Gutter Menu,E 105 TH ST & S FOREST AVE,2020,13725.07,41.70363020100007,-87.61610453199995,census
10,In-Road State Law Stop,E 106 TH ST & S AVENUE E,2014,350,41.70270160700005,-87.52923878599995,census
10,POD Camera,E 107 & S Hoxie,2006,36000,41.700965016000055,-87.56078284199998,census
10,Sidewalk Menu,E 108 TH ST & S AVENUE O,2021,4941.84,41.6991465,-87.5400742,google
10,Concrete Alley Menu,E 111 TH ST & S AVENUE G,2020,6333.33333333333,41.6936578,-87.5316555,google
10,Concrete Alley Menu,E 112 TH ST & S,2020,6333.33333333333,41.6909269,-87.6121083,google
9,Traffic Signals,E 115 ST & S STATE ST,2009,6500,41.685332,-87.6228752,google
9,Traffic Signal LED Upgrade Menu,E 115 TH ST & S COTTAGE GROVE AVE,2017,28000,41.6854391,-87.6110742,google
9,Bollard Menu,E 115 TH ST & S DR MARTIN LUTHER KING JR DR,2020,10671.16,41.6854158,-87.6131731,google
10,Street Light Upgrade Menu,E 116 TH ST & S AVENUE G,2021,1000,41.6845734,-87.5316364,google
10,Miscellaneous-CDOT,E 117 ST & S AVENUE O,2006,100000,41.6827742,-87.5400498,google
34,Traffic Signal,E 122 ND ST & S ASHLAND AVE,2012,11400,41.6720642,-87.6611999,google
2,Traffic Signals,E 13 ST & S MICHIGAN AV,2007,165000,41.8657797,-87.6241641,google
10,Street Resurfacing Menu,E 130 TH ST & S BURLEY AVE,2021,24961.56,41.6589692,-87.5447772,google
10,POD Camera,E 134 & S Brandon,2006,36000,41.65185405200003,-87.54592131899994,census
4,Miscellaneous CDOT Projects,E 25 TH ST & S DR MARTIN LUTHER KING JR DR,2017,2100,41.8478295,-87.6173563,google
2,Pole Painting,E 31 ST & S INDIANA AV,2007,3800,41.8383557,-87.6219,google
2,Street Lighting,E 31 ST & S INDIANA AV,2007,2800,41.8383557,-87.6219,google
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 31 ST DR & S LSD 31 ST ST ER,2021,26356.4,41.8394083,-87.6841242,google
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 31 ST ST & S RHODES AVE,2021,26356.4,41.8384743,-87.6134772,google
3,Left-Turn Arrow Menu,E 31 ST ST & S STATE ST,2018,35000,41.8382962,-87.6265929,google
4,Street Resurface Menu(1-5),E 33 RD PLDR. MARTIN LUTHER KING JR. DR (403 E) & S RHODES AV (500 E),2011,56649,41.7802291,-87.6156063,google
4,Bus Pad,E 37 TH ST & S COTTAGE GROVE AVE,2014,614,41.8277237,-87.6088297,google
4,Street Resurfacing Menu,E 37 TH ST & S LAKE PARK AVE,2021,15975.57,41.828636638000035,-87.60630806599994,census
4,Arterial Street Bump Outs Menu,E 38 TH ST & S COTTAGE GROVE AVE,2019,80635.44,41.8260079,-87.607966,google
3,Sidewalk Menu,E 38 TH ST & S STATE ST (0 E)Dead End (48 E),2011,29267,41.881903,-87.6280033,google
3,Traffic Signal LED,E 41 ST ST & S WABASH AVE,2013,15921,41.8201164,-87.6247426,google
3,Street Resurface Menu,E 42 ND STDR. MARTIN LUTHER KING JR. DR (400 E) & S VINCENNES AV (515 E),2011,62079,NA,NA,google
3,Miscellaneous Other,E 43 RD ST & S DR MARTIN LUTHER KING JR DR E,2012,680,41.8166289,-87.6170508,google
3,Miscellaneous CDOT Projects,E 43 RD ST & S DR MARTIN LUTHER KING JR DR E,2019,1700,41.8166289,-87.6170508,google
4,Sidewalk Menu,E 43 RD ST & S GREENWOOD AVE,2022,8343.62666666667,41.8168942,-87.5994172,google
4,Miscellaneous CDOT Projects,E 43 RD ST & S OAKENWALD AVE,2021,660,41.81692,-87.5975169,google
4,Sidewalk Menu,E 43 RD ST & SLAKE PARK AVE,2022,8343.62666666667,41.8168878,-87.5988797,google
3,Street Lighting,E 43 ST & S MICHIGAN AV,2009,2000,41.8165393,-87.6230125,google
3,Street Bump Outs Menu,E 44 TH ST & S PRAIRIE AVE,2022,35920.07,41.8147551,-87.6197459,google
3,Traffic Signal LED,E 45 TH ST & S WABASH AVE,2013,15085,41.8130735,-87.6245657,google
4,Sidewalk Menu,E 47 TH DR & S LAKE PARK AVE,2019,30736.07,41.809686889000034,-87.59243141499996,census
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 47 TH DR & S LSD 47 TH ST ER,2021,26356.4,41.810323,-87.631046,google
4,Left-Turn Arrow Menu,E 47 TH ST & S LAKE PARK AVE,2016,167055,41.8096581,-87.5925004,google
4,Street Light Pole Painting Menu,E 47 TH ST & S LAKE PARK AVE,2019,3600,41.8096581,-87.5925004,google
4,Miscellaneous CDOT Projects,E 48 TH ST & S GREENWOOD AVE,2021,70103.26,41.8077863,-87.5992398,google
4,Miscellaneous CDOT Projects,E 48 TH ST & S GREENWOOD AVE,2022,19896.74,41.8077863,-87.5992398,google
4,Pedestrian Refuge Island,E 48 TH ST & S LAKE PARK AVE,2014,29170,41.8080975,-87.5905634,google
4,Miscellaneous CDOT Projects,E 49 TH ST & S KENWOOD AVE,2021,101658.78,41.806040851000034,-87.59353286399994,census
4,Arterial Street Bump Outs Menu,E 50 TH ST & S COTTAGE GROVE AVE,2019,61700,41.8040621,-87.606444,google
3,Sidewalk Menu,E 50 TH ST & S PRAIRIE AVE,2021,15284.77,41.8038706,-87.6194515,google
4,In-Road State Law Stop,E 53 RD ST & S KENWOOD AVE,2013,550,41.799484,-87.5925496,google
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 53 RD ST & S LAKE PARK AVE,2021,26356.4,41.7995763,-87.5873804,google
3,Traffic Signal LED,E 53 RD ST & S STATE ST,2013,19967,41.7981116,-87.6258481,google
3,Traffic Signal LED,E 53 RD ST & S WABASH AVE,2013,15085,41.7981509,-87.62418,google
5,In-Road State Law Stop,E 55 TH ST & S HARPER AVE,2013,550,41.79514695600005,-87.58843966699999,census
5,In-Road State Law Stop,E 55 TH ST & S HARPER AVE,2014,550,41.79514695600005,-87.58843966699999,census
5,In-Road State Law Stop,E 55 TH ST & S HARPER AVE,2015,350,41.79514695600005,-87.58843966699999,census
5,In-Road State Law Stop,E 55 TH ST & S KENWOOD AVE,2014,950,41.79511479700005,-87.59334794999995,census
5,In-Road State Law Stop,E 55 TH ST & S KENWOOD AVE,2015,350,41.79511479700005,-87.59334794999995,census
5,In-Road State Law Stop,E 55 TH ST & S KIMBARK AVE,2013,950,41.79509871800008,-87.59492374499996,census
5,In-Road State Law Stop,E 55 TH ST & S KIMBARK AVE,2014,950,41.79509871800008,-87.59492374499996,census
5,In-Road State Law Stop,E 55 TH ST & S KIMBARK AVE,2015,950,41.79509871800008,-87.59492374499996,census
5,In-Road State Law Stop,E 55 TH ST & S UNIVERSITY AVE,2013,1100,41.7950436,-87.5980971,google
5,In-Road State Law Stop,E 55 TH ST & S UNIVERSITY AVE,2014,550,41.7950436,-87.5980971,google
5,In-Road State Law Stop,E 55 TH ST & S UNIVERSITY AVE,2015,350,41.7950436,-87.5980971,google
5,In-Road State Law Stop For Pedestrians Signs Menu,E 55 TH ST & S UNIVERSITY AVE,2016,350,41.7950436,-87.5980971,google
5,Street Lighting,E 56 TH ST & S LAKE PARK AVE,2011,1000,41.79335810600003,-87.58794120099998,census
5,Viaduct Improvement Menu,E 56 TH ST & S STONY ISLAND AVE,2016,51000,41.79338624600007,-87.58663473799999,census
20,Street Bump Outs Menu,E 56 TH ST & S WABASH AVE,2022,15000,41.7928606,-87.6240426,google
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 57 TH DR & S LAKE SHORE DR,2021,35747,41.792432,-87.5801558,google
20,Street Bump Outs Menu,E 58 TH ST & S DR MARTIN LUTHER KING JR DR,2021,8171.42,41.7893431,-87.6158365,google
20,Traffic Signals,E 59 TH ST & S WABASH AVE,2011,15000,41.7873864,-87.623895,google
5,Sidewalk Menu,E 61 ST ST & S HARPER AVE,2017,15050.76,41.78382695300007,-87.58812209599995,census
20,In-Road State Law Stop For Pedestrians Signs Menu,E 61 ST ST & S LANGLEY AVE,2018,600,41.7839977,-87.6084864,google
5,Street Speed Hump Menu,E 61 ST STDead End (1490 E) & S STONY ISLAND AV (1600 E),2011,3700,41.7509737,-87.5856714,google
5,Street Speed Hump Menu,E 62 ND STDead End (1497 E) & S STONY ISLAND AV (1600 E),2011,3700,47.5514926,-101.0020119,google
5,Street Speed Hump Menu,E 62 ST (6148 S) & S HARPER AV (6350 S),2011,3700,41.78367,-87.5878884,google
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 63 RD ST & E HAYES DR,2021,35747,41.7806111,-87.5864506,google
20,Street Traffic Circles Menu,E 64 ST & S RHODES AV,2005,15000,41.7784676,-87.611984,google
5,Traffic Signals,E 67 ST & S MARQUETTE RD,2009,17000,41.7732274,-87.5960435,google
5,Traffic Signals,E 67 ST & S SOUTH SHORE DR,2009,17000,41.773560161000034,-87.56680865299995,census
5,Traffic Signals,E 67 ST & S STONY ISLAND AV,2009,17000,41.7733326,-87.5862761,google
5,Miscellaneous Other,E 67 TH ST & S DORCHESTER AVE,2014,200000,41.772378314000036,-87.59114505099996,census
5,In-Road State Law Stop,E 67 TH ST & S ELLIS AVE,2015,600,41.77319033200007,-87.60090131799996,census
5,Sidewalk Menu,E 67 TH ST & S JEFFERY DR,2016,42396.95,41.77345966400003,-87.57648452199999,census
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 67 TH ST & S JEFFERY DR,2021,35747,41.77345966400003,-87.57648452199999,census
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 67 TH ST & S SOUTH SHORE DR,2021,35747,41.773560161000034,-87.56680865299995,census
5,Concrete Alley Menu,E 68 TH ST & S CHAPPEL AVE,2021,117280.125,41.7716459,-87.5752466,google
5,Street Lighting,E 68 TH ST & S CORNELL AVE,2011,500,41.7715124,-87.5859928,google
5,Street Lighting,E 69 TH ST & S STONY ISLAND AVE,2011,1000,41.7696833,-87.586218,google
5,Traffic Signal Upgrades,E 69 TH ST & S STONY ISLAND AVE,2016,14100,41.7696833,-87.586218,google
5,Traffic Signal Upgrades,E 69 TH ST & S STONY ISLAND AVE,2018,14780,41.7696833,-87.586218,google
5,Traffic Signals,E 71 ST & S COTTAGE GROVE AV,2005,49200,41.7658778,-87.6055763,google
5,Traffic Signals,E 71 ST & S COTTAGE GROVE AV,2005,60000,41.7658778,-87.6055763,google
5,Traffic Signals,E 71 ST & S SOUTH SHORE DR,2008,10500,41.7662783,-87.5628152,google
7,Traffic Signals,E 71 ST & S SOUTH SHORE DR,2008,10500,41.7662783,-87.5628152,google
6,2 POD CAMERA - 71st & Martin Luther King Dr,E 71 ST ST & S C HAM PL AIN AVE,2018,27011,41.7660006,-87.5926736,google
6,2 POD CAMERA - 71st & Martin Luther King Dr,E 71 ST ST & S DR MARTIN LUTHER KING JR DR,2018,27011,41.7657163,-87.6152534,google
6,In-Road State Law Stop,E 71 ST ST & S PRAIRIE AVE,2014,600,41.7656347,-87.6184531,google
6,In-Road State Law Stop,E 71 ST ST & S RHODES AVE,2014,600,41.7657712,-87.6116474,google
6,In-Road State Law Stop,E 71 ST ST & S WABASH AVE,2014,350,41.7655491,-87.6232946,google
7,Street Resurfacing Menu,E 73 RD PL & S EXCHANGE AVE,2017,12451.15,41.7616989,-87.5624089,google
5,Traffic Signals,E 75 ST & S STONY ISLAND AV,2009,17000,41.7587534,-87.5861335,google
6,Pedestrian Countdown Signal Menu,E 75 TH ST & S DR MARTIN LUTHER KING JR DR,2017,20000,41.7584054,-87.6151044,google
6,Pedestrian Countdown Signal Menu,E 75 TH ST & S DR MARTIN LUTHER KING JR DR,2018,5052,41.7584054,-87.6151044,google
6,In-Road State Law Stop,E 75 TH ST & S LANGLEY AVE,2014,600,41.7585371,-87.6078294,google
6,In-Road State Law Stop,E 75 TH ST & S PRAIRIE AVE,2014,600,41.7583455,-87.6182815,google
6,Diagonal Parking Menu,E 75 TH ST & S PRAIRIE AVE,2016,51343.88,41.7583455,-87.6182815,google
6,Diagonal Parking Menu,E 75 TH ST & S PRAIRIE AVE,2018,65000,41.7583455,-87.6182815,google
6,Floodlight Menu,E 75 TH ST & S PRAIRIE AVE,2021,697.26,41.7583455,-87.6182815,google
6,Floodlight Menu,E 75 TH ST & S PRAIRIE AVE,2022,252.74,41.7583455,-87.6182815,google
7,Traffic Signals,E 75 TH ST & S SOUTH SHORE DR,2011,15000,41.760592005000035,-87.55717700299994,census
7,Street Light Pole Painting,E 75 TH ST & S SOUTH SHORE DR,2014,1200,41.760592005000035,-87.55717700299994,census
7,Street Light Upgrade,E 75 TH ST & S SOUTH SHORE DR,2014,1600,41.760592005000035,-87.55717700299994,census
7,Street Light Upgrade,E 75 TH ST & S SOUTH SHORE DR,2014,1200,41.760592005000035,-87.55717700299994,census
8,Traffic Signals,E 79 ST & S STONY ISLAND AV,2005,26400,41.7514963,-87.58549,google
17,In-Road State Law Stop for Pedestrians S,E 79 TH ST & S ABERDEEN ST,2011,950,41.7505151,-87.6513187,google
6,In-Road State Law Stop,E 79 TH ST & S EBERHART AVE,2014,600,41.7511656,-87.6125046,google
7,Pavement Markings Menu,E 79 TH ST & S LAKE SHORE DR,2018,9500,41.7519825,-87.5480794,google
7,Speed Indicator Signs,E 79 TH ST & S LAKE SHORE DR,2018,10000,41.7519825,-87.5480794,google
6,Curb/Gutter Menu,E 80 TH STDR. MARTIN LUTHER KING JR. DR (400 E) & S EBERHART AV (500 E),2011,48302,41.7802291,-87.6156063,google
8,Street Bump Outs Menu,E 83 RD ST & S DORCHESTER AVE,2020,8579.14,41.7441355,-87.5904385,google
6,Miscellaneous Other,E 83 RD ST & S DR MARTIN LUTHER KING JR DR,2012,1166,41.7438142,-87.6147317,google
6,Miscellaneous Other,E 83 RD ST & S DR MARTIN LUTHER KING JR DR,2014,9402,41.7438142,-87.6147317,google
6,Pavement Markings,E 83 RD ST & S STATE ST,2013,7866,41.7436581,-87.6243226,google
6,Street Resurface Menu,E 84 TH STDR. MARTIN LUTHER KING JR. DR (400 E) & S RHODES AV (520 E),2011,101651,41.7802291,-87.6156063,google
10,Street Traffic Circle Menu,E 85 TH ST & S BUFFALO AVE,2019,7347,41.7411023,-87.5441845,google
8,Sidewalk Menu,E 86 TH STDead End (3224 E) & S CHAPPEL AV (2032 E),2011,3898,41.7448073,-87.5746385,google
8,Pole Painting,E 87 ST & S STONY ISLAND AV,2005,560,41.7369051,-87.5853095,google
8,Pole Painting,E 87 ST & S STONY ISLAND AV,2005,3600,41.7369051,-87.5853095,google
8,Street Lighting,E 87 ST & S STONY ISLAND AV,2005,1792,41.7369051,-87.5853095,google
8,Traffic Signals,E 87 ST & S STONY ISLAND AV,2005,18000,41.7369051,-87.5853095,google
8,Guardrail Menu,E 87 TH ST & S DOBSON AV (1028 E),2011,972,41.7367183,-87.5991482,google
10,High Definition Camera,E 87 TH ST & S LAKE SHORE DR,2013,22500,41.7374253,-87.5403844,google
7,Pavement Markings Menu,E 87 TH ST & S SAGINAW AVE,2020,11000,41.7372576,-87.5597454,google
6,Diagonal Parking Menu,E 87 TH ST & S VERNON AVE,2017,55176.59,41.736521,-87.6129071,google
6,Diagonal Parking Menu,E 87 TH ST & S VERNON AVE,2018,9764.21,41.736521,-87.6129071,google
10,In-Road State Law Stop,E 93 RD ST & S BALTIMORE AVE,2014,350,41.7264394,-87.5483994,google
7,Bus Pad,E 93 RD ST & S COLFAX AVE,2019,25290.27,41.7262859,-87.5608156,google
7,In-Road State Law Stop,E 93 RD ST & S OGLESBY AVE,2013,550,41.7262078,-87.5669275,google
7,In-Road State Law Stop,E 93 RD ST & S OGLESBY AVE,2013,550,41.7262078,-87.5669275,google
7,Street Lighting,E 94 ST & S PAXTON AV,2008,44500,41.7243394,-87.5705142,google
7,Street Lighting,E 95 ST & S MANISTEE AV,2008,41000,41.72270456600006,-87.55660215899997,census
7,Traffic Signals,E 95 TH ST & S JEFFERY AVE,2011,13200,41.7224573,-87.5753501,google
10,POD Camera,E 96 & S Ave L,2006,36000,41.7213192,-87.5364976,google
10,Street Cul-de-Sac Menu,E 96 TH ST & S BALTIMORE AVE,2019,26950,41.7209815,-87.5483108,google
7,Sidewalk Menu,E 97 TH PL & S CHAPPEL AV (2032 E)Dead End (2077 E),2011,26482,41.7179515,-87.5740203,google
10,Sidewalk Menu,E 97 TH ST & S TORRENCE AVE,2021,36994.18,41.7190202,-87.5598359,google
10,POD Camera,E 98 & S Muskegon,2006,36000,41.7172776,-87.5551304,google
7,Street Resurfacing Menu,E 98 TH ST & S VAN VLISSINGEN RD,2016,9215.9,41.7170517,-87.5756739,google
8,Sidewalk Menu,E 98 TH ST & S WOODLAWN AV (1200 E)Dead End (1266 E),2011,44240,41.7167391,-87.5945983,google
42,Miscellaneous CDOT Projects,E BALBO AVE & S MICHIGAN AVE,2016,25740.05,41.8731616,-87.6241266,google
43,Traffic Signals,E BURTON PL & N LAKE SHORE DR,2011,10000,41.9095157,-87.6261552,google
2,In-Road State Law Stop,E CHESTNUT ST & N MICHIGAN AVE,2014,350,41.89838972300004,-87.62410008799998,census
42,In-Road State Law Stop,E CHESTNUT ST & N MICHIGAN AVE,2012,410,41.89838972300004,-87.62410008799998,census
42,In-Road State Law Stop,E CHESTNUT ST & N MIES VAN DER ROHE WAY,2013,550,41.89842188200004,-87.62185297099995,census
2,Miscellaneous CDOT Projects,E CHICAGO AVE & N LAKE SHORE DR,2018,15764.68,41.8968595,-87.6170809,google
2,Left-Turn Arrow Menu,E CHICAGO AVE & N MIES VAN DER ROHE WAY,2018,17183.81,41.8967727,-87.6218333,google
2,Left-Turn Arrow Menu,E CHICAGO AVE & N MIES VAN DER ROHE WAY,2019,2199.33,41.8967727,-87.6218333,google
2,Left-Turn Arrow Menu,E CHICAGO AVE & N MIES VAN DER ROHE WAY,2020,60412.22,41.8967727,-87.6218333,google
2,Street Bump Outs Menu,E DELAWARE PL & N MICHIGAN AVE,2020,22000,41.89921380000004,-87.62412420699997,census
