ward,type,location,year,est_cost,id,start_address,end_address,lat_1,lon_1,query_1,lat_2,lon_2,query_2
10,Sidewalk Menu,10730-10732 S MACKINAW AVE,2018,5180.5,8278,10730 S MACKINAW AVE,10732 S MACKINAW AVE,41.700341699000035,-87.54256696399995,census,41.70031061900005,-87.54256682799996,census
10,Sidewalk Menu,10954-10958 S AVENUE B,2018,20077,8284,10954 S AVENUE B,10958 S AVENUE B,41.69626028500005,-87.52580164499994,census,41.69619798800005,-87.52580210399998,census
10,Street Resurfacing Menu,10940-10959 S AVENUE J,2021,16272.62,8452,10940 S AVENUE J,10959 S AVENUE J,41.69651911200003,-87.53408205299996,census,41.69623753600007,-87.53406736799997,census
48,Sidewalk Menu,1101-1111 W ROSEMONT AVE,2018,10947.5,42010,1101 W ROSEMONT AVE,1111 W ROSEMONT AVE,41.99638105500003,-87.65931158099994,census,41.99638105500003,-87.65934817699997,census
48,Sidewalk Menu,1100-1112 W ROSEMONT AVE,2018,10947.5,42010,1100 W ROSEMONT AVE,1112 W ROSEMONT AVE,41.99640005900005,-87.65846209399996,census,41.99640005900005,-87.65853446299997,census
10,Concrete Alley Menu,11140-11156 S AVENUE F,2020,6333.33333333333,8365,11140 S AVENUE F,11156 S AVENUE F,41.692755102000035,-87.53050255699998,census,41.69255198700006,-87.53050118999994,census
24,Sidewalk Menu,1113-1123 S ST LOUIS AVE,2022,16357.81,21301,1113 S ST LOUIS AVE,1123 S ST LOUIS AVE,41.8677091,-87.7127965,google,41.8674673,-87.7127394,google
44,Street Light Upgrade Menu,1115-1135 W GEORGE ST,2019,1000,38802,1115 W GEORGE ST,1135 W GEORGE ST,41.93440103800003,-87.65699868199994,census,41.93438768900006,-87.65772220599996,census
44,Alley Resurfacing Menu,1115-1143 W PATTERSON AVE,2022,13924.14,38901,1115 W PATTERSON AVE,1143 W PATTERSON AVE,41.948076257000025,-87.65803790999996,census,41.94806652700004,-87.65838715499996,census
25,Sidewalk Menu,1141-1151 W WASHINGTON BLVD,2021,12379.97,22228,1141 W WASHINGTON BLVD,1151 W WASHINGTON BLVD,41.882995995000044,-87.65579937099994,census,41.88299357600005,-87.65593564199997,census
48,Sidewalk Menu,1140-1156 W BALMORAL AVE,2021,62332.08,42173,1140 W BALMORAL AVE,1156 W BALMORAL AVE,41.979987642000026,-87.65941785199999,census,41.97998559100006,-87.65955221199994,census
1,Sidewalk Menu,1100-1171 N MARSHFIELD AVE,2018,1949.34,812,1100 N MARSHFIELD AVE,1171 N MARSHFIELD AVE,41.90234635000007,-87.66870167799999,census,41.90298813000004,-87.66870228699997,census
9,Miscellaneous CDOT Projects,11914-11918 S LA SALLE ST,2022,187.5,7316,11914 S LA SALLE ST,11918 S LA SALLE ST,41.67725180100007,-87.62627844499997,census,41.67720829700005,-87.62627722699995,census
48,Curb & Gutter Menu,1205-1209 W BRYN MAWR AVE,2018,25281.72,41990,1205 W BRYN MAWR AVE,1209 W BRYN MAWR AVE,41.98361218900004,-87.66049812999995,census,41.983610388000045,-87.66068723599994,census
48,Sidewalk Menu,1200-1210 W NORWOOD ST,2018,25055.5,42008,1200 W NORWOOD ST,1210 W NORWOOD ST,41.991816947000075,-87.66133079599996,census,41.99181467900007,-87.66150900999997,census
26,Alley Resurfacing Menu,1201-1225 N CALIFORNIA AVE,2019,20012.845,22946,1201 N CALIFORNIA AVE,1225 N CALIFORNIA AVE,41.90319,-87.6964859,google,41.90373631400007,-87.69688997599997,census
48,Curb & Gutter Menu,1214-1230 W NORWOOD ST,2019,8902.85,42068,1214 W NORWOOD ST,1230 W NORWOOD ST,41.99181377300005,-87.66158029599995,census,41.991810145000045,-87.66186543799995,census
34,Sidewalk Menu,12200-12300 S ADA ST,2016,82292.92,30164,12200 S ADA ST,12300 S ADA ST,41.67201639100006,-87.65512408299998,census,41.67015337300006,-87.65505959099994,census
34,Sidewalk Menu,12200-12300 S SANGAMON ST,2017,41176.21,30209,12200 S SANGAMON ST,12300 S SANGAMON ST,41.672161420000066,-87.64537983299994,census,41.66994034800007,-87.64530847099996,census
49,Sidewalk Menu,1226-1232 W SHERWIN AVE,2018,6762.4,42864,1226 W SHERWIN AVE,1232 W SHERWIN AVE,42.015051268000036,-87.66336541499999,census,42.01505080800007,-87.66339734099995,census
25,Miscellaneous-CDOT,1200-1234 W 18 th St - Racine to Allport on North side,2008,15004,21527,1200 W 18 th St - Racine to Allport on North side,1234 W 18 th St - Racine to Allport on North side,NA,NA,census,NA,NA,census
24,Sidewalk Menu,1217-1237 S HOMAN AVE,2021,35807.1,21249,1217 S HOMAN AVE,1237 S HOMAN AVE,41.903110938000054,-87.71167556399996,census,41.86558285600006,-87.71051006299996,census
44,Curb & Gutter Menu,1245-1253 W CORNELIA AVE,2021,47480.46,38862,1245 W CORNELIA AVE,1253 W CORNELIA AVE,41.94529974400007,-87.66022934699998,census,41.945297448000076,-87.66039556499999,census
48,Curb & Gutter Menu,1255-1259 W BALMORAL AVE,2018,17909.87,41991,1255 W BALMORAL AVE,1259 W BALMORAL AVE,41.97996173400003,-87.66033195899996,census,41.97996128800003,-87.66035511299998,census
9,Sidewalk Menu,125-129 E 87TH ST,2020,20248.5,7254,125 E 87TH ST,129 E 87TH ST,41.736409285000036,-87.62052273299997,census,41.736410222000075,-87.62046603499994,census
10,Sidewalk Menu,12944-12954 S MUSKEGON AVE,2018,18568,8279,12944 S MUSKEGON AVE,12954 S MUSKEGON AVE,41.66041080000008,-87.55441966199999,census,41.66029744000008,-87.55442013799995,census
16,Sidewalk Menu,1300-1302 W 64TH ST,2017,1468.75,14528,1300 W 64TH ST,1302 W 64TH ST,41.7779293,-87.6571344,google,41.7779763,-87.6571745,google
48,Curb & Gutter Menu,1300-1314 W ROSEMONT AVE,2019,30286.75,42053,1300 W ROSEMONT AVE,1314 W ROSEMONT AVE,41.99635905200006,-87.66301211799998,census,41.996351279000066,-87.66360701299999,census
48,Curb & Gutter Menu,1301-1321 W HOOD AVE,2022,35364.6,42223,1301 W HOOD AVE,1321 W HOOD AVE,41.99358439400004,-87.66360477299997,census,41.993581024000036,-87.66390214199998,census
44,Curb & Gutter Menu,1309-1321 W NEWPORT AVE,2020,28576.61,38817,1309 W NEWPORT AVE,1321 W NEWPORT AVE,41.94435926400007,-87.66178801299998,census,41.94435618400007,-87.66197282999997,census
48,Curb & Gutter Menu,1322-1324 W HOLLYWOOD AVE,2018,3978.1,41989,1322 W HOLLYWOOD AVE,1324 W HOLLYWOOD AVE,41.98551059000005,-87.66449503599995,census,41.985510359000045,-87.66450702599997,census
10,Sidewalk Menu,13229-13249 S BRAINARD AVE,2019,26820,8343,13229 S BRAINARD AVE,13249 S BRAINARD AVE,41.65432879400004,-87.55352960999994,census,41.65397871400006,-87.55307916999999,census
26,Sidewalk Menu,1322-1330 N AVERS AVE,2017,14865.52,22883,1322 N AVERS AVE,1330 N AVERS AVE,41.863896123000075,-87.72145320599998,census,41.86376837100005,-87.72144946299994,census
3,Sidewalk Menu,1240-1330 S STATE ST,2019,33179.48,3027,1240 S STATE ST,1330 S STATE ST,41.86625487600003,-87.62748378299995,census,41.86516447400004,-87.62746498899998,census
3,Sidewalk Menu,1240-1330 S STATE ST,2019,6300,3032,1240 S STATE ST,1330 S STATE ST,41.86625487600003,-87.62748378299995,census,41.86516447400004,-87.62746498899998,census
24,Miscellaneous CDOT Projects,1301-1331 S KEDVALE AVE,2022,450,21292,1301 S KEDVALE AVE,1331 S KEDVALE AVE,41.86414743300003,-87.72877141199996,census,41.86367918500008,-87.72875924899995,census
24,Sidewalk Menu,1326-1336 S KOSTNER AVE,2022,31038.72,21302,1326 S KOSTNER AVE,1336 S KOSTNER AVE,41.8633402,-87.7352267,google,41.86366700200006,-87.73489699399994,census
48,Curb & Gutter Menu,1331-1339 W ELMDALE AVE,2017,1557.32,41899,1331 W ELMDALE AVE,1339 W ELMDALE AVE,41.990873212000054,-87.66354563899995,census,41.99087091300004,-87.66371295699997,census
48,Curb & Gutter Menu,1331-1339 W ELMDALE AVE,2018,12195.19,41992,1331 W ELMDALE AVE,1339 W ELMDALE AVE,41.990873212000054,-87.66354563899995,census,41.99087091300004,-87.66371295699997,census
20,Miscellaneous CDOT Projects,1340-1342 W 50TH ST,2021,150,17492,1340 W 50TH ST,1342 W 50TH ST,41.803226503000076,-87.65886495799998,census,41.803226239000026,-87.65888081699995,census
20,Miscellaneous CDOT Projects,1340-1342 W 50TH ST,2022,150,17520,1340 W 50TH ST,1342 W 50TH ST,41.803226503000076,-87.65886495799998,census,41.803226239000026,-87.65888081699995,census
48,Alley Resurfacing Menu,1333-1343 W NORWOOD ST,2018,3973.71,41974,1333 W NORWOOD ST,1343 W NORWOOD ST,41.99177665700006,-87.66368298799995,census,41.99177452300006,-87.66386120499999,census
10,Sidewalk Menu,13425-13433 S HOUSTON AVE,2016,11304.75,8194,13425 S HOUSTON AVE,13433 S HOUSTON AVE,41.651451198000075,-87.54838276299995,census,41.651353553000035,-87.54838322099994,census
10,Sidewalk Menu,13501-13509 S BRANDON AVE,2022,44253.87,8507,13501 S BRANDON AVE,13509 S BRANDON AVE,41.64996036300005,-87.54591800199995,census,41.64975152400007,-87.54591800199995,census
10,Sidewalk Menu,13532-13536 S MACKINAW AVE,2022,14191.03,8508,13532 S MACKINAW AVE,13536 S MACKINAW AVE,41.64954083500004,-87.54231644399994,census,41.64949397700008,-87.54231710399995,census
48,Curb & Gutter Menu,1350-1358 W ELMDALE AVE,2019,20032.67,42056,1350 W ELMDALE AVE,1358 W ELMDALE AVE,41.99087457500008,-87.66424471099998,census,41.990872919000026,-87.66436527799999,census
24,Sidewalk Menu,1344-1360 S KOMENSKY AVE,2022,12328.47,21303,1344 S KOMENSKY AVE,1360 S KOMENSKY AVE,41.86348048900004,-87.72631898299994,census,41.86324454100003,-87.72631204299995,census
29,Street Light Pole for High Definition Camera Menu,1300-1400 N MAYFIELD AVE,2022,3000,25577,1300 N MAYFIELD AVE,1400 N MAYFIELD AVE,41.90399363100005,-87.77300489399994,census,41.90580660100005,-87.77306519199999,census
26,Sidewalk Menu,1400-1402 N AVERS AVE,2016,9231.82,22823,1400 N AVERS AVE,1402 N AVERS AVE,41.86199675900008,-87.72139756499996,census,41.90648837400005,-87.72277339999994,census
48,Curb & Gutter Menu,1400-1402 W HOOD AVE,2022,4454.5,42225,1400 W HOOD AVE,1402 W HOOD AVE,41.993572467000035,-87.66544666099998,census,41.993572122000046,-87.66548842599997,census
48,Curb & Gutter Menu,1401-1403 W HOOD AVE,2018,15932.02,41986,1401 W HOOD AVE,1403 W HOOD AVE,41.99356150300008,-87.66544649699995,census,41.993561158000034,-87.66548826199994,census
48,Curb & Gutter Menu,1401-1403 W HOOD AVE,2018,2049.24,41996,1401 W HOOD AVE,1403 W HOOD AVE,41.99356150300008,-87.66544649699995,census,41.993561158000034,-87.66548826199994,census
48,Curb & Gutter Menu,1400-1408 W ROSEMONT AVE,2019,9027.96,42054,1400 W ROSEMONT AVE,1408 W ROSEMONT AVE,41.996440258000064,-87.66538529599995,census,41.996440258000064,-87.66568051599995,census
49,Sidewalk Menu,1412-1418 W ARTHUR AVE,2017,9007.09,42790,1412 W ARTHUR AVE,1418 W ARTHUR AVE,41.999962717000074,-87.66645776599995,census,41.99996141400004,-87.66656635799995,census
32,Curb & Gutter Menu,1405-1419 W DIVERSEY PKWY,2020,70000,28565,1405 W DIVERSEY PKWY,1419 W DIVERSEY PKWY,41.932472433000044,-87.66383160299995,census,41.932462617000056,-87.66442055799996,census
19,Street Light Pole for High Definition Camera Menu,1404-1421 W 103RD ST,2022,3000,16850,1404 W 103RD ST,1421 W 103RD ST,41.70676092800005,-87.65817985199999,census,41.706737417000056,-87.65892167099997,census
1,Curb/Gutter Menu - Change Order,1420-8 N. Bell,2010,5967,352,1420 N. Bell,1428 N. Bell,41.9073946,-87.6837894,google,41.90731088000007,-87.68348680499997,census
3,Sidewalk Menu,1406-1444 S PRAIRIE AVE,2019,6835.92,3022,1406 S PRAIRIE AVE,1444 S PRAIRIE AVE,41.8639837,-87.6215931,google,41.86335253900006,-87.62135414699998,census
48,Sidewalk Menu,1443-1445 W RASCHER AVE,2018,10557,42006,1443 W RASCHER AVE,1445 W RASCHER AVE,41.98078201000004,-87.66647364599999,census,41.980780957000036,-87.66654190699995,census
1,Sidewalk Menu,1455-1459 N FAIRFIELD AVE,2016,5836.88,688,1455 N FAIRFIELD AVE,1459 N FAIRFIELD AVE,41.9081307,-87.6955098,google,41.90806076000007,-87.69569955899999,census
44,Curb & Gutter Menu,1445-1461 W BYRON ST,2021,35021.05,38863,1445 W BYRON ST,1461 W BYRON ST,41.952505184000074,-87.66602957699996,census,41.95249943300007,-87.66640896199993,census
26,Sidewalk Menu,1461-1465 N KEDVALE AVE,2020,24910.58,23043,1461 N KEDVALE AVE,1465 N KEDVALE AVE,41.9079848,-87.7298465,google,41.90842766700007,-87.73014388599995,census
26,Alley Resurfacing Menu (1-1),1458-1500 N KARLOV AVE,2020,13319.595,23012,1458 N KARLOV AVE,1500 N KARLOV AVE,41.86141413300004,-87.72747967499998,census,41.90846251700003,-87.72893177199995,census
17,Street Speed Hump Menu,1400-1500 W 72ND PL,2017,1850,15215,1400 W 72ND PL,1500 W 72ND PL,41.7624362,-87.6590956,google,41.76221249900004,-87.66220489599993,census
48,Curb & Gutter Menu,1501-1503 W ROSEMONT AVE,2018,2620.92,41993,1501 W ROSEMONT AVE,1503 W ROSEMONT AVE,41.99641201700007,-87.66793013199998,census,41.99641153400006,-87.66798909799996,census
26,Sidewalk Menu,1503-1507 N KEDVALE AVE,2021,6434.89,23117,1503 N KEDVALE AVE,1507 N KEDVALE AVE,41.9082723,-87.7298631,google,41.90856662400006,-87.73014798399998,census
49,Sidewalk Menu,1510-1512 W ALBION AVE,2015,26533,42670,1510 W ALBION AVE,1512 W ALBION AVE,42.001748862000056,-87.66937566199994,census,42.001748690000056,-87.66938599799994,census
1,Sidewalk Menu,1501-1519 W FRY ST,2022,54549.4,1009,1501 W FRY ST,1519 W FRY ST,41.89697164100005,-87.66507627499999,census,41.896949481000036,-87.66561409999997,census
1,Sidewalk Menu,1500-1522 N MAPLEWOOD AVE,2022,19773.85,1008,1500 N MAPLEWOOD AVE,1522 N MAPLEWOOD AVE,41.9086152,-87.6910692,google,41.90881273700006,-87.69087310599997,census
20,Miscellaneous CDOT Projects,1506-1522 W 51ST ST,2021,600,17493,1506 W 51ST ST,1522 W 51ST ST,41.8016262,-87.6626489,google,41.80134428100007,-87.66324080499999,census
40,Sidewalk Menu,1514-1528 W ARTHUR AVE,2020,8829.13,35384,1514 W ARTHUR AVE,1528 W ARTHUR AVE,41.99993703000007,-87.66865357399996,census,41.99993033900006,-87.66917026999994,census
3,Sidewalk Menu,145-153 W SWANN ST,2018,24726.84,2988,145 W SWANN ST,153 W SWANN ST,41.80991309500007,-87.62983723599996,census,41.809911585000066,-87.62991275099995,census
1,Sidewalk Menu,1528-1531 N TALMAN AVE,2019,3817.67,884,1528 N TALMAN AVE,1531 N TALMAN AVE,41.909182384000076,-87.69330276999995,census,41.90922815600004,-87.69328908099999,census
3,Alley Speed Hump Menu,1474-1532 S MICHIGAN AVE,2018,4200,2967,1474 S MICHIGAN AVE,1532 S MICHIGAN AVE,41.8618732,-87.6244779,google,41.86110165900004,-87.62401539799998,census
27,Alley Resurfacing Menu,1500-1541 N WELLS ST,2018,26746.13,23828,1500 N WELLS ST,1541 N WELLS ST,41.90941556400003,-87.63465861299994,census,41.909984175000034,-87.63466260699994,census
1,Sidewalk Menu,1539-1541 W WALTON ST,2019,3931.72,885,1539 W WALTON ST,1541 W WALTON ST,41.89882385900006,-87.66570391999994,census,41.89882368700006,-87.66572365999997,census
49,Sidewalk Menu,1546-1547 W FARWELL AVE,2016,430.44,42737,1546 W FARWELL AVE,1547 W FARWELL AVE,42.006634716000065,-87.66935891499998,census,42.00662277200007,-87.66940671099997,census
49,Sidewalk Menu,1541-1549 W SHERWIN AVE,2016,1352.23,42748,1541 W SHERWIN AVE,1549 W SHERWIN AVE,42.014945503000035,-87.66901487499996,census,42.014943204000076,-87.66916428399998,census
49,Sidewalk Menu,1541-1549 W SHERWIN AVE,2017,5809.92,42793,1541 W SHERWIN AVE,1549 W SHERWIN AVE,42.014945503000035,-87.66901487499996,census,42.014943204000076,-87.66916428399998,census
26,Sidewalk Menu,1545-1553 N TRIPP AVE,2019,9116.38,22992,1545 N TRIPP AVE,1553 N TRIPP AVE,41.9090578,-87.7323638,google,41.909130083000036,-87.73261826699996,census
24,Curb & Gutter Menu,1538-1554 S TRUMBULL AVE,2022,18846.67,21290,1538 S TRUMBULL AVE,1554 S TRUMBULL AVE,41.860103382000034,-87.71158931599996,census,41.85985309400007,-87.71158198199998,census
24,Miscellaneous CDOT Projects,1557-1559 S CHRISTIANA AVE,2022,300,21294,1557 S CHRISTIANA AVE,1559 S CHRISTIANA AVE,41.85985142100003,-87.70912862799997,census,41.85981992400008,-87.70912782599999,census
43,Sidewalk Menu,1538-1600 N LAKE SHORE DR,2019,28900.83,37995,1538 N LAKE SHORE DR,1600 N LAKE SHORE DR,41.91016727400006,-87.62621742399995,census,41.85837871800004,-87.61445285399998,census
2,Miscellaneous-CDOT,1501-1600 W Adams ST,2008,1032,1334,1501 W Adams ST,1600 W Adams ST,41.87893287600008,-87.66447621699996,census,41.87890148900004,-87.66688537799996,census
24,Sidewalk Menu,1607-1609 S WASHTENAW AVE,2022,17259.98,21304,1607 S WASHTENAW AVE,1609 S WASHTENAW AVE,41.859173707000025,-87.69320646799997,census,41.859157390000064,-87.69320719299998,census
20,Pedestrian Countdown,1600-1612 W 48TH ST,2015,13532,17344,1600 W 48TH ST,1612 W 48TH ST,41.806773399000065,-87.66679172399995,census,41.806772712000054,-87.66685416199994,census
20,Traffic Signal- Two Way Conversion,1600-1612 W 48TH ST,2016,50544.59,17350,1600 W 48TH ST,1612 W 48TH ST,41.806773399000065,-87.66679172399995,census,41.806772712000054,-87.66685416199994,census
20,Traffic Signal- Two Way Conversion,1600-1612 W 48TH ST,2017,5377.92,17412,1600 W 48TH ST,1612 W 48TH ST,41.806773399000065,-87.66679172399995,census,41.806772712000054,-87.66685416199994,census
26,Sidewalk Menu,1645-1647 N KILDARE AVE,2016,3957.2,22822,1645 N KILDARE AVE,1647 N KILDARE AVE,41.910908034000045,-87.73367740899994,census,41.91093103900005,-87.73367810999997,census
40,Curb & Gutter Menu,1635-1667 W EDGEWATER AVE,2020,100000,35377,1635 W EDGEWATER AVE,1667 W EDGEWATER AVE,41.985907422000025,-87.67146860399998,census,41.98589419900003,-87.67217092699997,census
28,Miscellaneous CDOT Projects,16-17 S PULASKI RD,2019,3361.68176470588,24704,16 S PULASKI RD,17 S PULASKI RD,41.880184891000056,-87.72565622699994,census,41.88062075200003,-87.72565696099997,census
17,Miscellaneous CDOT Projects,1625-1703 W 74TH ST,2019,600,15280,1625 W 74TH ST,1703 W 74TH ST,41.75944539600005,-87.66423872699994,census,41.75941915400006,-87.66619586899998,census
7,Miscellaneous CDOT Projects,1701-1715 E 71ST ST,2021,26945.88,5717,1701 E 71ST ST,1715 E 71ST ST,41.76599893100007,-87.58350469299995,census,41.766003659000035,-87.58302249899998,census
26,Sidewalk Menu,1719-1721 N KEELER AVE,2016,2152.61,22826,1719 N KEELER AVE,1721 N KEELER AVE,41.912290606000056,-87.73127998599995,census,41.912347468000064,-87.73128198099994,census
26,Sidewalk Menu,1719-1721 N KEELER AVE,2017,333.17,22878,1719 N KEELER AVE,1721 N KEELER AVE,41.912290606000056,-87.73127998599995,census,41.912347468000064,-87.73128198099994,census
8,Sidewalk Menu,1738-1740 E 91ST PL,2016,12932.81,6363,1738 E 91ST PL,1740 E 91ST PL,41.72877199700008,-87.58197836899996,census,41.72877247800005,-87.58194811899995,census
32,Curb & Gutter Menu,1756-1758 W CORTLAND ST,2018,3357.6,28468,1756 W CORTLAND ST,1758 W CORTLAND ST,41.91604511600008,-87.67216769999999,census,41.916044645000056,-87.67218901199999,census
1,Sidewalk Menu,1757-1759 N TALMAN AVE,2016,6518.98,685,1757 N TALMAN AVE,1759 N TALMAN AVE,41.91310537100003,-87.69339241399996,census,41.91313659000008,-87.69339321799998,census
24,Floodlight Menu,1701-1759 S KOSTNER AVE,2021,1900,21240,1701 S KOSTNER AVE,1759 S KOSTNER AVE,41.85774016900007,-87.73469675799998,census,41.85727699000006,-87.73468148399996,census
8,Street Light Pole Painting Menu,1738-1810 E 73RD ST,2021,1000,6536,1738 E 73RD ST,1810 E 73RD ST,41.76245869500008,-87.58209397499996,census,41.762472993000074,-87.58067061799994,census
25,Curb & Gutter Menu,1800-1810 W 22ND PL,2018,10504.96,22111,1800 W 22ND PL,1810 W 22ND PL,41.851476853000065,-87.67104882699994,census,41.851474447000044,-87.67119560199995,census
1,Sidewalk Menu,1801-1811 N ALBANY AVE,2022,14637.07,1010,1801 N ALBANY AVE,1811 N ALBANY AVE,41.913918257000034,-87.70516154299997,census,41.914155797000035,-87.70516647699998,census
1,Sidewalk Menu,1813-1817 W ELLEN ST,2022,9284.24,1011,1813 W ELLEN ST,1817 W ELLEN ST,41.90552292500007,-87.67295861499997,census,41.90552024600004,-87.67309791299994,census
47,Curb & Gutter Menu,1827-1833 W ROSCOE ST,2021,33149.2,41283,1827 W ROSCOE ST,1833 W ROSCOE ST,41.94325889100003,-87.67487759899996,census,41.94325787900004,-87.67496395199998,census
25,Sidewalk Menu,1837-1839 S LAFLIN ST,2022,20515.6,22292,1837 S LAFLIN ST,1839 S LAFLIN ST,41.85663683400003,-87.66371962699998,census,41.85657211300003,-87.66371851099996,census
43,Curb & Gutter Menu,1822-1850 N DAYTON ST,2022,28499.89,38080,1822 N DAYTON ST,1850 N DAYTON ST,41.91440257800008,-87.64960259099996,census,41.91493225100004,-87.64962029999998,census
49,Sidewalk Menu,1911-1921 W MORSE AVE,2017,11091.5,42792,1911 W MORSE AVE,1921 W MORSE AVE,42.00768951200007,-87.67842362499994,census,42.00768561800004,-87.67863517299998,census
15,Alley Resurfacing Menu,1900-1928 W 59TH ST,2018,31055.35,13628,1900 W 59TH ST,1928 W 59TH ST,41.78666485800005,-87.67176501399996,census,41.78664831900005,-87.67301105199994,census
36,Curb & Gutter Menu,1922-1934 N LECLAIRE AVE,2018,16390.01,31971,1922 N LECLAIRE AVE,1934 N LECLAIRE AVE,41.91576601700007,-87.75288000099994,census,41.91591630800008,-87.75288623799997,census
26,Sidewalk Menu,1940-1950 N HARDING AVE,2019,4408.94,22991,1940 N HARDING AVE,1950 N HARDING AVE,41.91594064100008,-87.72530390399999,census,41.91605847100004,-87.72530763599997,census
32,Alley Resurfacing Menu,1934-1954 W ARMITAGE AVE,2019,8385.86,28517,1934 W ARMITAGE AVE,1954 W ARMITAGE AVE,41.91778451300007,-87.67656063299995,census,41.91777953800005,-87.67686155499996,census
28,Curb & Gutter Menu,120-198 S ST LOUIS AVE,2017,16551.98,24613,120 S ST LOUIS AVE,198 S ST LOUIS AVE,41.8788703,-87.7138276,google,41.878788918000055,-87.71354190499994,census
25,Sidewalk Menu,2008-2010 W 19TH ST,2019,12259.11,22141,2008 W 19TH ST,2010 W 19TH ST,41.855834714000025,-87.67630844099995,census,41.855834026000025,-87.67635040699997,census
49,Sidewalk Menu,2014-2108 W BIRCHWOOD AVE,2018,4319.79,42870,2014 W BIRCHWOOD AVE,2108 W BIRCHWOOD AVE,42.01793424400006,-87.68101665799998,census,42.017952353000055,-87.68311149999994,census
2,Sidewalk Menu,2125-2131 N LAKEWOOD AVE,2018,4608.07,2338,2125 N LAKEWOOD AVE,2131 N LAKEWOOD AVE,41.92022691500006,-87.66071515999994,census,41.92029948800007,-87.66071738399995,census
25,Street Resurfacing Menu (1-5),2100-2131 S TAN CT,2020,40376.815,22204,2100 S TAN CT,2131 S TAN CT,41.854375428000026,-87.63604626399996,census,41.855157451000025,-87.63445255299996,census
50,Street Resurfacing Menu,2125-2139 W LUNT AVE,2018,18969.84,43439,2125 W LUNT AVE,2139 W LUNT AVE,42.00884333100004,-87.68455316699999,census,42.00883285200007,-87.68480064399995,census
