ward,type,location,year,est_cost,id,lat,long,query
15,POD Camera,66 th & Maplewood,2009,13000,13307,41.7737415,-87.6871518,google
17,POD Camera,66 th & Sangamon,2008,24000,14912,41.7742337,-87.6482833,google
15,POD Camera,"67 th & Hoyne 2008 , 2009 , 2010 menu",2008,2197,13231,41.8545653,-87.6786332,google
15,POD Camera,"67 th & Hoyne 2008 ,2009 ,2010 Menu",2010,16418,13326,41.8545653,-87.6786332,google
15,POD Camera,67 th & Hoyne,2009,1385,13305,41.7711341,-87.6761391,google
17,POD Camera,69 th & Damen,2008,24000,14910,41.7684379,-87.673621,google
5,Miscellaneous-CDOT,69 th St. & S. Jeffery,2008,17539,4034,41.7697804,-87.576415,google
13,POD Camera,71 & Springfield,2007,24000,10584,41.764109,-87.7198555,google
17,POD Camera,73 rd & Wood,2008,24000,14909,41.761213,-87.6685886,google
17,POD Camera,78 th & Marshfield,2007,3026,14852,41.75215,-87.6646886,google
17,POD Camera,78 th & Marshfield,2008,943,14914,41.75215,-87.6646886,google
17,POD Camera,78 th & Marshfield,2009,14147,14945,41.75215,-87.6646886,google
17,POD Camera,78 th & Marshfield,2010,1885,14994,41.75215,-87.6646886,google
44,Acquisition,815 & 817 W Roscoe St,2005,65000,38136,41.9433669,-87.6501475,google
10,Miscellaneous-CDOT,87 th & Commercial,2007,39000,7714,41.737301,-87.551544,google
18,Miscellaneous-CDOT,87 th St. & Washtenaw,2008,7288,15597,41.7354663,-87.6896303,google
7,Miscellaneous-CDOT,93 rd & Oglesby(crosswalk) or along 93 rd (median),2010,4300,5330,41.726265,-87.56691,google
36,Miscellaneous-CDOT,Addison at Olcott & Osceola,2007,1600,31545,41.9831456,-87.8132427,google
33,POD Camera,Albany & Byron,2011,20000,28965,41.9521225,-87.7055106,google
31,POD Camera,Altgeld & Lavergne,2011,22500,27260,41.9260267,-87.7512731,google
26,POD Camera,Armitage & Monticello,2009,20000,22523,41.917263,-87.7179673,google
25,Miscellaneous Other,Arts & Culture,2013,140000,21942,NA,NA,google
25,Miscellaneous-CDOT,Ashland & 17 th,2010,29484,21695,41.8586898,-87.6661645,google
25,Miscellaneous-CDOT,Ashland & 18 th,2010,28933,21694,41.8578077,-87.6661364,google
2,POD Camera,Ashland & Washburne,2009,13000,1733,41.8659846,-87.6662804,google
31,POD Camera,Belden & Lawler,2011,20000,27256,41.9223267,-87.75239,google
44,Miscellaneous-CDOT,Belmont & Lake Shore,2009,33000,38212,41.9401237,-87.6395418,google
44,Miscellaneous-CDOT,Belmont & Orchard,2009,1000,38211,41.9400098,-87.6468192,google
44,POD Camera,Belmont & Sheffield,2006,24000,38154,41.9399129,-87.6541109,google
47,Miscellaneous Other,Berteau & Clark to Lincoln,2012,210000,40718,NA,NA,google
2,Miscellaneous-CDOT,black bench w & arms,2010,41400,1750,41.8901452,-87.6839869,google
2,Miscellaneous-CDOT,Black Benches w & arms,2010,77400,1746,41.8901452,-87.6839869,google
24,4 POD Cameras + LPR Existing Cameras: 1200 S Pulaski 1359 S Central Park; 1159 S Independence; 1559 S Homan,BLVD & W ROOSEVELT RD,2021,142988,21216,41.8662648,-87.7172457,google
46,POD Camera,Broadway & Sheridan,2011,20000,39936,41.9982024,-87.6604636,google
48,Miscellaneous-CDOT,Bryn Mawr Ave & @ Lake Shore Dr.,2008,11900,41560,NA,NA,google
39,Miscellaneous-CDOT,Byron Ave & 3900 N. Hamlin,2008,38700,34113,41.9521235,-87.722921,google
2,POD Camera,California & Madison,2007,12000,1311,41.8810767,-87.696312,google
26,POD Camera,Campbell & Hirsch,2009,20000,22525,41.9066348,-87.6895671,google
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2008,875,256,41.8958689,-87.6794905,google
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,331,41.8958689,-87.6794905,google
32,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,28066,41.8958689,-87.6794905,google
25,POD Camera,Claremont & Taylor,2007,28000,21512,41.8689858,-87.6848678,google
49,Miscellaneous-CDOT,Clark & Farwell,2008,2600,42378,42.0065532,-87.6733974,google
49,LED Traffic Signal Upgrades & Pedestrian Countdown Signal  N,CLARK ST & W JARVIS AVE,2019,5121.52,42904,42.0159056,-87.6751679,google
42,Miscellaneous-CDOT,Clinton St. & Randolph St,2008,1000,36460,41.88444071400005,-87.64126902699996,census
1,Miscellaneous-CDOT,Clybourn at Barry & Oakley,2011,800,399,41.9376834,-87.6855935,google
26,POD Camera,Cortland & Drake,2009,20000,22527,41.9154826,-87.7150882,google
26,POD Camera,Cortland & Lawndale,2009,20000,22526,41.915425,-87.7191519,google
24,Miscellaneous-CDOT,"Cullerton, 21 st, Kildare & Kostner",2009,57450,20817,41.8114214,-87.7311988,google
15,Miscellaneous-CDOT,Damen & Wood (both 58 th to 59 th),2010,14875,13310,41.7865137,-87.6834119,google
42,Miscellaneous-CDOT,Dearborn & Walton,2007,50900,36427,41.8998118,-87.6298667,google
33,Miscellaneous-CDOT,Diagonal Pkg & 3200 Francisco,2006,21339,28750,41.9393968,-87.7002628,google
31,Miscellaneous-CDOT,Diversey-Long-Linder-Luna & Central Ave,2005,21600,26803,41.931282,-87.761429,google
4,Chicago Park District,Donoghue Park & Lake Park,2005,69439,3248,41.8171683,-87.5990723,google
10,Sidewalk Menu,E 102ND ST & S ACCESS RD,2021,105488.58,8447,41.7106144,-87.5286874,google
10,In-Road State Law Stop,E 105TH ST & S EWING AVE,2014,600,8093,41.7045573,-87.5353018,google
9,Curb & Gutter Menu,E 105TH ST & S FOREST AVE,2020,13725.07,7251,41.7036365,-87.6160826,google
10,In-Road State Law Stop,E 106TH ST & S AVENUE E,2014,350,8094,41.7027128,-87.5292292,google
10,POD Camera,E 107 & S Hoxie,2006,36000,7677,41.700965016000055,-87.56078284199998,census
10,Sidewalk Menu,E 108TH ST & S AVENUE O,2021,4941.84,8448,41.6991465,-87.5400742,google
10,Concrete Alley Menu,E 111TH ST & S AVENUE G,2020,6333.33333333333,8365,41.6936578,-87.5316555,google
10,Concrete Alley Menu,E 112TH ST & S,2020,6333.33333333333,8365,41.6909269,-87.6121083,google
9,Traffic Signal LED Upgrade Menu,E 115TH ST & S COTTAGE GROVE AVE,2017,28000,7173,41.6854391,-87.6110742,google
9,Bollard Menu,E 115TH ST & S DR MARTIN LUTHER KING JR DR,2020,10671.16,7250,41.6854158,-87.6131731,google
9,Traffic Signals,E 115th ST & S STATE ST,2009,6500,6919,41.685332,-87.6228752,google
10,Street Light Upgrade Menu,E 116TH ST & S AVENUE G,2021,1000,8450,41.6845734,-87.5316364,google
10,Miscellaneous-CDOT,E 117th ST & S AVENUE O,2006,100000,7639,41.6827742,-87.5400498,google
34,Traffic Signal,E 122ND ST & S ASHLAND AVE,2012,11400,29969,41.6720642,-87.6611999,google
10,Street Resurfacing Menu,E 130TH ST & S BURLEY AVE,2021,24961.56,8453,41.6589692,-87.5447772,google
10,POD Camera,E 134 & S Brandon,2006,36000,7677,41.65185405200003,-87.54592131899994,census
2,Traffic Signals,E 13th ST & S MICHIGAN AV,2007,165000,1306,41.8657797,-87.6241641,google
4,Miscellaneous CDOT Projects,E 25TH ST & S DR MARTIN LUTHER KING JR DR,2017,2100,3657,41.8478295,-87.6173563,google
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 31ST DR & S LSD 31ST ST ER,2021,26356.4,3762,41.8127955,-87.5905131,google
2,Pole Painting,E 31st ST & S INDIANA AV,2007,3800,1170,41.8383557,-87.6219,google
2,Street Lighting,E 31st ST & S INDIANA AV,2007,2800,1248,41.8383557,-87.6219,google
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 31ST ST & S RHODES AVE,2021,26356.4,3762,41.8384743,-87.6134772,google
3,Left-Turn Arrow Menu,E 31ST ST & S STATE ST,2018,35000,2975,41.83830446700006,-87.62676929299994,census
4,Street Resurface Menu(1-5),E 33RD PL DR. MARTIN LUTHER KING JR. DR (403 E) & S RHODES AV (500 E),2011,56649,3408,41.7401979,-87.6113998,google
4,Bus Pad,E 37TH ST & S COTTAGE GROVE AVE,2014,614,3509,41.82772412300005,-87.60882451599997,census
4,Street Resurfacing Menu,E 37TH ST & S LAKE PARK AVE,2021,15975.57,3795,41.828636638000035,-87.60630806599994,census
4,Arterial Street Bump Outs Menu,E 38TH ST & S COTTAGE GROVE AVE,2019,80635.44,3726,41.826019691000056,-87.60794817999994,census
3,Sidewalk Menu,E 38TH ST & S STATE ST (0 E)Dead End (48 E),2011,29267,2729,41.881903,-87.6280033,google
3,Traffic Signal LED,E 41ST ST & S WABASH AVE,2013,15921,2825,41.8201164,-87.6247426,google
3,Street Resurface Menu,E 42ND ST DR. MARTIN LUTHER KING JR. DR (400 E) & S VINCENNES AV (515 E),2011,62079,2742,41.7231948,-87.6499699,google
3,Miscellaneous Other,E 43RD ST & S DR MARTIN LUTHER KING JR DR E,2012,680,2760,41.8166289,-87.6170508,google
3,Miscellaneous CDOT Projects,E 43RD ST & S DR MARTIN LUTHER KING JR DR E,2019,1700,3014,41.8166289,-87.6170508,google
4,Sidewalk Menu,E 43RD ST & S GREENWOOD AVE,2022,8343.62666666667,3825,41.8168942,-87.5994172,google
3,Street Lighting,E 43rd ST & S MICHIGAN AV,2009,2000,2686,41.8165393,-87.6230125,google
4,Miscellaneous CDOT Projects,E 43RD ST & S OAKENWALD AVE,2021,660,3781,41.816922686000055,-87.59750853299994,census
4,Sidewalk Menu,E 43RD ST & SLAKE PARK AVE,2022,8343.62666666667,3825,41.8168878,-87.5988797,google
3,Street Bump Outs Menu,E 44TH ST & S PRAIRIE AVE,2022,35920.07,3197,41.8147551,-87.6197459,google
3,Traffic Signal LED,E 45TH ST & S WABASH AVE,2013,15085,2823,41.8130735,-87.6245657,google
4,Sidewalk Menu,E 47TH DR & S LAKE PARK AVE,2019,30736.07,3728,41.809686889000034,-87.59243141499996,census
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 47TH DR & S LSD 47TH ST ER,2021,26356.4,3762,41.810323,-87.631046,google
4,Left-Turn Arrow Menu,E 47TH ST & S LAKE PARK AVE,2016,167055,3609,41.809686889000034,-87.59243141499996,census
4,Street Light Pole Painting Menu,E 47TH ST & S LAKE PARK AVE,2019,3600,3732,41.809686889000034,-87.59243141499996,census
4,Miscellaneous CDOT Projects,E 48TH ST & S GREENWOOD AVE,2021,70103.26,3782,41.807801562000066,-87.59922904499996,census
4,Miscellaneous CDOT Projects,E 48TH ST & S GREENWOOD AVE,2022,19896.74,3821,41.807801562000066,-87.59922904499996,census
4,Pedestrian Refuge Island,E 48TH ST & S LAKE PARK AVE,2014,29170,3514,41.808090994000054,-87.59065060499995,census
4,Miscellaneous CDOT Projects,E 49TH ST & S KENWOOD AVE,2021,101658.78,3783,41.806040851000034,-87.59353286399994,census
4,Arterial Street Bump Outs Menu,E 50TH ST & S COTTAGE GROVE AVE,2019,61700,3725,41.8031613,-87.6064268,google
3,Sidewalk Menu,E 50TH ST & S PRAIRIE AVE,2021,15284.77,3127,41.8038706,-87.6194515,google
4,In-Road State Law Stop,E 53RD ST & S KENWOOD AVE,2013,550,3462,41.799504514000034,-87.59256809099998,census
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 53RD ST & S LAKE PARK AVE,2021,26356.4,3762,41.79956481200003,-87.58730605899996,census
3,Traffic Signal LED,E 53RD ST & S STATE ST,2013,19967,2824,41.7981116,-87.6258481,google
3,Traffic Signal LED,E 53RD ST & S WABASH AVE,2013,15085,2822,41.7981509,-87.62418,google
5,In-Road State Law Stop,E 55TH ST & S HARPER AVE,2013,550,4210,41.7951353,-87.5884314,google
5,In-Road State Law Stop,E 55TH ST & S HARPER AVE,2014,550,4243,41.7951353,-87.5884314,google
5,In-Road State Law Stop,E 55TH ST & S HARPER AVE,2015,350,4281,41.7951353,-87.5884314,google
5,In-Road State Law Stop,E 55TH ST & S KENWOOD AVE,2014,950,4239,41.79511479700005,-87.59334794999995,census
5,In-Road State Law Stop,E 55TH ST & S KENWOOD AVE,2015,350,4284,41.79511479700005,-87.59334794999995,census
5,In-Road State Law Stop,E 55TH ST & S KIMBARK AVE,2013,950,4212,41.79509871800008,-87.59492374499996,census
5,In-Road State Law Stop,E 55TH ST & S KIMBARK AVE,2014,950,4242,41.79509871800008,-87.59492374499996,census
5,In-Road State Law Stop,E 55TH ST & S KIMBARK AVE,2015,950,4280,41.79509871800008,-87.59492374499996,census
5,In-Road State Law Stop,E 55TH ST & S UNIVERSITY AVE,2013,1100,4211,41.7950436,-87.5980971,google
5,In-Road State Law Stop,E 55TH ST & S UNIVERSITY AVE,2014,550,4244,41.7950436,-87.5980971,google
5,In-Road State Law Stop,E 55TH ST & S UNIVERSITY AVE,2015,350,4282,41.7950436,-87.5980971,google
5,In-Road State Law Stop For Pedestrians Signs Menu,E 55TH ST & S UNIVERSITY AVE,2016,350,4318,41.7950436,-87.5980971,google
5,Street Lighting,E 56TH ST & S LAKE PARK AVE,2011,1000,4149,41.79335810600003,-87.58794120099998,census
5,Viaduct Improvement Menu,E 56TH ST & S STONY ISLAND AVE,2016,51000,4345,41.7933865,-87.5866278,google
20,Street Bump Outs Menu,E 56TH ST & S WABASH AVE,2022,15000,17532,41.7928606,-87.6240426,google
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 57TH DR & S LAKE SHORE DR,2021,35747,4449,41.792432,-87.5801558,google
20,Street Bump Outs Menu,E 58TH ST & S DR MARTIN LUTHER KING JR DR,2021,8171.42,17497,41.7893431,-87.6158365,google
20,Traffic Signals,E 59TH ST & S WABASH AVE,2011,15000,17133,41.7873864,-87.623895,google
5,Sidewalk Menu,E 61ST ST & S HARPER AVE,2017,15050.76,4353,41.78382695300007,-87.58812209599995,census
20,In-Road State Law Stop For Pedestrians Signs Menu,E 61ST ST & S LANGLEY AVE,2018,600,17417,41.7839977,-87.6084864,google
5,Street Speed Hump Menu,E 61ST STDead End (1490 E) & S STONY ISLAND AV (1600 E),2011,3700,4193,41.7509737,-87.5856714,google
5,Street Speed Hump Menu,E 62nd ST (6148 S) & S HARPER AV (6350 S),2011,3700,4192,41.7822834,-87.6011125,google
5,Street Speed Hump Menu,E 62ND STDead End (1497 E) & S STONY ISLAND AV (1600 E),2011,3700,4191,41.7509737,-87.5856714,google
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 63RD ST & E HAYES DR,2021,35747,4449,41.7806111,-87.5864506,google
20,Street Traffic Circles Menu,E 64th ST & S RHODES AV,2005,15000,16899,41.77849256300004,-87.61197610799996,census
5,Miscellaneous Other,E 67TH ST & S DORCHESTER AVE,2014,200000,4267,41.772378314000036,-87.59114505099996,census
5,In-Road State Law Stop,E 67TH ST & S ELLIS AVE,2015,600,4283,41.77319033200007,-87.60090131799996,census
5,Sidewalk Menu,E 67TH ST & S JEFFERY DR,2016,42396.95,4322,41.77345966400003,-87.57648452199999,census
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 67TH ST & S JEFFERY DR,2021,35747,4449,41.77345966400003,-87.57648452199999,census
5,Traffic Signals,E 67th ST & S MARQUETTE RD,2009,17000,4116,41.77301345700005,-87.61304137799993,census
5,Traffic Signals,E 67th ST & S SOUTH SHORE DR,2009,17000,4115,41.773560161000034,-87.56680865299995,census
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 67TH ST & S SOUTH SHORE DR,2021,35747,4449,41.773560161000034,-87.56680865299995,census
5,Traffic Signals,E 67th ST & S STONY ISLAND AV,2009,17000,4114,41.7733326,-87.5862761,google
5,Concrete Alley Menu,E 68TH ST & S CHAPPEL AVE,2021,117280.125,4456,41.77164669500007,-87.57522227799996,census
5,Street Lighting,E 68TH ST & S CORNELL AVE,2011,500,4151,41.7715124,-87.5859928,google
5,Street Lighting,E 69TH ST & S STONY ISLAND AVE,2011,1000,4146,41.7696833,-87.586218,google
5,Traffic Signal Upgrades,E 69TH ST & S STONY ISLAND AVE,2016,14100,4344,41.7696833,-87.586218,google
5,Traffic Signal Upgrades,E 69TH ST & S STONY ISLAND AVE,2018,14780,4417,41.7696833,-87.586218,google
6,2 POD CAMERA - 71st & Martin Luther King Dr,E 71ST ST & S C HAM PL AIN AVE,2018,27011,4913,41.76581383800004,-87.60922248499998,census
5,Traffic Signals,E 71st ST & S COTTAGE GROVE AV,2005,49200,3881,41.7658778,-87.6055763,google
5,Traffic Signals,E 71st ST & S COTTAGE GROVE AV,2005,60000,3882,41.7658778,-87.6055763,google
6,2 POD CAMERA - 71st & Martin Luther King Dr,E 71ST ST & S DR MARTIN LUTHER KING JR DR,2018,27011,4913,41.7657163,-87.6152534,google
6,In-Road State Law Stop,E 71ST ST & S PRAIRIE AVE,2014,600,4812,41.7656347,-87.6184531,google
6,In-Road State Law Stop,E 71ST ST & S RHODES AVE,2014,600,4817,41.7657712,-87.6116474,google
5,Traffic Signals,E 71st ST & S SOUTH SHORE DR,2008,10500,4064,41.7662783,-87.5628152,google
7,Traffic Signals,E 71st ST & S SOUTH SHORE DR,2008,10500,5291,41.7662783,-87.5628152,google
6,In-Road State Law Stop,E 71ST ST & S WABASH AVE,2014,350,4819,41.7655491,-87.6232946,google
7,Street Resurfacing Menu,E 73RD PL & S EXCHANGE AVE,2017,12451.15,5589,41.7627078,-87.5633154,google
6,Pedestrian Countdown Signal Menu,E 75TH ST & S DR MARTIN LUTHER KING JR DR,2017,20000,4886,41.7584054,-87.6151044,google
6,Pedestrian Countdown Signal Menu,E 75TH ST & S DR MARTIN LUTHER KING JR DR,2018,5052,4914,41.7584054,-87.6151044,google
6,In-Road State Law Stop,E 75TH ST & S LANGLEY AVE,2014,600,4811,41.7585371,-87.6078294,google
6,In-Road State Law Stop,E 75TH ST & S PRAIRIE AVE,2014,600,4813,41.7583455,-87.6182815,google
6,Diagonal Parking Menu,E 75TH ST & S PRAIRIE AVE,2016,51343.88,4856,41.7583455,-87.6182815,google
6,Diagonal Parking Menu,E 75TH ST & S PRAIRIE AVE,2018,65000,4912,41.7583455,-87.6182815,google
6,Floodlight Menu,E 75TH ST & S PRAIRIE AVE,2021,697.26,4996,41.7583455,-87.6182815,google
6,Floodlight Menu,E 75TH ST & S PRAIRIE AVE,2022,252.74,5035,41.7583455,-87.6182815,google
7,Traffic Signals,E 75TH ST & S SOUTH SHORE DR,2011,15000,5373,41.760592005000035,-87.55717700299994,census
7,Street Light Pole Painting,E 75TH ST & S SOUTH SHORE DR,2014,1200,5506,41.760592005000035,-87.55717700299994,census
7,Street Light Upgrade,E 75TH ST & S SOUTH SHORE DR,2014,1600,5511,41.760592005000035,-87.55717700299994,census
7,Street Light Upgrade,E 75TH ST & S SOUTH SHORE DR,2014,1200,5512,41.760592005000035,-87.55717700299994,census
5,Traffic Signals,E 75th ST & S STONY ISLAND AV,2009,17000,4113,41.7587534,-87.5861335,google
17,In-Road State Law Stop for Pedestrians S,E 79TH ST & S ABERDEEN ST,2011,950,15003,41.7505151,-87.6513187,google
6,In-Road State Law Stop,E 79TH ST & S EBERHART AVE,2014,600,4815,41.75116134900003,-87.61249869299996,census
7,Pavement Markings Menu,E 79TH ST & S LAKE SHORE DR,2018,9500,5601,41.7519825,-87.5480794,google
7,Speed Indicator Signs,E 79TH ST & S LAKE SHORE DR,2018,10000,5602,41.7519825,-87.5480794,google
8,Traffic Signals,E 79th ST & S STONY ISLAND AV,2005,26400,5878,41.7514963,-87.58549,google
6,Curb/Gutter Menu,E 80TH ST DR. MARTIN LUTHER KING JR. DR (400 E) & S EBERHART AV (500 E),2011,48302,4772,NA,NA,google
8,Street Bump Outs Menu,E 83RD ST & S DORCHESTER AVE,2020,8579.14,6484,41.74414262600004,-87.59044961099994,census
6,Miscellaneous Other,E 83RD ST & S DR MARTIN LUTHER KING JR DR,2012,1166,4796,41.7438142,-87.6147317,google
6,Miscellaneous Other,E 83RD ST & S DR MARTIN LUTHER KING JR DR,2014,9402,4821,41.7438142,-87.6147317,google
6,Pavement Markings,E 83RD ST & S STATE ST,2013,7866,4801,41.7436581,-87.6243226,google
6,Street Resurface Menu,E 84TH ST DR. MARTIN LUTHER KING JR. DR (400 E) & S RHODES AV (520 E),2011,101651,4787,NA,NA,google
10,Street Traffic Circle Menu,E 85TH ST & S BUFFALO AVE,2019,7347,8358,41.74111565000004,-87.54419276699997,census
8,Sidewalk Menu,E 86TH STDead End (3224 E) & S CHAPPEL AV (2032 E),2011,3898,6159,41.7448073,-87.5746385,google
8,Guardrail Menu,E 87TH ST & S DOBSON AV (1028 E),2011,972,6151,41.7367183,-87.5991482,google
10,High Definition Camera,E 87TH ST & S LAKE SHORE DR,2013,22500,8082,41.7374253,-87.5403844,google
7,Pavement Markings Menu,E 87TH ST & S SAGINAW AVE,2020,11000,5689,41.7372576,-87.5597454,google
8,Pole Painting,E 87th ST & S STONY ISLAND AV,2005,560,5871,41.7369051,-87.5853095,google
8,Pole Painting,E 87th ST & S STONY ISLAND AV,2005,3600,5872,41.7369051,-87.5853095,google
8,Street Lighting,E 87th ST & S STONY ISLAND AV,2005,1792,5874,41.7369051,-87.5853095,google
8,Traffic Signals,E 87th ST & S STONY ISLAND AV,2005,18000,5877,41.7369051,-87.5853095,google
6,Diagonal Parking Menu,E 87TH ST & S VERNON AVE,2017,55176.59,4884,41.736521,-87.6129071,google
6,Diagonal Parking Menu,E 87TH ST & S VERNON AVE,2018,9764.21,4911,41.736521,-87.6129071,google
10,In-Road State Law Stop,E 93RD ST & S BALTIMORE AVE,2014,350,8092,41.72645512100007,-87.54840962899999,census
7,Bus Pad,E 93RD ST & S COLFAX AVE,2019,25290.27,5643,41.7262859,-87.5608156,google
7,In-Road State Law Stop,E 93RD ST & S OGLESBY AVE,2013,550,5446,41.7262078,-87.5669275,google
7,In-Road State Law Stop,E 93RD ST & S OGLESBY AVE,2013,550,5447,41.7262078,-87.5669275,google
7,Street Lighting,E 94th ST & S PAXTON AV,2008,44500,5281,41.72436478000003,-87.57052302899996,census
7,Traffic Signals,E 95TH ST & S JEFFERY AVE,2011,13200,5372,41.72247141300005,-87.57535493399996,census
7,Street Lighting,E 95th ST & S MANISTEE AV,2008,41000,5280,41.72270456600006,-87.55660215899997,census
10,POD Camera,E 96 & S Ave L,2006,36000,7677,41.721337805000076,-87.53649870299995,census
10,Street Cul-de-Sac Menu,E 96TH ST & S BALTIMORE AVE,2019,26950,8345,41.720976015000076,-87.54828903199996,census
7,Sidewalk Menu,E 97TH PL & S CHAPPEL AV (2032 E)Dead End (2077 E),2011,26482,5398,41.7179515,-87.5740203,google
10,Sidewalk Menu,E 97TH ST & S TORRENCE AVE,2021,36994.18,8449,41.7190202,-87.5598359,google
10,POD Camera,E 98 & S Muskegon,2006,36000,7677,41.7172776,-87.5551304,google
7,Street Resurfacing Menu,E 98TH ST & S VAN VLISSINGEN RD,2016,9215.9,5554,41.7170517,-87.5756739,google
8,Sidewalk Menu,E 98TH ST & S WOODLAWN AV (1200 E)Dead End (1266 E),2011,44240,6157,41.7167391,-87.5945983,google
42,Miscellaneous CDOT Projects,E BALBO AVE & S MICHIGAN AVE,2016,25740.05,36860,41.8731616,-87.6241266,google
43,Traffic Signals,E BURTON PL & N LAKE SHORE DR,2011,10000,37445,41.9095157,-87.6261552,google
2,In-Road State Law Stop,E CHESTNUT ST & N MICHIGAN AVE,2014,350,2131,41.89838972300004,-87.62410008799998,census
42,In-Road State Law Stop,E CHESTNUT ST & N MICHIGAN AVE,2012,410,36632,41.89838972300004,-87.62410008799998,census
42,In-Road State Law Stop,E CHESTNUT ST & N MIES VAN DER ROHE WAY,2013,550,36686,41.89842188200004,-87.62185297099995,census
2,Miscellaneous CDOT Projects,E CHICAGO AVE & N LAKE SHORE DR,2018,15764.68,2331,41.8968595,-87.6170809,google
2,Left-Turn Arrow Menu,E CHICAGO AVE & N MIES VAN DER ROHE WAY,2018,17183.81,2329,41.8967727,-87.6218333,google
2,Left-Turn Arrow Menu,E CHICAGO AVE & N MIES VAN DER ROHE WAY,2019,2199.33,2366,41.8967727,-87.6218333,google
2,Left-Turn Arrow Menu,E CHICAGO AVE & N MIES VAN DER ROHE WAY,2020,60412.22,2393,41.8967727,-87.6218333,google
