ward,type,location,year,est_cost,from_intersection,to_intersection,lat_from_intersection,lon_from_intersection,query_from_intersection,lat_to_intersection,lon_to_intersection,query_to_intersection
10,Sidewalk Menu,ON E 96 TH ST FROM S BALTIMORE AV (3105 E) TO Dead End (3152 E),2012,11715,E 96 TH ST and S BALTIMORE AV,3152 E 96 TH ST,41.7209815,-87.5483108,google,41.72098848600007,-87.54773867499995,census
22,Sidewalk Menu,ON S KOMENSKY AVE FROM W 32 ST (3200 S) TO Dead End (3225 S),2013,17429,S KOMENSKY AVE and W 32 ST,3225 S KOMENSKY AVE,41.83504835800005,-87.72552586599994,census,41.83464299600007,-87.72550837199998,census
20,Street Resurfacing Menu,ON W 58 TH ST FROM S PRINCETON AV (300 W) TO Dead End (329 W),2014,49213,W 58 TH ST and S PRINCETON AV,329 W 58 TH ST,41.7888536,-87.6328501,google,41.78882410500006,-87.63398007299998,census
9,Curb & Gutter Menu,ON W 101 ST PL FROM S PRINCETON AV (300 W) TO Dead End (350 W),2013,77738,W 101 ST PL and S PRINCETON AV,350 W 101 ST PL,41.7098123,-87.6307827,google,41.70980838300005,-87.63199140999996,census
18,Street Resurfacing Menu,ON W 85 TH PL FROM S CHRISTIANA AV (3337 W) TO Dead End (3545 W),2012,56769,W 85 TH PL and S CHRISTIANA AV,3545 W 85 TH PL,41.7379897,-87.7033865,google,41.73787095500006,-87.70981022799998,census
39,Curb & Gutter Menu,ON W GLENLAKE AVE FROM N LAWNDALE AV (3700 W) TO Dead End (3709 W),2013,10491,W GLENLAKE AVE and N LAWNDALE AV,3709 W GLENLAKE AVE,41.99195662100004,-87.72139744099997,census,41.99195113900004,-87.72148943999997,census
12,Sidewalk Menu,ON S HONORE ST FROM W 38 ST (3800 S) TO Dead End (3917 S),2013,2007,S HONORE ST and W 38 ST,3917 S HONORE ST,41.824958441000035,-87.67145838099998,census,41.8231985,-87.6714159,google
2,Street Resurfacing Menu,ON S SANGAMON ST FROM W JACKSON BV (300 S) TO Dead End (414 S),2012,135686,S SANGAMON ST and W JACKSON BV,414 S SANGAMON ST,41.8778903,-87.6507372,google,41.87649252800003,-87.65070300799994,census
45,Sidewalk Menu,ON N LIPPS AVE FROM W AINSLIE ST (4836 N) TO Dead End (4880 N),2013,53486,N LIPPS AVE and W AINSLIE ST,4880 N LIPPS AVE,41.96894678600006,-87.76022151299998,census,41.96931895500006,-87.76057015499998,census
9,Curb & Gutter Menu,ON E 99 TH PL FROM S STATE ST (0 E) TO Dead End (50 E),2012,48865,E 99 TH PL and S STATE ST,50 E 99 TH PL,41.7135313,-87.6236552,google,41.713568304000034,-87.62218722999995,census
4,Sidewalk Menu,ON S KIMBARK AVE FROM E 52 ST (5150 S) TO Dead End (5189 S),2013,28822,S KIMBARK AVE and E 52 ST,5189 S KIMBARK AVE,41.80093961400007,-87.59505640199995,census,41.80117953100006,-87.59505504399993,census
14,Sidewalk Menu,ON S LOTUS AVE FROM W 52 ST (5200 S) TO Dead End (5317 S),2013,842,S LOTUS AVE and W 52 ST,5317 S LOTUS AVE,41.79829452800004,-87.75879445299995,census,41.97864147000007,-87.76474851899997,census
23,Street Resurfacing Menu,ON S MASSASOIT AVE FROM S ARCHER AV (5348 S) TO Dead End (5375 S),2013,18966,S MASSASOIT AVE and S ARCHER AV,5375 S MASSASOIT AVE,41.7951267,-87.7659288,google,41.79584503800004,-87.76604762899996,census
14,Sidewalk Menu,ON S MASSASOIT AVE FROM W 53 ST (5300 S) TO Dead End (5375 S),2013,33100,S MASSASOIT AVE and W 53 ST,5375 S MASSASOIT AVE,41.79636498200006,-87.76607044899998,census,41.79584503800004,-87.76604762899996,census
4,Sidewalk Menu,ON S RIDGEWOOD CT FROM E 54 ST (5322 S) TO Dead End (5384 S),2012,11468,S RIDGEWOOD CT and E 54 ST,5384 S RIDGEWOOD CT,41.798037255000054,-87.59261230999994,census,41.7979094,-87.5925977,google
4,Street Light Upgrade,ON HARPER FROM E 53 ST (5242 S) TO Dead End (5430 S),2012,3850,HARPER and E 53 ST,5430 HARPER,41.7986283,-87.6039037,google,41.7970974,-87.5894237,google
23,Street Resurfacing Menu,ON W 56 TH ST FROM S PARKSIDE AV (5632 W) TO Dead End (5646 W),2012,27648,W 56 TH ST and S PARKSIDE AV,5646 W 56 TH ST,41.7908763,-87.7634589,google,41.79087953100003,-87.76383071799995,census
13,Street Resurfacing Menu,ON S RUTHERFORD AVE FROM W 59 ST (5900 S) TO Dead End (5916 S),2012,17640,S RUTHERFORD AVE and W 59 ST,5916 S RUTHERFORD AVE,41.784876144000066,-87.79008123699998,census,41.784342167000034,-87.79006985399997,census
36,Sidewalk Menu - Change Order,ON W BELDEN AVE FROM N NORMANDY AVE TO 6440 W Belden Ave,2008,166,W BELDEN AVE and N NORMANDY AVE,6440 W BELDEN AVE,41.921198564000065,-87.79233237299997,census,41.921856382000044,-87.78678942099998,census
36,Sidewalk Menu - Change Order,ON W BELDEN AVE FROM N NORMANDY AVE TO 6440 W Belden Ave,2010,279,W BELDEN AVE and N NORMANDY AVE,6440 W BELDEN AVE,41.921198564000065,-87.79233237299997,census,41.921856382000044,-87.78678942099998,census
36,Sidewalk Menu,ON W BELDEN AVE FROM N NORMANDY AVE TO 6440 W Belden Ave,2012,1965,W BELDEN AVE and N NORMANDY AVE,6440 W BELDEN AVE,41.921198564000065,-87.79233237299997,census,41.921856382000044,-87.78678942099998,census
25,Street Resurfacing Menu,ON W 24 TH ST FROM S CANAL ST (440 W) TO Dead End (74 W),2013,70135,W 24 TH ST and S CANAL ST,74 W 24 TH ST,41.8490599,-87.63842,google,41.84922094900003,-87.62896865699997,census
7,Street Resurfacing Menu,ON S PHILLIPS AVE FROM E 81 ST (8100 S) TO Dead End (8124 S),2013,47569,S PHILLIPS AVE and E 81 ST,8124 S PHILLIPS AVE,41.7480986,-87.5649613,google,41.74778916500003,-87.56496569499996,census
21,Curb & Gutter Menu,ON S YALE AVE FROM W 98 ST (9800 S) TO Dead End (8150 S),2012,19486,S YALE AVE and W 98 ST,8150 S YALE AVE,41.71619234900004,-87.62973596999996,census,41.74640017200005,-87.63055294499998,census
21,Sidewalk Menu,ON S NORMAL AVE FROM W 90 ST (9000 S) TO Dead End (9014 S),2012,29406,S NORMAL AVE and W 90 ST,9014 S NORMAL AVE,41.7308351,-87.6361714,google,41.730457425000054,-87.63617422199997,census
2,Street Light Pole Painting,ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST (832 W),2012,2400,ADAMS and S MORGAN ST,ADAMS and S GREEN ST,41.879142502000036,-87.65194986699998,census,41.87919878100007,-87.64844854599994,census
2,Street Light Upgrade,ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST (832 W),2012,3200,ADAMS and S MORGAN ST,ADAMS and S GREEN ST,41.879142502000036,-87.65194986699998,census,41.87919878100007,-87.64844854599994,census
2,Street Light Upgrade,ON ADAMS FROM S LEAVITT ST (2200 W) TO S SEELEY AV (2032 W),2012,1750,ADAMS and S LEAVITT ST,ADAMS and S SEELEY AV,41.878664136000054,-87.68146789999997,census,41.878736494000066,-87.67780176299999,census
12,Street Light Residential,ON ALBANY FROM W 24 ST (2400 S) TO W 26 ST (2600 S),2012,144000,ALBANY and W 24 ST,ALBANY and W 26 ST,41.848173290000034,-87.70269290499994,census,41.844555392000075,-87.70258034899996,census
33,Street Light Residential,ON ALBANY FROM W IRVING PARK RD (4000 N) TO W BERTEAU AV (4200 N),2012,144000,ALBANY and W IRVING PARK RD,ALBANY and W BERTEAU AV,41.95394054600007,-87.70557114499996,census,41.95756648500003,-87.70568370199999,census
35,Street Light Residential,ON ALBANY FROM W ARMITAGE AV (2000 N) TO W PALMER BV (2150 N),2012,96000,ALBANY and W ARMITAGE AV,ALBANY and W PALMER BV,41.91741987000006,-87.70520935499997,census,41.9206742,-87.7053041,google
44,Curb & Gutter Menu,ON ALDINE FROM N LAKE SHORE (W) DR(419 W) TO N BROADWAY (600 W),2012,2071,ALDINE and N LAKE SHORE  DR,ALDINE and N BROADWAY,41.942302,-87.63995,google,41.9418609,-87.6444556,google
43,Street Light Upgrade,ON ALTGELD FROM N SEMINARY AV (1100 W) TO N RACINE AV (1200 W),2012,1400,ALTGELD and N SEMINARY AV,ALTGELD and N RACINE AV,41.927152017000026,-87.65609035099999,census,41.92711181800007,-87.65851434299998,census
43,Curb & Gutter Menu,ON ALTGELD FROM N RACINE AV (1200 W) TO N SEMINARY AV (1100 W),2012,763,ALTGELD and N RACINE AV,ALTGELD and N SEMINARY AV,41.92711181800007,-87.65851434299998,census,41.927152017000026,-87.65609035099999,census
15,Street Light Residential,ON ARTESIAN FROM W 60 ST (6000 S) TO W 63 ST (6300 S),2012,192000,ARTESIAN and W 60 ST,ARTESIAN and W 63 ST,41.784719368000026,-87.68500540099996,census,41.779244282000036,-87.68486068499999,census
18,Street Light Residential,ON ARTESIAN FROM W 71 ST (7100 S) TO W 73 ST (7300 S),2012,94000,ARTESIAN and W 71 ST,ARTESIAN and W 73 ST,41.76468023000007,-87.68446673599999,census,41.76103419200007,-87.68436221899998,census
2,Traffic Equipment,ON ASHLAND FROM W MADISON ST (0 N) TO W ROOSEVELT RD (1200 S),2012,5450,ASHLAND and W MADISON ST,ASHLAND and W ROOSEVELT RD,41.881457958000055,-87.66685158999996,census,41.8667957,-87.666311,google
8,Street Light Residential,ON AVALON FROM E 85 ST (8500 S) TO E 87 ST (8700 S),2012,128000,AVALON and E 85 ST,AVALON and E 87 ST,41.7405855,-87.5828225,google,41.7370262,-87.5781371,google
2,Street Light Upgrade,ON BALBO FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E),2012,1600,BALBO and S STATE ST,BALBO and S MICHIGAN AV,41.873096592000024,-87.62748081299998,census,41.8731616,-87.6241266,google
44,Street Light Residential,ON BARRY FROM N LAKE SHORE (W) DR(320 W) TO N SHERIDAN RD (400 W),2013,36000,BARRY and N LAKE SHORE  DR,BARRY and N SHERIDAN RD,41.9377509,-87.6372735,google,41.93773236100003,-87.63946409699997,census
44,Miscellaneous Other,ON BELMONT FROM N SEMINARY AV (1100 W) TO N CLIFTON AV (1132 W),2012,2725,BELMONT and N SEMINARY AV,BELMONT and N CLIFTON AV,41.939874961000044,-87.65653655899996,census,41.93985888100008,-87.65775056499996,census
4,Street Light Pole Painting,ON BERKELEY FROM E 41 PL (4132 S) TO E 42 PL (4228 S),2012,800,BERKELEY and E 41 PL,BERKELEY and E 42 PL,41.81960395100003,-87.60156861899998,census,41.818016095000075,-87.60066012499999,census
34,Street Light Residential,ON BEVERLY FROM W 109 ST (10900 S) TO W 110 PL (11032 S),2012,160000,BEVERLY and W 109 ST,BEVERLY and W 110 PL,41.69590799700006,-87.64999620199995,census,41.69318653400006,-87.64862542099996,census
1,Street Light Upgrade,ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2104 N),2012,350,BINGHAM and W ARMITAGE AV,BINGHAM and W FRANCIS PL,41.917552526000065,-87.69043224899997,census,41.91970718600004,-87.69384111299996,census
44,Street Light Residential,ON BRIAR FROM N LAKE SHORE (W) DR(331 W) TO N SHERIDAN RD (400 W),2013,36000,BRIAR and N LAKE SHORE  DR,BRIAR and N SHERIDAN RD,41.9387923,-87.6378965,google,41.93876547200006,-87.63950027599998,census
12,Street Light Residential,ON BRIGHTON FROM S ARCHER AV (3984 S) TO W 40 PL (4050 S),2012,72000,BRIGHTON and S ARCHER AV,BRIGHTON and W 40 PL,41.821312403000036,-87.69247435199998,census,41.81960797100004,-87.69076991999998,census
18,Street Light Residential,ON CALIFORNIA FROM W 83 ST (8300 S) TO W 84 ST (8381 S),2012,72000,CALIFORNIA and W 83 ST,CALIFORNIA and W 84 ST,41.74265928700004,-87.69243013299996,census,NA,NA,google
18,Street Light Residential,ON CALIFORNIA FROM W 84 ST (8381 S) TO W 85 ST (8461 S),2012,72000,CALIFORNIA and W 84 ST,CALIFORNIA and W 85 ST,NA,NA,google,NA,NA,google
18,Street Light Residential,ON CALIFORNIA FROM W 85 ST (8500 S) TO W 86 ST (8614 S),2012,72000,CALIFORNIA and W 85 ST,CALIFORNIA and W 86 ST,NA,NA,google,41.73698722600005,-87.69228943699994,census
18,Street Light Residential,ON CALIFORNIA FROM W 86 ST (8614 S) TO W 87 ST (8700 S),2012,72000,CALIFORNIA and W 86 ST,CALIFORNIA and W 87 ST,41.73698722600005,-87.69228943699994,census,41.73536721100004,-87.69224521799998,census
28,Street Light Upgrade,ON CALIFORNIA FROM W FILLMORE ST (1028 S) TO W ROOSEVELT RD (1200 S),2012,2000,CALIFORNIA and W FILLMORE ST,CALIFORNIA and W ROOSEVELT RD,NA,NA,google,41.86651201600006,-87.69590331599994,census
20,Sidewalk Menu,ON CALUMET FROM E 58 ST (5800 S) TO E 59 ST (5900 S),2012,5018,CALUMET and E 58 ST,CALUMET and E 59 ST,41.78932615900004,-87.61746325399997,census,41.787501131000056,-87.61741903499995,census
2,Street Light Pole Painting,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S),2012,12000,CANAL and W 14 PL,CANAL and W ROOSEVELT RD,41.86246801000004,-87.63909024799995,census,41.86725569600003,-87.63921486399994,census
2,Street Light Upgrade,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S),2012,14000,CANAL and W 14 PL,CANAL and W ROOSEVELT RD,41.86246801000004,-87.63909024799995,census,41.86725569600003,-87.63921486399994,census
35,Street Light Residential,ON CENTRAL PARK FROM W BELMONT AV (3200 N) TO W CORNELIA ST (3500 N),2013,192000,CENTRAL PARK and W BELMONT AV,CENTRAL PARK and W CORNELIA ST,41.9392128,-87.7173995,google,41.9444139,-87.7396399,google
27,Street Light Residential,ON CENTRAL PARK FROM W AUGUSTA BV (1000 N) TO W GRAND AV (1172 N),2012,144000,CENTRAL PARK and W AUGUSTA BV,CENTRAL PARK and W GRAND AV,41.8991168,-87.7164321,google,41.9022476,-87.7165322,google
4,Street Light Upgrade,ON CHAMPLAIN FROM E 43 ST (4300 S) TO E 44 ST (4400 S),2012,1400,CHAMPLAIN and E 43 ST,CHAMPLAIN and E 44 ST,41.816753851000044,-87.61041237099994,census,41.814936862000025,-87.61036413299996,census
44,Street Light Residential,ON CLIFTON FROM W BELMONT AV (3200 N) TO W ROSCOE ST (3400 N),2012,152000,CLIFTON and W BELMONT AV,CLIFTON and W ROSCOE ST,41.93985888100008,-87.65775056499996,census,41.94351295900003,-87.65785508199997,census
8,Street Light Residential,ON CLYDE FROM E 79 ST (7900 S) TO E 81 ST (8100 S),2012,128000,CLYDE and E 79 ST,CLYDE and E 81 ST,41.7515026,-87.5860271,google,41.74800171700008,-87.57348166599996,census
2,Street Light Pole Painting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),2012,5700,CONGRESS and S MORGAN ST,CONGRESS and E EISENHOWER EXIT RP,41.87511055500005,-87.65183329099995,census,NA,NA,google
2,Street Light Upgrade,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),2012,7600,CONGRESS and S MORGAN ST,CONGRESS and E EISENHOWER EXIT RP,41.87511055500005,-87.65183329099995,census,NA,NA,google
28,Street Light Pole Painting,ON CONGRESS FROM S HAMLIN BV (3752 W) TO S PULASKI RD (4000 W),2012,3600,CONGRESS and S HAMLIN BV,CONGRESS and S PULASKI RD,41.87444325400003,-87.72040050899994,census,41.87436285600006,-87.72544144799997,census
28,Street Light Upgrade,ON CONGRESS FROM S HAMLIN BV (3752 W) TO S PULASKI RD (4000 W),2012,4800,CONGRESS and S HAMLIN BV,CONGRESS and S PULASKI RD,41.87444325400003,-87.72040050899994,census,41.87436285600006,-87.72544144799997,census
8,Street Light Residential,ON CRANDON FROM E 83 ST (8300 S) TO E 85 ST (8500 S),2012,128000,CRANDON and E 83 ST,CRANDON and E 85 ST,41.74443205700004,-87.56855328399996,census,41.74079807900006,-87.56849700599997,census
7,Curb & Gutter Menu,ON CRANDON FROM E 96 ST (9540 S) TO E 97 ST (9713 S),2012,68566,CRANDON and E 96 ST,CRANDON and E 97 ST,41.721341825000025,-87.56689307099998,census,41.718638,-87.5670939,google
8,Street Light Upgrade,ON CREGIER FROM E 89 ST (8900 S) TO E 89 ST (8900 S),2013,1400,CREGIER and E 89 ST,CREGIER and E 89 ST,41.7334131,-87.58047,google,41.7334131,-87.58047,google
24,Street Light Residential,ON CULLERTON FROM S KEELER AV (4200 W) TO S KOSTNER AV (4400 W),2012,128000,CULLERTON and S KEELER AV,CULLERTON and S KOSTNER AV,41.85433979700008,-87.72971056799997,census,41.85427547900008,-87.73459071199994,census
12,Street Light Residential,ON CULLERTON FROM S CALIFORNIA AV (2800 W) TO S MARSHALL BV (2932 W),2013,72000,CULLERTON and S CALIFORNIA AV,CULLERTON and S MARSHALL BV,41.854677468000034,-87.69553750599994,census,41.8518512,-87.6990855,google
3,Floodlight Menu,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV (44 E),2012,1200,CULLERTON and S STATE ST,CULLERTON and S WABASH AV,41.855449286000066,-87.62714314299996,census,41.85546938600004,-87.62555528699994,census
3,Street Light Upgrade,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV (44 E),2012,800,CULLERTON and S STATE ST,CULLERTON and S WABASH AV,41.855449286000066,-87.62714314299996,census,41.85546938600004,-87.62555528699994,census
8,Street Light Residential,ON DANTE FROM E 79 ST (7900 S) TO E 81 ST (8100 S),2012,128000,DANTE and E 79 ST,DANTE and E 81 ST,41.751450781000074,-87.58947679799996,census,41.74780876300008,-87.58939237999994,census
43,Street Light Residential,ON DEMING FROM N LAKEVIEW AV (400 W) TO N CLARK ST (526 W),2012,32000,DEMING and N LAKEVIEW AV,DEMING and N CLARK ST,41.92969660600005,-87.63926310299996,census,41.9472062,-87.6564994,google
20,Sidewalk Menu,ON DORCHESTER FROM E 64 ST (6400 S) TO E 65 ST (6500 S),2012,13065,DORCHESTER and E 64 ST,DORCHESTER and E 65 ST,41.77875787600004,-87.59145458299997,census,41.7769466,-87.5916797,google
5,Street Light Residential,ON DORCHESTER FROM E 67 ST (6700 S) TO E 71 ST (7100 S),2012,288000,DORCHESTER and E 67 ST,DORCHESTER and E 71 ST,41.7732877,-87.591173,google,41.76601885300005,-87.59099229599997,census
46,Street Light Residential,ON DOVER FROM W MONTROSE AV (4400 N) TO W WILSON AV (4600 N),2012,128000,DOVER and W MONTROSE AV,DOVER and W WILSON AV,41.961650690000056,-87.66493410399994,census,41.965288688000044,-87.66542452999994,census
3,Sidewalk Menu,ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S) TO E 45 ST (4500 S),2012,8979,DR MARTIN LUTHER KING JR DR and E 44 ST,DR MARTIN LUTHER KING JR DR and E 45 ST,41.814828325000065,-87.61647838099998,census,41.81301535600005,-87.61642612299994,census
20,Sidewalk Menu,ON DR MARTIN LUTHER KING JR DR FROM E 56 ST (5600 S) TO E 61 ST (6100 S),2013,20871,DR MARTIN LUTHER KING JR DR and E 56 ST,DR MARTIN LUTHER KING JR DR and E 61 ST,41.7929895,-87.6159238,google,41.7838763,-87.6157041,google
20,Street Light Residential,ON DREXEL FROM E 65 ST (6500 S) TO E 67 ST (6700 S),2012,44800,DREXEL and E 65 ST,DREXEL and E 67 ST,41.7768137,-87.6028172,google,41.773166212000035,-87.60333334999996,census
9,Street Light Upgrade,ON 104 FROM S RHODES AV (532 E) TO S DAUPHIN AV (623 E),2012,1050,E  104th ST and S RHODES AV,E  104th ST and S DAUPHIN AV,41.7055341,-87.610064,google,41.7055689,-87.6078668,google
9,Street Light Upgrade,ON 105 FROM S RHODES AV (532 E) TO S DAUPHIN AV (604 E),2012,1050,E  105th ST and S RHODES AV,E  105th ST and S DAUPHIN AV,41.7037183,-87.6099866,google,41.7037427,-87.6082963,google
2,Street Light Upgrade,ON 11 FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E),2012,400,E  11th ST and S STATE ST,E  11th ST and S MICHIGAN AV,41.8692382,-87.6273968,google,41.869307,-87.6241813,google
2,Street Light Piggy Back,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),2012,8100,E  24th ST and S STATE ST,E  24th ST and S INDIANA AV,41.8492401,-87.6270014,google,41.8493061,-87.6221418,google
2,Street Light Pole Painting,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),2012,4200,E  24th ST and S STATE ST,E  24th ST and S INDIANA AV,41.8492401,-87.6270014,google,41.8493061,-87.6221418,google
2,Street Light Upgrade,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),2012,4800,E  24th ST and S STATE ST,E  24th ST and S INDIANA AV,41.8492401,-87.6270014,google,41.8493061,-87.6221418,google
2,Traffic Equipment,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),2012,400,E  24th ST and S STATE ST,E  24th ST and S INDIANA AV,41.8492401,-87.6270014,google,41.8493061,-87.6221418,google
22,Street Light Residential,ON 25 FROM S PULASKI RD (4000 W) TO S KARLOV AV (4038 W),2012,72000,E  25th ST and S PULASKI RD,E  25th ST and S KARLOV AV,41.8460896,-87.7246168,google,41.8460576,-87.7262252,google
22,Street Light Residential,ON 25 FROM S KARLOV AV (4038 W) TO S KEDVALE AV (4120 W),2012,72000,E  25th ST and S KARLOV AV,E  25th ST and S KEDVALE AV,41.8460576,-87.7262252,google,41.8460263,-87.7278447,google
22,Street Light Residential,ON 25 FROM S KEDVALE AV (4120 W) TO S KEELER AV (4200 W),2012,72000,E  25th ST and S KEDVALE AV,E  25th ST and S KEELER AV,41.8460263,-87.7278447,google,41.8460131,-87.7294711,google
22,Street Light Residential,ON 25 FROM S KEELER AV (4200 W) TO S KOSTNER AV (4400 W),2012,72000,E  25th ST and S KEELER AV,E  25th ST and S KOSTNER AV,41.8460131,-87.7294711,google,41.8459404,-87.7343311,google
12,Street Light Residential,ON 25 FROM S CALIFORNIA AV (2800 W) TO S SACRAMENTO AV (3000 W),2012,144000,E  25th ST and S CALIFORNIA AV,E  25th ST and S SACRAMENTO AV,41.84644,-87.6952616,google,41.8463886,-87.7001835,google
2,Street Light Piggy Back,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),2012,5400,E  32ND ST and DR. MARTIN LUTHER KING JR. DR,E  32ND ST and S GILES AV,41.8365881,-87.6174199,google,41.8365737,-87.6194482,google
2,Street Light Pole Painting,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),2012,1500,E  32ND ST and DR. MARTIN LUTHER KING JR. DR,E  32ND ST and S GILES AV,41.8365881,-87.6174199,google,41.8365737,-87.6194482,google
2,Street Light Upgrade,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),2012,2000,E  32ND ST and DR. MARTIN LUTHER KING JR. DR,E  32ND ST and S GILES AV,41.8365881,-87.6174199,google,41.8365737,-87.6194482,google
11,Street Light Upgrade,ON 37 FROM S WALLACE ST (600 W) TO S NORMAL AV (500 W),2012,1050,E  37th ST and S WALLACE ST,E  37th ST and S NORMAL AV,41.8271664,-87.641142,google,41.8272015,-87.6387044,google
4,Street Light Upgrade,ON 41 FROM S DREXEL AV (900 E) TO S ELLIS AV (942 E),2012,700,E  41ST ST and S DREXEL AV,E  41ST ST and S ELLIS AV,41.8200365,-87.6043977,google,41.8200558,-87.6026103,google
