ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2
3,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 41 ST (4100 S) -to- E 46 ST (4600 S),2007,11550,2580,DR. MARTIN LUTHER KING JR. DR AND E 41st ST,DR. MARTIN LUTHER KING JR. DR AND E 46th ST,41.82023105300004,-87.61715774199996,census,41.81120238600005,-87.61637788399997,census
3,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 41 ST (4100 S) -to- E 46 ST (4600 S),2007,27500,2581,DR. MARTIN LUTHER KING JR. DR AND E 41st ST,DR. MARTIN LUTHER KING JR. DR AND E 46th ST,41.82023105300004,-87.61715774199996,census,41.81120238600005,-87.61637788399997,census
3,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 41 ST (4100 S) -to- E 46 ST (4600 S),2007,56600,2584,DR. MARTIN LUTHER KING JR. DR AND E 41st ST,DR. MARTIN LUTHER KING JR. DR AND E 46th ST,41.82023105300004,-87.61715774199996,census,41.81120238600005,-87.61637788399997,census
3,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 47 ST (4700 S),2009,24390,2657,DR. MARTIN LUTHER KING JR. DR AND E 46th ST,DR. MARTIN LUTHER KING JR. DR AND E 47th ST,41.81120238600005,-87.61637788399997,census,41.8093865,-87.6165924,google
3,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E PERSHING RD (3900 S) -to- E 47 ST (4700 S),2005,5191,2502,DR. MARTIN LUTHER KING JR. DR AND E PERSHING RD,DR. MARTIN LUTHER KING JR. DR AND E 47th ST,41.82384091200004,-87.61673163399996,census,41.8093865,-87.6165924,google
3,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 48 ST (4800 S),2005,5000,2503,DR. MARTIN LUTHER KING JR. DR AND E 46th ST,DR. MARTIN LUTHER KING JR. DR AND E 48th ST,41.81120238600005,-87.61637788399997,census,41.807568408000066,-87.61627738699997,census
3,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 48 ST (4800 S),2005,7000,2504,DR. MARTIN LUTHER KING JR. DR AND E 46th ST,DR. MARTIN LUTHER KING JR. DR AND E 48th ST,41.81120238600005,-87.61637788399997,census,41.807568408000066,-87.61627738699997,census
3,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 48 ST (4800 S),2005,8000,2514,DR. MARTIN LUTHER KING JR. DR AND E 46th ST,DR. MARTIN LUTHER KING JR. DR AND E 48th ST,41.81120238600005,-87.61637788399997,census,41.807568408000066,-87.61627738699997,census
3,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 48 ST (4800 S),2005,12000,2515,DR. MARTIN LUTHER KING JR. DR AND E 46th ST,DR. MARTIN LUTHER KING JR. DR AND E 48th ST,41.81120238600005,-87.61637788399997,census,41.807568408000066,-87.61627738699997,census
3,Street Speed Hump Menu,DR. MARTIN LUTHER KING JR. DR-- E 48 ST (4800 S) -to- E 49 ST (4900 S) 2,2008,3500,2617,DR. MARTIN LUTHER KING JR. DR AND E 48th ST,DR. MARTIN LUTHER KING JR. DR AND E 49th ST,41.807568408000066,-87.61627738699997,census,41.805736,-87.6167631,google
3,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 49 ST (4900 S) -to- E 50 ST (5000 S),2010,9105,2705,DR. MARTIN LUTHER KING JR. DR AND E 49th ST,DR. MARTIN LUTHER KING JR. DR AND E 50th ST,41.805736,-87.6167631,google,41.803922370000066,-87.61671153499998,census
6,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 69 ST (6900 S) -to- E 75 ST (7500 S),2005,4200,4527,DR. MARTIN LUTHER KING JR. DR AND E 69th ST,DR. MARTIN LUTHER KING JR. DR AND E 75th ST,41.76934329900007,-87.61535281299996,census,41.7584054,-87.6151044,google
6,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 69 ST (6900 S) -to- E 75 ST (7500 S),2005,13000,4528,DR. MARTIN LUTHER KING JR. DR AND E 69th ST,DR. MARTIN LUTHER KING JR. DR AND E 75th ST,41.76934329900007,-87.61535281299996,census,41.7584054,-87.6151044,google
6,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 69 ST (6900 S) -to- E 75 ST (7500 S),2005,70200,4531,DR. MARTIN LUTHER KING JR. DR AND E 69th ST,DR. MARTIN LUTHER KING JR. DR AND E 75th ST,41.76934329900007,-87.61535281299996,census,41.7584054,-87.6151044,google
6,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 69 ST (6900 S) -to- E 75 ST (7500 S),2005,24000,4532,DR. MARTIN LUTHER KING JR. DR AND E 69th ST,DR. MARTIN LUTHER KING JR. DR AND E 75th ST,41.76934329900007,-87.61535281299996,census,41.7584054,-87.6151044,google
6,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 76 ST (7600 S) -to- E 77 ST (7700 S),2010,74001,4744,DR. MARTIN LUTHER KING JR. DR AND E 76th ST,DR. MARTIN LUTHER KING JR. DR AND E 77th ST,41.756584177000036,-87.61507946099994,census,41.75476718800007,-87.61503926199998,census
6,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 77 ST (7700 S) -to- E 78 ST (7800 S),2008,190631,4667,DR. MARTIN LUTHER KING JR. DR AND E 77th ST,DR. MARTIN LUTHER KING JR. DR AND E 78th ST,41.75476718800007,-87.61503926199998,census,41.75294215900004,-87.61499504299996,census
6,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 84 ST (8400 S) -to- E 85 ST (8500 S),2007,85157,4618,DR. MARTIN LUTHER KING JR. DR AND E 84th ST,DR. MARTIN LUTHER KING JR. DR AND E 85th ST,41.7419803,-87.6146848,google,41.74015891700003,-87.61462119299995,census
6,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 85 ST (8500 S) -to- E 86 ST (8600 S),2006,44941,4564,DR. MARTIN LUTHER KING JR. DR AND E 85th ST,DR. MARTIN LUTHER KING JR. DR AND E 86th ST,41.74015891700003,-87.61462119299995,census,41.73833388800006,-87.61457295499997,census
6,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 75 ST (7500 S) -to- E 87 ST (8700 S),2006,43000,4582,DR. MARTIN LUTHER KING JR. DR AND E 75th ST,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,41.7584054,-87.6151044,google,41.736504840000066,-87.61452471599995,census
6,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 75 ST (7500 S) -to- E 87 ST (8700 S),2006,14500,4583,DR. MARTIN LUTHER KING JR. DR AND E 75th ST,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,41.7584054,-87.6151044,google,41.736504840000066,-87.61452471599995,census
6,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 75 ST (7500 S) -to- E 87 ST (8700 S),2006,214650,4584,DR. MARTIN LUTHER KING JR. DR AND E 75th ST,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,41.7584054,-87.6151044,google,41.736504840000066,-87.61452471599995,census
6,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 75 ST (7500 S) -to- E 87 ST (8700 S),2006,76800,4585,DR. MARTIN LUTHER KING JR. DR AND E 75th ST,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,41.7584054,-87.6151044,google,41.736504840000066,-87.61452471599995,census
6,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 86 ST (8600 S) -to- E 87 ST (8700 S),2006,16866,4563,DR. MARTIN LUTHER KING JR. DR AND E 86th ST,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,41.73833388800006,-87.61457295499997,census,41.736504840000066,-87.61452471599995,census
6,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 87 PL (8732 S) -to- E 88 ST (8800 S),2009,11651,4708,DR. MARTIN LUTHER KING JR. DR AND E 87th PL,DR. MARTIN LUTHER KING JR. DR AND E 88th ST,41.7364948,-87.614529,google,41.734679811000035,-87.61448049699999,census
6,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 88 PL (8832 S) -to- E 89 ST (8900 S),2006,27488,4566,DR. MARTIN LUTHER KING JR. DR AND E 88th PL,DR. MARTIN LUTHER KING JR. DR AND E 89th ST,41.73376327600005,-87.61445235799994,census,41.732850762000055,-87.61442823899995,census
6,Sidewalk Menu,DR. MARTIN LUTHER KING JR. DR-- E 90 PL (9032 S) -to- E 91 PL (9132 S),2006,16066,4565,DR. MARTIN LUTHER KING JR. DR AND E 90th PL,DR. MARTIN LUTHER KING JR. DR AND E 91st PL,41.73102573300008,-87.61438401999999,census,41.72828417000005,-87.61431166199998,census
6,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 87 ST (8700 S) -to- E 99 ST (9900 S),2007,5500,4647,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,DR. MARTIN LUTHER KING JR. DR AND E 99th ST,41.736504840000066,-87.61452471599995,census,41.714604493000024,-87.61397399199996,census
6,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 87 ST (8700 S) -to- E 99 ST (9900 S),2007,20460,4648,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,DR. MARTIN LUTHER KING JR. DR AND E 99th ST,41.736504840000066,-87.61452471599995,census,41.714604493000024,-87.61397399199996,census
6,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 87 ST (8700 S) -to- E 99 ST (9900 S),2007,125550,4649,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,DR. MARTIN LUTHER KING JR. DR AND E 99th ST,41.736504840000066,-87.61452471599995,census,41.714604493000024,-87.61397399199996,census
6,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 87 ST (8700 S) -to- E 99 ST (9900 S),2007,43000,4650,DR. MARTIN LUTHER KING JR. DR AND E 87th ST,DR. MARTIN LUTHER KING JR. DR AND E 99th ST,41.736504840000066,-87.61452471599995,census,41.714604493000024,-87.61397399199996,census
9,Sidewalk Menu,E 100 PL-- S STATE ST (0 E) -to- S MICHIGAN AV (128 E),2007,102883,6821,E 100th PL AND S STATE ST,E 100th PL AND S MICHIGAN AV,41.7117352,-87.623589,google,41.7117795,-87.6200374,google
10,Street Resurface Menu,E 100 ST-- S EWING AV (3632 E) -to- S AVENUE J (3700 E),2005,6667,7553,E 100th ST AND S EWING AV,E 100th ST AND S AVENUE J,41.7135056,-87.5352753,google,41.714107,-87.5340451,google
7,Curb/Gutter Menu,E 100 ST-- S PAXTON AV (2230 E) -to- S CRANDON AV (2320 E),2010,9007,5326,E 100th ST AND S PAXTON AV,E 100th ST AND S CRANDON AV,41.7134563,-87.5694168,google,41.7134829,-87.5670003,google
9,Sidewalk Menu,E 100 ST-- S ST LAWRENCE AV (600 E) -to- S DAUPHIN AV (709 E),2009,54594,6897,E 100th ST AND S ST LAWRENCE AV,E 100th ST AND S DAUPHIN AV,41.7128608,-87.6090569,google,41.7129056,-87.6062334,google
9,Sidewalk Menu,E 100 ST-- S MICHIGAN AV (125 E) -to- S INDIANA AV (200 E),2005,18772,6743,E 100th ST AND S MICHIGAN AV,E 100th ST AND S INDIANA AV,41.7126866,-87.6201467,google,41.7126954,-87.6187723,google
7,Sidewalk Menu,E 100 ST-- S LUELLA AV (2300 E) -to- S YATES AV (2426 E),2008,440,5245,E 100th ST AND S LUELLA AV,E 100th ST AND S YATES AV,41.713462,-87.568214,google,41.7135114,-87.5645743,google
10,Street Resurface Menu,E 100 ST-- S AVENUE G DR (3800 E) -to- SERVICE ROAD (3900 E),2005,37696,7552,E 100th ST AND S AVENUE G DR,E 100th ST AND SERVICE ROAD,41.713922,-87.5318537,google,41.9757537,-87.8790407,google
9,Sidewalk Menu,E 101 PL-- S PRINCETON AV (300 W) -to- Dead End (350 W),2008,64538,6854,E 101st PL AND S PRINCETON AV,E 101st PL AND Dead End,41.7098123,-87.6307827,google,NA,NA,google
9,Curb/Gutter Menu,E 101 ST-- S VERNON AV (432 E) -to- S DAUPHIN AV (678 E),2006,158959,6785,E 101st ST AND S VERNON AV,E 101st ST AND S DAUPHIN AV,41.7109794,-87.6126425,google,41.7110669,-87.606636,google
10,Street Resurface Menu,E 101 ST-- S AVENUE L (3600 E) -to- S EWING AV (3632 E),2008,38682,7827,E 101st ST AND S AVENUE L,E 101st ST AND S EWING AV,41.7119713,-87.5364999,google,41.7119826,-87.53528,google
10,Sidewalk Menu,E 101 ST-- S COMMERCIAL AV (2938 E) -to- S EXCHANGE AV (2930 E),2007,20130,7722,E 101st ST AND S COMMERCIAL AV,E 101st ST AND S EXCHANGE AV,41.7118363,-87.5514984,google,41.7118295,-87.5523049,google
9,Sidewalk Menu,E 101 ST-- S MICHIGAN AV (128 E) -to- S INDIANA AV (200 E),2005,17895,6744,E 101st ST AND S MICHIGAN AV,E 101st ST AND S INDIANA AV,41.7108605,-87.6198948,google,41.7108835,-87.6187303,google
10,Street Resurface Menu,E 101 ST-- S EWING AV (3632 E) -to- S INDIANAPOLIS AV (3677 E),2009,13253,7886,E 101st ST AND S EWING AV,E 101st ST AND S INDIANAPOLIS AV,41.7119826,-87.53528,google,41.7120422,-87.5343846,google
9,Sidewalk Menu,E 101 ST-- S STATE ST (0 E) -to- S MICHIGAN AV (128 E),2005,21911,6745,E 101st ST AND S STATE ST,E 101st ST AND S MICHIGAN AV,41.7108264,-87.6235706,google,41.7108605,-87.6198948,google
10,Street Speed Hump Menu,E 102 ST-- S EWING AV (3632 E) -to- S AVENUE J (3700 E) 1,2007,1650,7741,E 102nd ST AND S EWING AV,E 102nd ST AND S AVENUE J,41.7100483,-87.5352793,google,41.710065,-87.5340621,google
10,Sidewalk Menu,E 102 ST-- S EWING AV (3632 E) -to- S AVENUE L (3600 E),2005,12500,7534,E 102nd ST AND S EWING AV,E 102nd ST AND S AVENUE L,41.7100483,-87.5352793,google,41.7100493,-87.5364941,google
10,Street Speed Hump Menu,E 102 ST-- S CRANDON AV (2320 E) -to- S OGLESBY AV (2356 E) 1,2007,1650,7740,E 102nd ST AND S CRANDON AV,E 102nd ST AND S OGLESBY AV,41.7098518,-87.5669571,google,41.7098691,-87.5657458,google
9,Sidewalk Menu,E 103 PL-- S COTTAGE GROVE AV (653 E) -to- S CORLISS AV (800 E),2008,77936,6855,E 103rd PL AND S COTTAGE GROVE AV,E 103rd PL AND S CORLISS AV,41.7065083,-87.6067168,google,41.7065498,-87.603978,google
10,Street Speed Hump Menu,E 103 ST-- S AVENUE J (3700 E) -to- S AVENUE H (3731 E) 1,2007,1650,7742,E 103rd ST AND S AVENUE J,E 103rd ST AND S AVENUE H,41.7082308,-87.5340741,google,41.7082155,-87.5322691,google
10,Sidewalk Menu,E 103 ST-- S AVENUE L (3600 E) -to- S EWING AV (3632 E),2007,17916,7723,E 103rd ST AND S AVENUE L,E 103rd ST AND S EWING AV,41.7082244,-87.5364936,google,41.7082216,-87.5352829,google
9,Pole Painting,E 103 ST-- S DAUPHIN AV (635 E) -to- S WABASH AV (44 E),2008,16800,6863,E 103rd ST AND S DAUPHIN AV,E 103rd ST AND S WABASH AV,41.7074178,-87.6074697,google,41.7071775,-87.6223117,google
9,Pole Painting,E 103 ST-- S DAUPHIN AV (635 E) -to- S WABASH AV (44 E),2008,2600,6864,E 103rd ST AND S DAUPHIN AV,E 103rd ST AND S WABASH AV,41.7074178,-87.6074697,google,41.7071775,-87.6223117,google
9,Street Lighting,E 103 ST-- S DAUPHIN AV (635 E) -to- S WABASH AV (44 E),2008,22400,6870,E 103rd ST AND S DAUPHIN AV,E 103rd ST AND S WABASH AV,41.7074178,-87.6074697,google,41.7071775,-87.6223117,google
9,Street Lighting,E 103 ST-- S DAUPHIN AV (635 E) -to- S WABASH AV (44 E),2008,75600,6871,E 103rd ST AND S DAUPHIN AV,E 103rd ST AND S WABASH AV,41.7074178,-87.6074697,google,41.7071775,-87.6223117,google
9,Sidewalk Menu,E 104 ST-- S RHODES AV (532 E) -to- S DAUPHIN AV (623 E),2005,45696,6746,E 104th ST AND S RHODES AV,E 104th ST AND S DAUPHIN AV,41.7055341,-87.610064,google,41.7055689,-87.6078668,google
10,Street Resurface Menu,E 104 ST-- S BENSLEY AV (2500 E) -to- S TORRENCE AV (2633 E),2009,47444,7887,E 104th ST AND S BENSLEY AV,E 104th ST AND S TORRENCE AV,41.7063939,-87.5632683,google,41.706389,-87.5596513,google
9,Curb/Gutter Menu,E 105 PL-- S RHODES AV (532 E) -to- S DAUPHIN AV (604 E),2009,13510,6894,E 105th PL AND S RHODES AV,E 105th PL AND S DAUPHIN AV,41.7028236,-87.6099827,google,41.7028605,-87.608471,google
9,Curb/Gutter Menu - Change Order,E 105 PL-- S RHODES AV (532 E) -to- S DAUPHIN AV (604 E),2009,944,6895,E 105th PL AND S RHODES AV,E 105th PL AND S DAUPHIN AV,41.7028236,-87.6099827,google,41.7028605,-87.608471,google
9,Sidewalk Menu,E 105 PL-- S RHODES AV (532 E) -to- S DAUPHIN AV (604 E),2009,47865,6898,E 105th PL AND S RHODES AV,E 105th PL AND S DAUPHIN AV,41.7028236,-87.6099827,google,41.7028605,-87.608471,google
9,Sidewalk Menu - Change Order,E 105 PL-- S RHODES AV (532 E) -to- S DAUPHIN AV (604 E),2009,1832,6909,E 105th PL AND S RHODES AV,E 105th PL AND S DAUPHIN AV,41.7028236,-87.6099827,google,41.7028605,-87.608471,google
10,Sidewalk Menu,E 105 ST-- S AVENUE H (3731 E) -to- S AVENUE G (3800 E),2006,18058,7652,E 105th ST AND S AVENUE H,E 105th ST AND S AVENUE G,41.7045534,-87.532262,google,41.7045508,-87.5316513,google
10,Street Speed Hump Menu,E 105 ST-- S OGLESBY AV (2412 E) -to- S BENSLEY AV (2500 E) 2,2007,3300,7743,E 105th ST AND S OGLESBY AV,E 105th ST AND S BENSLEY AV,41.7045584,-87.565678,google,41.7045722,-87.5632537,google
10,Diagonal Parking Menu,E 105 ST-- S EWING AV (3632 E) -to- S EWING AV (3632 E),2008,24035,7808,E 105th ST AND S EWING AV,E 105th ST AND S EWING AV,41.7045573,-87.5353018,google,41.7045573,-87.5353018,google
10,Diagonal Parking Menu,E 105 ST-- S EWING AV (3632 E) -to- S EWING AV (3632 E),2008,50664,7809,E 105th ST AND S EWING AV,E 105th ST AND S EWING AV,41.7045573,-87.5353018,google,41.7045573,-87.5353018,google
9,Curb/Gutter Menu,E 105 ST-- S STATE ST (0 E) -to- S MICHIGAN AV (103 E),2006,59570,6786,E 105th ST AND S STATE ST,E 105th ST AND S MICHIGAN AV,41.7035085,-87.6234167,google,41.7034968,-87.6206502,google
9,Curb/Gutter Menu,E 105 ST-- S VERNON AV (432 E) -to- S RHODES AV (532 E),2005,73560,6739,E 105th ST AND S VERNON AV,E 105th ST AND S RHODES AV,41.7036875,-87.6124473,google,41.7037183,-87.6099866,google
10,Street Resurface Menu,E 105 ST-- S HOXIE AV (2600 E) -to- S TORRENCE AV (2633 E),2008,21556,7828,E 105th ST AND S HOXIE AV,E 105th ST AND S TORRENCE AV,41.7045726,-87.5608343,google,41.7045749,-87.5596213,google
10,Sidewalk Menu,E 105 ST-- S TORRENCE AV (2633 E) -to- S TORRENCE AV (2633 E),2010,17149,7907,E 105th ST AND S TORRENCE AV,E 105th ST AND S TORRENCE AV,41.7045749,-87.5596213,google,41.7045749,-87.5596213,google
10,Sidewalk Menu,E 106 ST-- S AVENUE C (4000 E) -to- S AVENUE B (4020 E),2009,60051,7857,E 106th ST AND S AVENUE C,E 106th ST AND S AVENUE B,41.702679,-87.5269585,google,41.7026799,-87.5264912,google
10,Sidewalk Menu - Change Order,E 106 ST-- S AVENUE C (4000 E) -to- S AVENUE B (4032 E),2009,6121,7885,E 106th ST AND S AVENUE C,E 106th ST AND S AVENUE B,41.702679,-87.5269585,google,41.7026799,-87.5264912,google
10,Sidewalk Menu,E 106 ST-- S AVENUE D (3931 E) -to- S AVENUE E (3900 E),2009,29363,7858,E 106th ST AND S AVENUE D,E 106th ST AND S AVENUE E,41.7026864,-87.5281684,google,41.7027128,-87.5292292,google
10,Street Resurface Menu,E 106 ST-- S YATES AV (2421 E) -to- S BENSLEY AV (2500 E),2008,37033,7829,E 106th ST AND S YATES AV,E 106th ST AND S BENSLEY AV,41.702712,-87.5650137,google,41.7027567,-87.5632205,google
9,Street Resurface Menu - Change Orde,E 107 PL-- S LANGLEY AV (700 E) -to- Dead End (850 E),2007,12607,6837,E 107th PL AND S LANGLEY AV,E 107th PL AND Dead End,41.7001154,-87.6062434,google,NA,NA,google
9,Street Resurface Menu,E 107 PL-- S LANGLEY AV (700 E) -to- Dead End (850 E),2008,44051,6860,E 107th PL AND S LANGLEY AV,E 107th PL AND Dead End,41.7001154,-87.6062434,google,NA,NA,google
9,Curb/Gutter Menu,E 107 ST-- S CHAMPLAIN AV (634 E) -to- S LANGLEY AV (700 E),2008,54902,6848,E 107th ST AND S CHAMPLAIN AV,E 107th ST AND S LANGLEY AV,41.7001021,-87.6073541,google,41.7001154,-87.6062434,google
10,Sidewalk Menu,E 108 ST-- S AVENUE N (3500 E) -to- S AVENUE L (3600 E),2010,6188,7908,E 108th ST AND S AVENUE N,E 108th ST AND S AVENUE L,41.6991221,-87.5389092,google,41.6991161,-87.536495,google
9,Curb/Gutter Menu,E 108 ST-- S COTTAGE GROVE AV (578 E) -to- S CHAMPLAIN AV (634 E),2006,41341,6787,E 108th ST AND S COTTAGE GROVE AV,E 108th ST AND S CHAMPLAIN AV,41.6982282,-87.6086219,google,41.6982402,-87.6073122,google
10,Street Speed Hump Menu,E 108 ST-- S BUFFALO AV (3300 E) -to- S MACKINAW AV (3331 E) 1,2006,2500,7664,E 108th ST AND S BUFFALO AV,E 108th ST AND S MACKINAW AV,41.6991248,-87.5437694,google,41.6991361,-87.5425595,google
9,Sidewalk Menu,E 108 ST-- S EBERHART AV (500 E) -to- S RHODES AV (532 E),2006,31420,6792,E 108th ST AND S EBERHART AV,E 108th ST AND S RHODES AV,41.6982225,-87.6110815,google,41.6982402,-87.6098654,google
10,Street Resurface Menu,E 108 ST-- S BENSLEY AV (2500 E) -to- S TORRENCE AV (2633 E),2008,58067,7830,E 108th ST AND S BENSLEY AV,E 108th ST AND S TORRENCE AV,41.6991275,-87.5631789,google,41.6991558,-87.5595425,google
10,Miscellaneous-CDOT,E 109 ST-- S AVENUE G (3800 E) -to- S AVENUE F (3832 E),2006,34309,7641,E 109th ST AND S AVENUE G,E 109th ST AND S AVENUE F,41.6972639,-87.5316622,google,41.6972547,-87.5304502,google
10,Miscellaneous-CDOT,E 109 ST-- S AVENUE H (3731 E) -to- S AVENUE G (3800 E),2006,27453,7642,E 109th ST AND S AVENUE H,E 109th ST AND S AVENUE G,41.6972634,-87.5328581,google,41.6972639,-87.5316622,google
10,Sidewalk Menu,E 109 ST-- S BENSLEY AV (2500 E) -to- S CALHOUN AV (2532 E),2005,17567,7535,E 109th ST AND S BENSLEY AV,E 109th ST AND S CALHOUN AV,41.6977185,-87.5626794,google,41.6977279,-87.5619183,google
10,Street Resurface Menu,E 109 ST-- S BENSLEY AV (2500 E) -to- S CALHOUN AV (2532 E),2008,15850,7831,E 109th ST AND S BENSLEY AV,E 109th ST AND S CALHOUN AV,41.6977185,-87.5626794,google,41.6977279,-87.5619183,google
10,Street Resurface Menu,E 109 ST-- S CALHOUN AV (2532 E) -to- S HOXIE AV (2600 E),2006,13486,7661,E 109th ST AND S CALHOUN AV,E 109th ST AND S HOXIE AV,41.6977279,-87.5619183,google,41.6977284,-87.5607391,google
10,Sidewalk Menu,E 109 ST-- S CALHOUN AV (2532 E) -to- S HOXIE AV (2600 E),2007,16218,7724,E 109th ST AND S CALHOUN AV,E 109th ST AND S HOXIE AV,41.6977279,-87.5619183,google,41.6977284,-87.5607391,google
10,Street Speed Hump Menu,E 109 ST-- S BUFFALO AV (3300 E) -to- S MACKINAW AV (3331 E) 1,2006,2500,7665,E 109th ST AND S BUFFALO AV,E 109th ST AND S MACKINAW AV,41.697316,-87.5437843,google,41.6973129,-87.5425578,google
9,Sidewalk Menu,E 109 ST-- S EBERHART AV (478 E) -to- S RHODES AV (530 E),2007,33684,6822,E 109th ST AND S EBERHART AV,E 109th ST AND S RHODES AV,41.6963888,-87.61104,google,41.6964168,-87.6100388,google
