"ward","type","location","year","est_cost","id"
1,"Alley Resurfacing Menu"," 1900 N MOZARTST",2022,12807.105,990
1,"Alley Speed Hump Menu"," 3505-3539 WARMITAGE AVE",2022,700,992
2,"2 POD Cameras: 2000 W Chicago Ave; 1300 N Cleveland"," 1300 N CLEVELAND AVE",2021,24776,2417
2,"Sidewalk Menu"," 230 ELAKE SHORE DR",2021,10623.155,2426
2,"Street Resurfacing Menu"," 850 N DEWITT PL",2021,52357.98,2427
2,"Alley Resurfacing Menu"," 455 W NORTHAVE",2022,16638.72,2464
2,"Curb & Gutter Menu"," 115 W CHICAGOAVE",2022,10184.52,2470
3,"Alley Resurfacing Menu","2036",2020,10976.615,3060
3,"Miscellaneous CDOT Projects"," 435 E 43RD ST",2021,75,3110
3,"Miscellaneous CDOT Projects"," 5221 S WABASH AVE",2021,133.065,3114
3,"Miscellaneous CDOT Projects"," 5314 S INDIANA AVE",2021,150,3116
3,"Street Light Residential Staggered Piggy Back Menu"," ON & S PLYMOUTH CT FROM 1211 STO & W 14TH ST (1400 S)",2021,61665.38,3133
3,"Alley Resurfacing Menu"," 4906 S INDIANA AVE",2022,23593.905,3167
3,"Alley Speed Hump Menu"," 516-538 E 44TH PL",2022,350,3175
3,"Alley Speed Hump Menu"," 4810 S INDIANA AVE",2022,350,3176
3,"Speed Indicator Signs"," 1829 S STATE ST",2022,5500,3196
3,"Street Light Residential Staggered Piggy Back Menu"," ON & S PLYMOUTH CT FROM 1211 STO & W 14TH ST (1400 S)",2022,10878.84,3198
4,"POD Camera"," 5299 S Drexel",2006,36000,3264
4,"POD Camera"," 4659 S Cottage Grove",2007,24000,3295
4,"3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St"," 110 E ROOSEVELT RD",2021,27410,3763
4,"3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St"," 600 S STATE ST",2021,27410,3763
4,"Alley Resurfacing Menu"," 936 E 47TH ST",2021,11377.22,3766
4,"Street Light Upgrade Menu"," 813 E 47TH PL",2021,500,3793
4,"Speed Indicator Signs"," 4825 S DREXEL BLVD",2022,8333.33333333333,3827
5,"6 POD Cameras; 6 LPR on Existing Cameras: Various Locations"," 7000 S EAST END AVE",2021,35747,4449
5,"6 POD Cameras; 6 LPR on Existing Cameras: Various Locations"," 7100 S DORCHESTER AVE",2021,35747,4449
5,"Sidewalk Menu"," 1001 E 53RD ST",2021,2900.155,4459
5,"Street Bump Outs Menu"," 4930 S CORNELL AVE",2021,5878.425,4461
5,"Miscellaneous CDOT Projects"," 7138 S INGLESIDE AVE",2022,187.5,4478
5,"Miscellaneous CDOT Projects"," 6504-6506 S GREENWOOD AVE",2022,187.5,4478
5,"Miscellaneous CDOT Projects"," 6602 SDREXEL AVE",2022,187.5,4478
6,"Alley Apron Menu"," 8645 S PRAIRIE AVE",2021,33966.46,4991
6,"Alley Apron Menu"," 7203 S STLAWRENCE AVE",2021,12013.88,4992
6,"Alley Speed Hump Menu"," 846 W 69TH ST",2021,700,4994
6,"Sidewalk Menu"," 129-131 E 72ND ST",2021,20933.99,5002
6,"Alley Apron Menu"," 7513 S LANGLEY AVE",2022,12060.605,5032
6,"Sidewalk Menu"," 49 W 77TH PL",2022,5052.88,5041
6,"Sidewalk Menu"," 55 W 77TH PL",2022,12003.495,5042
6,"Sidewalk Menu"," 7515 S RHODES AVE",2022,2849.26,5048
7,"Miscellaneous CDOT Projects"," 7139 S RIDGELAND AVE",2021,18225.135,5720
7,"Miscellaneous CDOT Projects"," 8240-8242 S BURLEY AVE",2021,150,5723
7,"Miscellaneous CDOT Projects"," 8240-8242 S BUFFALO AVE",2021,150,5724
7,"Miscellaneous CDOT Projects"," 8256-8260 S BUFFALO AVE",2021,150,5724
7,"Miscellaneous CDOT Projects"," 8247-8251 SBUFFALO AVE",2021,150,5724
7,"Street Light Upgrade Menu"," 2424 E 103RD ST",2021,500,5745
7,"Street Light Upgrade Menu"," 8800 S SOUTH CHICAGO AVE",2022,500,5789
8,"Alley Speed Hump Menu"," 1614 E 83RD PL",2021,350,6519
8,"Alley Speed Hump Menu"," 7514 S CREGIER AVE",2021,700,6521
8,"Miscellaneous CDOT Projects"," 7841 S STONY ISLAND AVE E",2022,75,6582
9,"Miscellaneous CDOT Projects"," 10048 S MICHIGAN AVE",2022,187.5,7316
9,"Miscellaneous CDOT Projects"," 625-631 E 103RD ST",2022,187.5,7316
9,"Miscellaneous CDOT Projects"," 11919 S MICHIGANAVE",2022,187.5,7316
9,"Sidewalk Menu"," 11040 S INDIANA AVE",2022,11533.455,7318
10,"POD Camera"," 104 th Ave 'M'",2007,36000,7801
10,"Sidewalk Menu"," 10254 S AVENUE G",2021,7252.28,8420
10,"Sidewalk Menu"," 2617 E 108TH ST",2021,1455.29666666667,8426
10,"Sidewalk Menu"," 13316 S AVENUE K",2021,4050.94,8434
10,"Sidewalk Menu"," 9413 S COMMERCIAL AVE",2021,77222.18,8441
11,"Alley Resurfacing Menu"," 329 W 24TH PL",2021,8599.44,9258
11,"Alley Resurfacing Menu"," 3242 S CANAL ST",2021,19374.915,9259
11,"Alley Resurfacing Menu"," 724 W 48TH PL",2021,39242.93,9260
11,"Concrete Alley Menu"," 2628 S THROOP ST",2021,33500,9265
11,"Concrete Alley Menu"," 3439 S LOWE AVE",2021,47483.35,9266
11,"Street Light Upgrade Menu"," 2955 S UNION AVE",2021,500,9288
11,"Street Speed Hump Menu"," 2830 S LOCK ST",2021,1175,9307
11,"Street Traffic Circle Menu"," W 30TH",2021,15746.2857142857,9311
11,"Alley Resurfacing Menu"," 745 W 48TH PL",2022,34091.105,9319
11,"Alley Speed Hump Menu"," 3001 S CANAL ST",2022,466.666666666667,9322
11,"Concrete Alley Menu"," 3439 S LOWE AVE",2022,143017,9331
11,"Street Light Upgrade Menu"," 2855 S HILLOCKAVE",2022,4833.33333333333,9367
11,"Street Light Upgrade Menu"," 2879 S HILLOCK AVE",2022,4833.33333333333,9367
12,"POD Camera"," 3558 S California",2007,18000,9588
12,"POD Camera","3825 California",2008,15000,9631
12,"POD Camera","4200 California",2008,15000,9631
12,"POD Camera","4500 Talman",2008,15000,9631
12,"2 LPR on Existing Cameras: 1586 W 33rd St; 3109 S Archer Ave"," 3109 S ARCHER AVE",2021,10971,10256
12,"Alley Apron Menu"," 2817 W 40TH ST",2021,8111.32,10259
12,"Alley Resurfacing Menu"," 1614 W 33RD ST",2021,7005.23,10275
12,"Sidewalk Menu"," 3426-3428 S BELL AVE",2021,4671.385,10301
12,"Sidewalk Menu"," 3533 S WOOD ST",2021,1834.11333333333,10303
12,"Sidewalk Menu"," 3532 S WOOD ST",2021,1834.11333333333,10303
12,"Sidewalk Menu"," 3712 S HONORE ST",2021,3269.635,10307
12,"Street Light Upgrade Menu"," 3401 W 38TH ST",2021,500,10316
12,"Street Light Upgrade Menu"," 3517 S MARSHFIELD AVE",2021,500,10316
12,"Alley Resurfacing Menu"," 3844 S HONORE ST",2022,3474.725,10348
13,"POD Camera"," 8100 S Kostner",2005,24000,10420
13,"POD Camera","6340 Cicero",2007,24000,10584
13,"POD Camera"," 6000 S Keeler",2007,12000,10586
13,"POD Camera"," 7825 S Kostner",2007,12000,10586
13,"Bollard Menu"," 4308 W MARQUETTE RD",2021,2495.11,11394
13,"Sidewalk Menu"," 5442 W 63RD PL",2021,2627.82,11436
13,"Sidewalk Menu"," 5521 S KOLMAR AVE",2021,741.433333333333,11438
13,"Sidewalk Menu"," ON & S KOLMAR AVE FROM & W 55TH ST (5500 S) TOW 56TH ST (5600 S)",2021,741.433333333333,11438
13,"Sidewalk Menu"," 5606 S KEELER AVE",2021,1487.98,11444
13,"Sidewalk Menu"," 6200 S MULLIGAN AVE",2021,1319.535,11506
13,"Alley Resurfacing Menu"," 5623 S MEADE AVE",2022,12027.625,11545
13,"Sidewalk Menu"," 5825 S RUTHERFORD AVE",2022,6619.975,11569
13,"Street Light Upgrade Menu"," 6310 S LOREL AVE",2022,500,11600
13,"Street Light Upgrade Menu"," 6058 S MASON AVE",2022,500,11601
14,"Alley Resurfacing Menu (1-1)"," 4600 S CHRISTIANA AVE",2021,18579.545,12900
14,"Alley Resurfacing Menu"," 4822 S RIDGEWAY AVE",2021,14756.98,12903
14,"Alley Resurfacing Menu"," 5723 S WHIPPLE ST",2021,16885.315,12904
14,"Sidewalk Menu"," 2924 W 55TH ST",2021,4924.675,12940
14,"Sidewalk Menu"," 2503 W 50TH ST",2022,2067.95,12964
14,"Sidewalk Menu"," 4747 S KOLIN AVE",2022,4616.86666666667,12974
14,"Sidewalk Menu"," 4743 S KOLIN AVE",2022,4616.86666666667,12974
14,"Sidewalk Menu"," 5220 S NATOMA AVE",2022,9960.42,12987
14,"Sidewalk Menu"," 5244-5248 S NATOMA AVE",2022,9960.42,12987
14,"Sidewalk Menu"," 5258 S MULLIGAN AVE",2022,13315.12,12991
15,"Alley Apron Menu"," 4444 S ARTESIAN AVE",2021,11107.7,13739
15,"Sidewalk Menu"," 3000 W 47TH ST",2021,27521.68,13802
15,"Alley Apron Menu"," 4312 S ARTESIAN AVE",2022,11398.045,13811
15,"Alley Resurfacing Menu"," 4600 SHONORE ST",2022,17912.5466666667,13817
15,"Alley Resurfacing Menu"," 4601 SWINCHESTER AVE",2022,18914.01,13818
15,"Alley Resurfacing Menu"," 1714 W 47TH ST",2022,25913.175,13821
16,"POD Camera"," 5200 S Ada",2006,24000,13947
16,"Bollard Menu"," 5300 S DAMEN AVE",2022,1668.935,14658
16,"Street Resurfacing Menu"," 6100 S PEORIA ST",2022,16644.87,14669
17,"Alley Apron Menu"," 1500 W 74TH ST",2022,8617.77666666667,15368
18,"Sidewalk Menu"," 8156 S RICHMOND ST",2021,2183.45666666667,16154
18,"Sidewalk Menu"," 8112 S RICHMOND ST",2021,2183.45666666667,16154
18,"Speed Indicator Signs"," 2832 W 83RD ST",2021,12500,16163
18,"Speed Indicator Signs"," 4260 W 79TH PL",2021,14000,16166
18,"Speed Indicator Signs"," 4139 W 79TH ST",2021,14000,16166
18,"Sidewalk Menu"," 8155 S FAIRFIELD AVE",2022,1731.65,16208
19,"POD Camera"," 11300 S Hermosa",2007,12000,16379
20,"Alley Speed Hump Menu"," 4758 S RACINE AVE",2021,1050,17490
20,"Miscellaneous CDOT Projects"," 5828 S DR MARTIN LUTHER KING JR DR",2022,150,17524
20,"Miscellaneous CDOT Projects"," 6555 S INGLESIDE AVE",2022,75,17525
21,"Sidewalk Menu"," 9221 S BISHOP ST",2021,9685.535,18413
21,"Street Speed Hump Menu"," 8229 SWENTWORTH AVE",2021,2350,18440
21,"Street Speed Hump Menu"," 9656 S UNION AVE",2021,1175,18441
21,"Curb & Gutter Menu"," 8840 S EMERALD AVE",2022,799.805,18463
22,"Arterial Street Bump Outs Menu"," 4332 W 26TH ST",2021,31861.26,19139
22,"Street Speed Hump Menu"," 4210 W 25TH ST",2021,1175,19162
22,"Alley Apron Menu"," 2800 SMILLARD AVE",2022,10223.4,19175
22,"Alley Resurfacing Menu"," 2700-2758 S SAWYER AVE",2022,23520.15,19182
22,"Alley Resurfacing Menu"," 2257 S DRAKE AVE",2022,15529.735,19183
22,"Arterial Street Bump Outs Menu"," 4332 W 26TH ST",2022,15779.715,19195
22,"Sidewalk Menu"," 2800 SRIDGEWAY AVE",2022,5740.82,19221
22,"Sidewalk Menu"," 3201 SKEDVALE AVE",2022,5683.31,19222
22,"Street Bump Outs Menu"," 3259 S PULASKI RD",2022,8962.43,19223
22,"Street Resurfacing Menu"," 4400 S LAWLER AVE",2022,26653.55,19230
23,"Alley Apron Menu"," 3701 W 60TH PL",2021,8208.67,20478
23,"Alley Apron Menu"," 5258 S SAYRE AVE",2021,14086.015,20479
23,"Alley Apron Menu"," 5358 S HAMLIN AVE",2021,7512,20480
23,"Alley Apron Menu"," 5601 S MASSASOIT AVE",2021,7630.175,20481
23,"Alley Speed Hump Menu"," 5301 S HARDING AVE",2021,466.666666666667,20486
23,"Alley Speed Hump Menu"," 5344 S MILLARD AVE",2021,350,20487
23,"Alley Speed Hump Menu"," 5817 S TRUMBULL AVE",2021,245.83,20488
23,"Speed Indicator Signs"," 5185 S ARCHER AVE",2021,11000,20518
23,"Speed Indicator Signs"," 6115 S PULASKI RD",2021,14000,20519
23,"Viaduct Improvement Menu"," 5346 S CICERO AVE",2021,21183.24,20545
23,"Alley Apron Menu"," 3655 W 60TH PL",2022,9899.33333333333,20552
23,"Alley Apron Menu"," 3700 W 58TH ST",2022,7864.03,20555
23,"Alley Apron Menu"," 3759 W 57TH PL",2022,9174.38333333333,20557
