"ward","type","location","year","est_cost","id","point_location"
1,"Pavement Markings","W ARMITAGE AVE & N MILWAUKEE AVE",2012,400,451,"W ARMITAGE AVE & N MILWAUKEE AVE"
1,"Pavement Markings","W DIVERSEY PKWY & N ROCKWELL ST",2012,600,452,"W DIVERSEY PKWY & N ROCKWELL ST"
1,"Floodlight Menu","W POTOMAC AVE & N LEAVITT ST",2012,2500,466,"W POTOMAC AVE & N LEAVITT ST"
1,"Floodlight Menu","N CAMPBELL AVE & W IOWA ST 1266 N MILWAUKEE AVE",2012,500,467,"N CAMPBELL AVE & W IOWA ST 1266 N MILWAUKEE AVE"
1,"Pedestrian Countdown","N WESTERN AVE & W NORTH AVE",2012,15011,468,"N WESTERN AVE & W NORTH AVE"
1,"Street Light Arterial","W POTOMAC AVE & N LEAVITT ST",2012,11000,469,"W POTOMAC AVE & N LEAVITT ST"
1,"Street Light Upgrade","N CAMPBELL AVE & W IOWA ST",2012,400,475,"N CAMPBELL AVE & W IOWA ST"
1,"In-Road State Law Stop","N MILWAUKEE AVE & N HONORE ST",2013,950,495,"N MILWAUKEE AVE & N HONORE ST"
1,"In-Road State Law Stop","W AUGUSTA BLVD & N FAIRFIELD AVE",2013,950,496,"W AUGUSTA BLVD & N FAIRFIELD AVE"
1,"In-Road State Law Stop","N FAIRFIELD AVE & W ARMITAGE AVE",2013,950,497,"N FAIRFIELD AVE & W ARMITAGE AVE"
1,"In-Road State Law Stop","N CALIFORNIA AVE & W SHAKESPEARE AVE",2013,950,498,"N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop","N DAMEN AVE & W THOMAS ST",2013,950,499,"N DAMEN AVE & W THOMAS ST"
1,"In-Road State Law Stop","W DIVISION ST & N PAULINA ST",2013,133,500,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop","N MAPLEWOOD AVE & N MILWAUKEE AVE",2013,550,501,"N MAPLEWOOD AVE & N MILWAUKEE AVE"
1,"In-Road State Law Stop","N DAMEN AVE & W EVERGREEN AVE",2013,950,502,"N DAMEN AVE & W EVERGREEN AVE"
1,"In-Road State Law Stop","N MILWAUKEE AVE & W MEDILL AVE",2013,550,503,"N MILWAUKEE AVE & W MEDILL AVE"
1,"In-Road State Law Stop","N FAIRFIELD AVE & W ARMITAGE AVE",2014,950,539,"N FAIRFIELD AVE & W ARMITAGE AVE"
1,"In-Road State Law Stop","N CALIFORNIA AVE & W PALMER ST",2014,1100,540,"N CALIFORNIA AVE & W PALMER ST"
1,"In-Road State Law Stop","N MILWAUKEE AVE & W MEDILL AVE",2014,550,541,"N MILWAUKEE AVE & W MEDILL AVE"
1,"In-Road State Law Stop","N DAMEN AVE & W HURON ST",2014,950,542,"N DAMEN AVE & W HURON ST"
1,"In-Road State Law Stop","W DIVISION ST & N HOYNE AVE",2014,550,543,"W DIVISION ST & N HOYNE AVE"
1,"In-Road State Law Stop","N CALIFORNIA AVE & W SHAKESPEARE AVE",2014,950,544,"N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop","N WOLCOTT AVE & W DIVISION ST",2014,950,545,"N WOLCOTT AVE & W DIVISION ST"
1,"In-Road State Law Stop","N DAMEN AVE & W LE MOYNE ST",2014,1900,546,"N DAMEN AVE & W LE MOYNE ST"
1,"In-Road State Law Stop","N HOYNE AVE & W CHICAGO AVE",2014,1500,547,"N HOYNE AVE & W CHICAGO AVE"
1,"In-Road State Law Stop","N PAULINA ST & W AUGUSTA BLVD",2014,2450,548,"N PAULINA ST & W AUGUSTA BLVD"
1,"In-Road State Law Stop","W FULLERTON AVE & N OAKLEY AVE",2014,950,549,"W FULLERTON AVE & N OAKLEY AVE"
1,"In-Road State Law Stop","N PAULINA ST & W DIVISION ST",2014,1100,550,"N PAULINA ST & W DIVISION ST"
1,"In-Road State Law Stop","N DAMEN AVE & W EVERGREEN AVE",2014,2450,551,"N DAMEN AVE & W EVERGREEN AVE"
1,"In-Road State Law Stop","W DIVISION ST & N PAULINA ST",2014,417,552,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop","W DIVISION ST & N WOLCOTT AVE",2014,550,553,"W DIVISION ST & N WOLCOTT AVE"
1,"In-Road State Law Stop","N HONORE ST & N MILWAUKEE AVE",2014,950,554,"N HONORE ST & N MILWAUKEE AVE"
1,"Miscellaneous Other","N BOSWORTH AVE & W LE MOYNE ST",2014,8900,555,"N BOSWORTH AVE & W LE MOYNE ST"
1,"Miscellaneous Other","N CALIFORNIA AVE & W PALMER ST",2014,3000,556,"N CALIFORNIA AVE & W PALMER ST"
1,"Pedestrian Refuge Island","W NORTH AVE & N WASHTENAW AVE",2014,32252,557,"W NORTH AVE & N WASHTENAW AVE"
1,"Traffic Signal LED","W FULLERTON AVE & N ROCKWELL ST",2014,4960,584,"W FULLERTON AVE & N ROCKWELL ST"
1,"In-Road State Law Stop","N CALIFORNIA AVE & W ALTGELD ST",2015,600,598,"N CALIFORNIA AVE & W ALTGELD ST"
1,"Sidewalk Menu","W DIVISION ST & N WOOD ST",2015,2039,606,"W DIVISION ST & N WOOD ST"
1,"Traffic New Signals","W CHICAGO AVE & N HOYNE AVE",2015,175000,620,"W CHICAGO AVE & N HOYNE AVE"
1,"Traffic Signal LED","W FULLERTON AVE & N ROCKWELL ST",2015,19240,621,"W FULLERTON AVE & N ROCKWELL ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N WOLCOTT AVE",2016,600,638,"W DIVISION ST & N WOLCOTT AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N PAULINA ST",2016,350,639,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W LE MOYNE ST",2016,600,640,"N DAMEN AVE & W LE MOYNE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W EVERGREEN AVE",2016,600,641,"N DAMEN AVE & W EVERGREEN AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W HURON ST",2016,600,642,"N DAMEN AVE & W HURON ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W SHAKESPEARE AVE",2016,600,643,"N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W PALMER ST",2016,350,644,"N CALIFORNIA AVE & W PALMER ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W ALTGELD ST",2016,600,645,"N CALIFORNIA AVE & W ALTGELD ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N MILWAUKEE AVE & N HONORE ST",2016,600,646,"N MILWAUKEE AVE & N HONORE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N HOYNE AVE & W DIVISION ST",2016,350,647,"N HOYNE AVE & W DIVISION ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W MEDILL AVE & N MILWAUKEE AVE",2016,350,648,"W MEDILL AVE & N MILWAUKEE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W ARMITAGE AVE & N FAIRFIELD AVE",2016,600,649,"W ARMITAGE AVE & N FAIRFIELD AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N PAULINA ST & W AUGUSTA BLVD",2016,600,650,"N PAULINA ST & W AUGUSTA BLVD"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N HOYNE AVE & W CHICAGO AVE",2016,350,651,"N HOYNE AVE & W CHICAGO AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N PAULINA ST",2016,350,652,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W LE MOYNE ST",2016,350,653,"N DAMEN AVE & W LE MOYNE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W EVERGREEN AVE",2016,600,654,"N DAMEN AVE & W EVERGREEN AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W HURON ST",2016,600,655,"N DAMEN AVE & W HURON ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W SHAKESPEARE AVE",2016,350,656,"N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W ALTGELD ST",2016,600,657,"N CALIFORNIA AVE & W ALTGELD ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W PALMER ST",2016,350,658,"N CALIFORNIA AVE & W PALMER ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W MEDILL AVE & N MILWAUKEE AVE",2016,350,659,"W MEDILL AVE & N MILWAUKEE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N PAULINA ST & W AUGUSTA BLVD",2016,600,660,"N PAULINA ST & W AUGUSTA BLVD"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N PAULINA ST",2016,350,661,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W SHAKESPEARE AVE",2016,350,662,"N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W PALMER ST",2016,350,663,"N CALIFORNIA AVE & W PALMER ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N MILWAUKEE AVE & N HONORE ST",2016,600,664,"N MILWAUKEE AVE & N HONORE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W SHAKESPEARE AVE",2016,350,665,"N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"Pavement Markings Menu","N KIMBALL AVE & W BLOOMINGDALE AVE",2016,150,667,"N KIMBALL AVE & W BLOOMINGDALE AVE"
1,"Street Resurfacing Menu","N HERMITAGE AVE & N MILWAUKEE AVE",2016,7919.53,695,"N HERMITAGE AVE & N MILWAUKEE AVE"
1,"Viaduct Improvement Menu","N WESTERN AVE & W LOGAN BLVD",2016,16000,702,"N WESTERN AVE & W LOGAN BLVD"
1,"Curb & Gutter Menu","W WABANSIA AVE & N CALIFORNIA AVE",2017,14360.2,707,"W WABANSIA AVE & N CALIFORNIA AVE"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N CALIFORNIA AVE & W SHAKESPEARE AVE",2017,600,708,"s N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N CALIFORNIA AVE & W ALTGELD ST",2017,600,709,"s N CALIFORNIA AVE & W ALTGELD ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N CALIFORNIA AVE & W PALMER ST",2017,350,710,"s N CALIFORNIA AVE & W PALMER ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s W MEDILL AVE & N MILWAUKEE AVE",2017,350,711,"s W MEDILL AVE & N MILWAUKEE AVE"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N MILWAUKEE AVE & N HONORE ST",2017,600,712,"s N MILWAUKEE AVE & N HONORE ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N DAMEN AVE & W HURON ST",2017,600,713,"s N DAMEN AVE & W HURON ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N DAMEN AVE & W EVERGREEN AVE",2017,600,714,"s N DAMEN AVE & W EVERGREEN AVE"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N DAMEN AVE & W LE MOYNE ST",2017,600,715,"s N DAMEN AVE & W LE MOYNE ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N HOYNE AVE & W DIVISION ST",2017,350,716,"s N HOYNE AVE & W DIVISION ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s W DIVISION ST & N PAULINA ST",2017,350,717,"s W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N PAULINA ST & W AUGUSTA BLVD",2017,350,718,"s N PAULINA ST & W AUGUSTA BLVD"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N CALIFORNIA AVE & W ALTGELD ST",2017,600,719,"s N CALIFORNIA AVE & W ALTGELD ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N DAMEN AVE & W HURON ST",2017,600,720,"s N DAMEN AVE & W HURON ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s N CALIFORNIA AVE & W SHAKESPEARE AVE",2017,600,721,"s N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s W DIVISION ST & N PAULINA ST",2017,350,722,"s W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s W DIVISION ST & N WOLCOTT AVE",2017,600,723,"s W DIVISION ST & N WOLCOTT AVE"
1,"In-Road State Law Stop For Pedestrians Sign Menu","s W MEDILL AVE & N MILWAUKEE AVE",2017,350,724,"s W MEDILL AVE & N MILWAUKEE AVE"
1,"Pedestrian Countdown Signal Menu","W NORTH AVE & N DAMEN AVE",2017,50888,727,"W NORTH AVE & N DAMEN AVE"
1,"Traffic Signal LED Upgrade Menu","N WESTERN AVE & W LYNDALE ST",2017,14000,745,"N WESTERN AVE & W LYNDALE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W ALTGELD ST",2018,600,757,"N CALIFORNIA AVE & W ALTGELD ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W SHAKESPEARE AVE",2018,350,758,"N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W PALMER ST",2018,350,759,"N CALIFORNIA AVE & W PALMER ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N MILWAUKEE AVE & W MEDILL AVE",2018,350,760,"N MILWAUKEE AVE & W MEDILL AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N MILWAUKEE AVE & N HONORE ST",2018,350,761,"N MILWAUKEE AVE & N HONORE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W HURON ST",2018,600,762,"N DAMEN AVE & W HURON ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W EVERGREEN AVE",2018,600,763,"N DAMEN AVE & W EVERGREEN AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W LE MOYNE ST",2018,600,764,"N DAMEN AVE & W LE MOYNE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N HOYNE AVE",2018,350,765,"W DIVISION ST & N HOYNE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N PAULINA ST",2018,350,766,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W AUGUSTA BLVD & N PAULINA ST",2018,350,767,"W AUGUSTA BLVD & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Sign","s N CAL IFORNIA AVE & W ALTGELD ST",2018,600,768,"s N CAL IFORNIA AVE & W ALTGELD ST"
1,"In-Road State Law Stop For Pedestrians Sign","s N MIL WAUKEE AVE & W MEDILL AVE",2018,350,769,"s N MIL WAUKEE AVE & W MEDILL AVE"
1,"In-Road State Law Stop For Pedestrians Sign","s N MIL WAUKEE AVE & N HONORE ST",2018,350,770,"s N MIL WAUKEE AVE & N HONORE ST"
1,"In-Road State Law Stop For Pedestrians Sign","s N DAM EN AVE & W EVERGREEN AVE",2018,350,771,"s N DAM EN AVE & W EVERGREEN AVE"
1,"In-Road State Law Stop For Pedestrians Sign","s W DIV ISION ST & N PAULINA ST",2018,350,772,"s W DIV ISION ST & N PAULINA ST"
1,"Pedestrian Refuge Island Menu","W NORTH AVE & N ARTESIAN AVE",2018,54959.4,773,"W NORTH AVE & N ARTESIAN AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W ALTGELD ST",2019,600,792,"N CALIFORNIA AVE & W ALTGELD ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W SHAKESPEARE AVE",2019,350,793,"N CALIFORNIA AVE & W SHAKESPEARE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W PALMER ST",2019,350,794,"N CALIFORNIA AVE & W PALMER ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N MILWAUKEE AVE & W MEDILL AVE",2019,350,795,"N MILWAUKEE AVE & W MEDILL AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N MILWAUKEE AVE & N HONORE ST",2019,350,796,"N MILWAUKEE AVE & N HONORE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W HURON ST",2019,600,797,"N DAMEN AVE & W HURON ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W EVERGREEN AVE",2019,600,798,"N DAMEN AVE & W EVERGREEN AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W LE MOYNE ST",2019,600,799,"N DAMEN AVE & W LE MOYNE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N HOYNE AVE",2019,350,800,"W DIVISION ST & N HOYNE AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N PAULINA ST",2019,350,801,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W AUGUSTA BLVD & N PAULINA ST",2019,350,802,"W AUGUSTA BLVD & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N MILWAUKEE AVE & N WASHTENAW AVE",2019,350,803,"N MILWAUKEE AVE & N WASHTENAW AVE"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N DAMEN AVE & W LE MOYNE ST",2019,600,804,"N DAMEN AVE & W LE MOYNE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N MILWAUKEE AVE & N HONORE ST",2019,350,805,"N MILWAUKEE AVE & N HONORE ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","W DIVISION ST & N WOLCOTT AVE",2019,350,806,"W DIVISION ST & N WOLCOTT AVE"
1,"Arterial Street Bump Outs Menu","W ARMITAGE AVE & N WASHTENAW AVE",2020,50000,852,"W ARMITAGE AVE & N WASHTENAW AVE"
1,"Pedestrian Refuge Island Menu","N ASHLAND AVE & W CHESTNUT ST",2020,27528.19,853,"N ASHLAND AVE & W CHESTNUT ST"
1,"In-Road State Law Stop For Pedestrians Signs Menu","N CALIFORNIA AVE & W ALTGELD ST",2020,600,854,"N CALIFORNIA AVE & W ALTGELD ST"
1,"Sidewalk Menu","N CALIFORNIA AVE & W MEDILL AVE",2020,16000,856,"N CALIFORNIA AVE & W MEDILL AVE"
1,"Sidewalk Menu","W WABANSIA AVE & N MOZART ST",2020,14490,857,"W WABANSIA AVE & N MOZART ST"
1,"1 POD Camera: Noble & Huron (Split w/ Ward 27)","W HURON ST & N NOBLE ST",2021,12388,878,"W HURON ST & N NOBLE ST"
1,"Arterial Street Bump Outs Menu","W DIVISION ST & N PAULINA ST",2021,24066.39,879,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","N DAMEN AVE & W HURON ST",2021,1200,890,"N DAMEN AVE & W HURON ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","N DAMEN AVE & W LE MOYNE ST",2021,600,891,"N DAMEN AVE & W LE MOYNE ST"
1,"Installation of LED and pedestrian countdown traffic signals at N. California Ave. & W. Armitage Ave.","N CALIFORNIA AVE & W ARMITAGE AVE",2021,53344,892,"N CALIFORNIA AVE & W ARMITAGE AVE"
1,"LED Traffic Signal Upgrades & Pedestrian Countdown Signal","N HUMBOLDT BLVD & W PALMER BLVD",2021,50000,893,"N HUMBOLDT BLVD & W PALMER BLVD"
1,"LED Traffic Signal Upgrades & Pedestrian Countdown Signal","W ARMITAGE AVE & N KEDZIE AVE",2021,50000,894,"W ARMITAGE AVE & N KEDZIE AVE"
1,"Sidewalk Menu","N CALIFORNIA AVE & W MEDILL AVE",2021,78540.6,900,"N CALIFORNIA AVE & W MEDILL AVE"
1,"Sidewalk Menu","W MCLEAN AVE & N CAMPBELL AVE",2021,5425.27,901,"W MCLEAN AVE & N CAMPBELL AVE"
1,"1 PTZ Camera - NE N Milwaukee & W Francis Pl","N MILWAUKEE AVE & W FRANCIS PL",2022,24776,909,"N MILWAUKEE AVE & W FRANCIS PL"
1,"Arterial Street Bump Outs Menu","W DIVISION ST & N PAULINA ST",2022,136714.06,912,"W DIVISION ST & N PAULINA ST"
1,"In-Road State Law Stop For Pedestrians Sign Menu","N DAMEN AVE & W LE MOYNE ST",2022,600,919,"N DAMEN AVE & W LE MOYNE ST"
1,"Pavement Markings Menu","W PALMER BLVD & N SACRAMENTO AVE",2022,3300,921,"W PALMER BLVD & N SACRAMENTO AVE"
1,"Street Traffic Circle Menu","W WABANSIA AVE & N WASHTENAW AVE",2022,14135.87,936,"W WABANSIA AVE & N WASHTENAW AVE"
2,"Traffic Signals","S STATE ST & W HARRISON ST",2006,40000,1025,"S STATE ST & W HARRISON ST"
2,"Traffic Signals","W WARREN BV & S LEAVITT ST",2006,20000,1026,"W WARREN BV & S LEAVITT ST"
2,"Miscellaneous-CDOT","N WESTERN AVE & W CONGRESS PKWY",2007,1100,1063,"N WESTERN AVE & W CONGRESS PKWY"
2,"Pole Painting","S RACINE AV & W HARRISON ST",2007,2940,1082,"S RACINE AV & W HARRISON ST"
2,"Pole Painting","W CONGRESS PW & W HARRISON ST",2007,2940,1083,"W CONGRESS PW & W HARRISON ST"
2,"Pole Painting","S MORGAN ST & W HARRISON ST",2007,1250,1084,"S MORGAN ST & W HARRISON ST"
2,"Pole Painting","E 31 ST & S INDIANA AV",2007,3800,1085,"E 31st ST & S INDIANA AV"
2,"Pole Painting","S MORGAN ST & W VAN BUREN ST",2007,2000,1086,"S MORGAN ST & W VAN BUREN ST"
2,"Pole Painting","S MORGAN ST & W JACKSON BV",2007,2700,1087,"S MORGAN ST & W JACKSON BV"
2,"Pole Painting","S MORGAN ST & W ADAMS ST",2007,1900,1088,"S MORGAN ST & W ADAMS ST"
2,"Pole Painting","W HARRISON ST & S JEFFERSON ST",2007,1050,1089,"W HARRISON ST & S JEFFERSON ST"
2,"Pole Painting","W HARRISON ST & S CLINTON ST",2007,1750,1090,"W HARRISON ST & S CLINTON ST"
2,"Pole Painting","S RACINE AV & W VAN BUREN ST",2007,2800,1091,"S RACINE AV & W VAN BUREN ST"
2,"Pole Painting","S ASHLAND AV & W CONGRESS PW",2007,3200,1092,"S ASHLAND AV & W CONGRESS PW"
2,"Street Lighting","E 31 ST & S INDIANA AV",2007,2800,1163,"E 31st ST & S INDIANA AV"
2,"Traffic Signals","E 13 ST & S MICHIGAN AV",2007,165000,1221,"E 13th ST & S MICHIGAN AV"
